first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Chris,Paul,2015-03-18,LAC,SAC,00:39:06,13,20,4,10,0,0,0,3,3,11,1,0,2,4,30,53.25
LaMarcus,Aldridge,2015-03-18,POR,MIA,00:36:46,15,24,1,2,3,7,1,11,12,2,1,1,1,2,34,56.0
Marcus,Smart,2015-03-18,BOS,OKC,00:36:32,8,14,7,12,2,4,4,5,9,5,2,2,2,4,25,54.25
Russell,Westbrook,2015-03-18,OKC,BOS,00:40:23,8,26,1,6,19,22,2,3,5,10,5,0,7,5,36,64.25
Kevin,Martin,2015-03-18,MIN,TOR,00:44:23,14,28,5,9,4,4,1,6,7,0,1,1,2,1,37,51.25
J.J.,Redick,2015-03-18,LAC,SAC,00:38:19,9,16,7,12,2,2,0,2,2,4,1,0,0,1,27,41.0
Dwyane,Wade,2015-03-18,MIA,POR,00:32:06,13,26,0,1,6,6,1,3,4,6,1,0,2,2,32,47.0
Nikola,Mirotic,2015-03-18,CHI,IND,00:30:41,8,15,1,7,8,9,1,8,9,2,2,2,2,2,25,46.75
Andre,Iguodala,2015-03-18,GSW,ATL,00:29:02,9,12,2,5,1,2,0,2,2,6,3,0,1,2,21,39.0
Enes,Kanter,2015-03-18,OKC,BOS,00:30:39,10,13,0,0,2,2,7,3,10,2,0,1,2,3,22,38.5
Goran,Dragic,2015-03-18,MIA,POR,00:39:00,9,16,1,2,1,2,0,3,3,11,2,0,1,2,20,44.25
Harrison,Barnes,2015-03-18,GSW,ATL,00:28:25,11,13,2,3,1,2,1,3,4,1,1,0,1,4,25,34.0
Dirk,Nowitzki,2015-03-18,DAL,ORL,00:30:42,9,15,5,6,2,2,1,7,8,2,0,0,1,2,25,40.0
Boris,Diaw,2015-03-18,SAS,MIL,00:30:42,5,8,0,0,8,8,0,6,6,5,1,0,0,1,18,35.0
Elfrid,Payton,2015-03-18,ORL,DAL,00:40:50,6,10,1,2,2,2,1,9,10,12,2,0,3,3,15,48.5
Luol,Deng,2015-03-18,MIA,POR,00:41:47,9,13,4,4,2,4,0,4,4,0,1,0,0,0,24,33.0
John,Wall,2015-03-18,WAS,UTA,00:37:04,9,13,0,1,6,7,0,9,9,6,0,0,4,3,24,42.25
Brandon,Bass,2015-03-18,BOS,OKC,00:29:48,8,11,1,2,3,3,1,2,3,4,0,0,0,0,20,30.25
Tim,Duncan,2015-03-18,SAS,MIL,00:34:02,9,16,0,2,1,2,1,4,5,7,1,3,1,1,19,43.25
Gordon,Hayward,2015-03-18,UTA,WAS,00:35:18,9,19,1,6,7,9,1,3,4,4,1,0,2,1,26,38.5
DeMarre,Carroll,2015-03-18,ATL,GSW,00:32:41,5,12,3,4,3,4,6,6,12,3,0,2,0,3,16,41.0
DeMar,DeRozan,2015-03-18,TOR,MIN,00:39:13,4,14,1,1,12,12,0,7,7,4,2,0,2,1,21,39.25
Paul,Pierce,2015-03-18,WAS,UTA,00:28:12,6,10,4,5,2,2,1,2,3,4,2,0,1,3,18,33.25
Danny,Green,2015-03-18,SAS,MIL,00:38:48,7,16,2,4,4,4,2,6,8,4,2,0,1,4,20,40.5
Anthony,Morrow,2015-03-18,OKC,BOS,00:27:47,7,11,4,7,2,2,1,5,6,0,1,0,1,2,20,31.0
Pau,Gasol,2015-03-18,CHI,IND,00:33:03,7,13,1,1,4,4,1,11,12,2,0,0,1,2,19,37.0
Rudy,Gay,2015-03-18,SAC,LAC,00:37:06,6,19,0,5,11,11,0,6,6,4,3,0,2,4,23,41.5
Monta,Ellis,2015-03-18,DAL,ORL,00:36:25,9,17,1,5,2,4,0,2,2,4,2,2,2,2,21,37.0
Giannis,Antetokounmpo,2015-03-18,MIL,SAS,00:37:06,8,16,0,0,3,3,1,8,9,3,1,2,1,5,19,40.25
Maurice,Harkless,2015-03-18,ORL,DAL,00:36:09,8,15,2,5,0,0,3,3,6,1,4,0,2,2,18,35.0
Stephen,Curry,2015-03-18,GSW,ATL,00:29:41,4,11,2,6,6,6,1,3,4,12,0,0,4,1,16,38.0
Hassan,Whiteside,2015-03-18,MIA,POR,00:33:25,6,11,0,0,0,1,5,5,10,0,0,6,0,0,12,36.5
Mike,Dunleavy,2015-03-18,CHI,IND,00:38:31,7,14,5,8,2,2,0,5,5,2,1,1,2,3,21,35.75
Jonas,Valanciunas,2015-03-18,TOR,MIN,00:23:30,7,9,0,0,1,2,4,11,15,1,0,1,2,3,15,36.25
Rudy,Gobert,2015-03-18,UTA,WAS,00:37:20,3,5,0,0,3,8,5,9,14,4,1,2,1,1,9,38.0
Trey,Burke,2015-03-18,UTA,WAS,00:27:38,5,8,3,5,1,2,0,0,0,6,2,0,1,2,14,28.0
Ish,Smith,2015-03-18,PHI,DET,00:25:58,6,12,0,1,3,4,0,1,1,8,3,1,3,2,15,34.75
Timofey,Mozgov,2015-03-18,CLE,BRK,00:16:41,7,8,0,0,3,5,2,1,3,1,0,1,1,3,17,23.75
Hedo,Turkoglu,2015-03-18,LAC,SAC,00:32:51,7,12,5,10,0,0,0,2,2,2,0,0,0,3,19,27.0
Blake,Griffin,2015-03-18,LAC,SAC,00:36:06,7,16,0,0,5,6,3,7,10,5,0,2,4,3,19,41.0
Draymond,Green,2015-03-18,GSW,ATL,00:29:24,6,11,5,7,1,4,1,6,7,3,1,0,2,3,18,34.75
Deron,Williams,2015-03-18,BRK,CLE,00:28:21,7,15,1,5,5,5,0,2,2,6,1,0,3,3,20,32.5
Chase,Budinger,2015-03-18,MIN,TOR,00:36:20,9,18,1,5,0,1,2,6,8,3,0,1,1,2,19,35.5
Kyrie,Irving,2015-03-18,CLE,BRK,00:29:41,5,10,1,1,1,2,1,4,5,10,0,0,1,2,12,33.25
Tony,Parker,2015-03-18,SAS,MIL,00:27:02,6,7,1,1,2,2,0,2,2,2,0,0,0,2,15,21.0
Khris,Middleton,2015-03-18,MIL,SAS,00:30:06,5,8,1,2,4,4,0,1,1,3,1,0,0,3,15,23.25
Kelly,Olynyk,2015-03-18,BOS,OKC,00:23:01,7,13,3,6,3,8,1,2,3,2,2,2,3,3,20,34.75
Steven,Adams,2015-03-18,OKC,BOS,00:37:32,5,9,0,0,4,7,6,7,13,1,2,0,2,5,14,34.75
Chris,Kaman,2015-03-18,POR,MIA,00:17:54,4,5,0,0,1,2,6,7,13,2,0,0,1,0,9,27.75
Paul,Millsap,2015-03-18,ATL,GSW,00:27:26,6,14,2,4,2,2,5,4,9,3,2,0,3,3,16,35.25
LeBron,James,2015-03-18,CLE,BRK,00:34:35,5,13,2,4,4,6,1,2,3,7,1,0,2,1,16,32.25
Kawhi,Leonard,2015-03-18,SAS,MIL,00:27:24,3,8,2,3,6,8,0,2,2,2,4,1,1,4,14,30.0
Lorenzo,Brown,2015-03-18,MIN,TOR,00:19:44,4,5,0,0,0,0,1,1,2,5,3,0,0,2,8,24.0
Jason,Richardson,2015-03-18,PHI,DET,00:24:53,4,7,3,5,3,4,1,4,5,2,1,0,1,2,14,26.25
Tristan,Thompson,2015-03-18,CLE,BRK,00:24:20,4,4,0,0,2,4,2,4,6,2,1,0,0,1,10,22.5
Evan,Turner,2015-03-18,BOS,OKC,00:30:01,3,6,0,0,2,4,0,6,6,10,5,0,3,6,8,39.0
Andre,Miller,2015-03-18,SAC,LAC,00:24:48,8,11,0,1,0,0,1,2,3,4,0,0,2,3,16,24.75
Kentavious,Caldwell-Pope,2015-03-18,DET,PHI,00:35:41,7,16,1,4,5,6,1,7,8,2,1,0,3,3,20,34.0
Brook,Lopez,2015-03-18,BRK,CLE,00:30:50,4,10,0,0,2,2,5,3,8,5,0,2,1,2,10,31.0
Thomas,Robinson,2015-03-18,PHI,DET,00:16:13,6,9,0,0,0,0,2,4,6,0,1,3,1,2,12,27.0
J.R.,Smith,2015-03-18,CLE,BRK,00:26:49,6,13,5,10,0,0,0,3,3,2,0,1,1,1,17,27.75
Ersan,Ilyasova,2015-03-18,MIL,SAS,00:33:13,7,14,2,5,1,3,1,5,6,2,1,0,0,5,17,30.5
Solomon,Hill,2015-03-18,IND,CHI,00:25:32,5,10,1,2,2,2,1,5,6,3,1,0,1,2,13,27.0
Andre,Drummond,2015-03-18,DET,PHI,00:32:17,3,8,0,0,3,3,7,7,14,0,1,2,1,4,9,32.0
Channing,Frye,2015-03-18,ORL,DAL,00:23:25,4,8,3,5,0,0,1,0,1,2,2,1,0,1,11,22.75
Shelvin,Mack,2015-03-18,ATL,GSW,00:19:28,4,8,0,3,2,2,0,0,0,5,3,0,1,1,10,23.0
Nicolas,Batum,2015-03-18,POR,MIA,00:32:09,3,6,1,3,1,2,0,4,4,6,1,0,0,0,8,24.5
Patrick,Patterson,2015-03-18,TOR,MIN,00:29:44,5,9,3,6,1,2,0,4,4,1,1,1,2,0,14,25.0
Devin,Harris,2015-03-18,DAL,ORL,00:22:12,3,8,3,6,3,4,0,3,3,5,1,0,1,2,12,26.25
Markel,Brown,2015-03-18,BRK,CLE,00:28:03,4,9,1,2,1,2,0,3,3,5,3,0,1,2,10,27.25
Jae,Crowder,2015-03-18,BOS,OKC,00:30:42,5,9,0,1,1,2,4,5,9,5,1,0,3,4,11,30.25
John,Jenkins,2015-03-18,ATL,GSW,00:16:02,3,3,1,1,2,2,0,2,2,1,1,0,0,0,9,15.5
Mason,Plumlee,2015-03-18,BRK,CLE,00:23:55,3,3,0,0,4,8,2,3,5,1,1,1,1,2,10,21.25
Terrence,Ross,2015-03-18,TOR,MIN,00:28:44,6,9,3,5,0,0,0,0,0,1,0,0,1,1,15,17.5
Nik,Stauskas,2015-03-18,SAC,LAC,00:23:21,4,6,1,3,4,4,1,2,3,1,0,0,2,0,13,17.75
Nikola,Vucevic,2015-03-18,ORL,DAL,00:27:24,4,9,0,0,4,4,3,6,9,1,1,1,2,3,12,27.75
Nerlens,Noel,2015-03-18,PHI,DET,00:22:23,5,10,0,0,1,2,3,1,4,0,1,3,1,0,11,23.5
Derrick,Favors,2015-03-18,UTA,WAS,00:37:52,8,18,0,0,0,2,5,4,9,1,0,3,2,4,16,33.75
Damian,Lillard,2015-03-18,POR,MIA,00:35:10,7,13,2,5,1,3,0,3,3,3,1,0,4,1,17,26.25
Reggie,Evans,2015-03-18,SAC,LAC,00:22:55,2,5,0,0,4,6,3,8,11,0,1,0,0,2,8,23.75
Hollis,Thompson,2015-03-18,PHI,DET,00:23:39,3,5,2,3,0,0,0,1,1,1,2,2,1,0,8,19.25
Victor,Oladipo,2015-03-18,ORL,DAL,00:37:21,7,20,0,6,5,6,0,4,4,6,2,1,5,4,19,36.5
Bojan,Bogdanovic,2015-03-18,BRK,CLE,00:35:49,5,9,2,4,0,0,0,2,2,1,0,0,0,1,12,17.0
Ryan,Hollins,2015-03-18,SAC,LAC,00:13:51,4,4,0,0,1,2,2,1,3,1,0,0,0,3,9,14.25
Zaza,Pachulia,2015-03-18,MIL,SAS,00:17:18,4,7,0,0,2,4,3,4,7,2,0,0,2,0,10,20.75
Tony,Snell,2015-03-18,CHI,IND,00:39:53,5,11,2,5,2,2,1,7,8,1,0,0,2,3,14,25.5
Joel,Anthony,2015-03-18,DET,PHI,00:15:43,2,4,0,0,2,2,3,1,4,1,0,4,1,1,6,20.0
Greivis,Vasquez,2015-03-18,TOR,MIN,00:25:21,4,10,3,6,0,0,0,2,2,5,1,0,1,3,11,24.0
Kevin,Love,2015-03-18,CLE,BRK,00:27:29,4,9,0,2,2,3,2,9,11,4,0,0,3,1,10,28.25
Arron,Afflalo,2015-03-18,POR,MIA,00:33:18,5,13,4,6,1,2,0,3,3,1,0,0,0,2,15,22.25
Joakim,Noah,2015-03-18,CHI,IND,00:29:08,2,7,0,0,2,4,4,10,14,7,0,0,2,4,6,33.0
Jason,Thompson,2015-03-18,SAC,LAC,00:33:51,5,10,0,0,2,4,2,6,8,0,1,0,1,3,12,23.5
DeAndre,Jordan,2015-03-18,LAC,SAC,00:35:53,3,7,0,0,0,1,4,11,15,1,1,4,2,6,6,35.25
Tyler,Zeller,2015-03-18,BOS,OKC,00:20:17,6,8,0,0,0,0,0,1,1,2,0,0,2,1,12,15.25
Leandro,Barbosa,2015-03-18,GSW,ATL,00:27:51,5,12,3,6,0,0,0,1,1,3,1,0,1,3,13,21.75
Amir,Johnson,2015-03-18,TOR,MIN,00:29:30,4,6,0,0,0,0,2,4,6,2,2,0,2,4,8,21.5
Andrew,Wiggins,2015-03-18,MIN,TOR,00:31:53,6,9,0,1,3,4,3,0,3,0,0,0,3,5,15,17.25
Al-Farouq,Aminu,2015-03-18,DAL,ORL,00:24:10,1,4,0,2,5,6,4,4,8,1,1,0,1,3,7,20.0
Kyle,Lowry,2015-03-18,TOR,MIN,00:25:40,2,7,1,4,4,4,1,2,3,6,0,0,2,2,9,21.25
Luis,Scola,2015-03-18,IND,CHI,00:18:23,3,9,0,0,4,4,2,5,7,0,0,2,0,4,10,22.75
Jerryd,Bayless,2015-03-18,MIL,SAS,00:24:15,4,8,2,2,2,2,0,2,2,3,0,0,2,3,12,19.0
Miles,Plumlee,2015-03-18,MIL,SAS,00:17:56,2,4,0,0,0,0,4,7,11,1,0,1,0,2,4,21.25
D.J.,Augustin,2015-03-18,OKC,BOS,00:20:52,3,5,0,2,4,4,0,1,1,2,1,0,3,0,10,14.75
Roy,Hibbert,2015-03-18,IND,CHI,00:31:06,4,8,0,0,4,4,0,4,4,0,0,1,1,4,12,18.5
Jarrett,Jack,2015-03-18,BRK,CLE,00:21:00,4,10,0,3,3,4,0,3,3,3,0,0,1,0,11,18.75
Aaron,Brooks,2015-03-18,CHI,IND,00:27:23,3,10,0,2,7,7,2,0,2,2,1,0,2,5,13,19.5
Rajon,Rondo,2015-03-18,DAL,ORL,00:28:40,4,7,0,1,1,2,1,5,6,11,1,0,8,3,9,31.0
Jonas,Jerebko,2015-03-18,BOS,OKC,00:19:14,1,3,1,2,4,4,0,4,4,2,0,0,1,0,7,15.0
Anthony,Tolliver,2015-03-18,DET,PHI,00:33:50,3,5,2,4,1,2,3,2,5,0,0,1,2,2,9,17.25
Ricky,Rubio,2015-03-18,MIN,TOR,00:30:17,1,4,0,1,0,0,1,7,8,8,2,0,2,3,2,27.0
C.J.,Watson,2015-03-18,IND,CHI,00:16:28,3,8,2,3,0,0,1,0,1,2,1,0,0,0,8,15.25
Shaun,Livingston,2015-03-18,GSW,ATL,00:21:14,3,3,0,0,0,2,0,1,1,7,0,0,3,0,6,16.25
Kirk,Hinrich,2015-03-18,CHI,IND,00:22:30,2,4,1,1,0,0,0,1,1,4,1,1,1,1,5,16.25
Matthew,Dellavedova,2015-03-18,CLE,BRK,00:25:56,3,5,2,3,0,0,0,1,1,5,0,0,2,3,8,16.75
Chris,Johnson,2015-03-18,MIL,SAS,00:9:56,2,4,2,3,0,0,0,1,1,2,1,0,0,1,6,13.25
Charlie,Villanueva,2015-03-18,DAL,ORL,00:8:44,4,7,2,4,0,0,0,0,0,0,0,0,0,1,10,11.0
Omri,Casspi,2015-03-18,SAC,LAC,00:17:55,2,5,1,3,0,0,0,6,6,3,0,0,0,0,5,17.5
Marreese,Speights,2015-03-18,GSW,ATL,00:13:14,4,8,0,0,0,0,0,3,3,1,1,0,0,1,8,15.25
Derrick,Williams,2015-03-18,SAC,LAC,00:23:34,3,6,1,3,4,5,0,1,1,1,0,0,2,1,11,13.25
Jerami,Grant,2015-03-18,PHI,DET,00:24:57,4,7,2,3,0,2,1,3,4,2,0,0,2,2,10,18.0
Iman,Shumpert,2015-03-18,CLE,BRK,00:26:00,4,8,2,4,0,0,1,2,3,0,0,0,0,3,10,14.75
Reggie,Jackson,2015-03-18,DET,PHI,00:32:00,4,17,1,3,2,2,3,8,11,10,0,0,5,3,11,37.75
Ray,McCallum,2015-03-18,SAC,LAC,00:23:12,4,8,0,1,0,0,0,2,2,2,1,0,1,0,8,15.0
Cory,Jefferson,2015-03-18,BRK,CLE,00:13:54,2,2,0,0,0,0,1,1,2,1,0,2,0,2,4,12.0
Tiago,Splitter,2015-03-18,SAS,MIL,00:18:36,2,2,0,0,2,5,0,4,4,1,1,2,2,2,6,17.5
C.J.,Miles,2015-03-18,IND,CHI,00:30:00,4,10,2,7,0,0,0,5,5,0,0,1,0,3,10,19.25
Justin,Holiday,2015-03-18,GSW,ATL,00:24:39,1,6,0,3,3,4,1,2,3,5,1,1,1,2,5,19.75
Marco,Belinelli,2015-03-18,SAS,MIL,00:24:20,2,9,2,6,5,5,0,2,2,1,0,0,1,1,11,15.5
Luke,Ridnour,2015-03-18,ORL,DAL,00:18:45,2,4,0,2,0,0,0,2,2,3,1,1,1,0,4,14.5
Michael,Carter-Williams,2015-03-18,MIL,SAS,00:33:42,3,9,0,0,5,6,0,0,0,6,0,1,4,3,11,20.0
Chandler,Parsons,2015-03-18,DAL,ORL,00:27:09,3,8,2,6,0,0,0,4,4,3,0,0,1,2,8,18.0
Aaron,Gordon,2015-03-18,ORL,DAL,00:14:45,2,5,0,2,2,2,1,5,6,0,0,1,0,3,6,15.5
Udonis,Haslem,2015-03-18,MIA,POR,00:30:20,3,4,1,1,0,0,0,5,5,1,1,0,2,4,7,16.25
Mike,Muscala,2015-03-18,ATL,GSW,00:5:32,2,3,0,0,1,1,0,2,2,1,0,0,0,0,5,9.0
David,West,2015-03-18,IND,CHI,00:27:25,2,10,0,0,2,3,1,3,4,7,0,1,0,4,6,23.5
John,Henson,2015-03-18,MIL,SAS,00:12:46,2,3,0,0,1,2,2,3,5,1,0,0,1,1,5,12.25
Drew,Gooden,2015-03-18,WAS,UTA,00:18:04,4,10,1,2,0,0,0,5,5,0,0,0,0,1,9,15.75
George,Hill,2015-03-18,IND,CHI,00:30:23,4,9,0,4,2,4,0,4,4,2,1,0,3,1,10,18.5
Robin,Lopez,2015-03-18,POR,MIA,00:29:53,2,5,0,0,2,2,5,1,6,1,0,1,3,2,6,15.5
Nate,Robinson,2015-03-18,LAC,SAC,00:9:32,2,3,0,0,0,0,0,0,0,2,1,0,0,1,4,9.0
Pero,Antic,2015-03-18,ATL,GSW,00:19:43,0,1,0,0,3,3,0,5,5,1,1,1,0,4,3,14.75
Marcin,Gortat,2015-03-18,WAS,UTA,00:36:09,2,4,0,0,3,5,1,8,9,1,1,1,4,3,7,21.75
Jeff,Teague,2015-03-18,ATL,GSW,00:23:20,4,8,0,1,4,6,0,0,0,2,3,0,6,3,12,18.0
Dion,Waiters,2015-03-18,OKC,BOS,00:35:16,4,14,0,2,0,0,2,3,5,3,1,0,0,2,8,20.75
James,Jones,2015-03-18,CLE,BRK,00:12:00,2,3,2,3,0,0,0,0,0,0,0,0,0,1,6,7.0
Caron,Butler,2015-03-18,DET,PHI,00:17:51,3,8,1,6,0,0,0,0,0,0,2,0,0,1,7,11.5
Trevor,Booker,2015-03-18,UTA,WAS,00:19:22,3,7,0,1,1,2,1,3,4,0,0,0,0,1,7,12.0
Rodney,Stuckey,2015-03-18,IND,CHI,00:30:36,4,11,1,2,2,4,0,2,2,1,0,1,2,0,11,16.5
Kyle,O'Quinn,2015-03-18,ORL,DAL,00:20:36,3,5,1,1,0,0,2,0,2,2,0,0,2,4,7,12.0
Kendrick,Perkins,2015-03-18,CLE,BRK,00:6:59,2,4,0,0,0,0,2,4,6,0,0,1,1,1,4,13.0
Ramon,Sessions,2015-03-18,WAS,UTA,00:18:21,2,3,1,1,2,2,0,1,1,1,0,0,2,2,7,9.25
Nick,Collison,2015-03-18,OKC,BOS,00:17:22,1,3,0,0,2,2,0,3,3,1,1,0,0,3,4,11.25
Tyler,Hansbrough,2015-03-18,TOR,MIN,00:7:56,1,2,0,0,2,2,1,0,1,0,0,0,0,0,4,5.25
Shawn,Marion,2015-03-18,CLE,BRK,00:5:04,2,3,0,0,0,0,0,1,1,1,0,0,0,0,4,6.75
Tyson,Chandler,2015-03-18,DAL,ORL,00:30:01,1,2,0,0,1,2,2,6,8,0,0,4,4,0,3,19.0
Joe,Ingles,2015-03-18,UTA,WAS,00:20:52,2,7,0,2,0,0,1,0,1,2,2,0,0,1,4,12.25
Al,Horford,2015-03-18,ATL,GSW,00:31:38,4,18,0,1,0,0,2,4,6,3,2,1,1,0,8,25.5
Patrick,Mills,2015-03-18,SAS,MIL,00:16:03,1,3,1,3,0,0,0,1,1,4,0,0,1,0,3,10.25
Austin,Daye,2015-03-18,ATL,GSW,00:5:32,1,2,1,1,0,0,1,1,2,1,0,0,0,1,3,7.5
Luc,Mbah,2015-03-18,PHI,DET,00:25:58,1,8,1,2,1,2,2,4,6,5,0,0,0,3,4,19.5
Thaddeus,Young,2015-03-18,BRK,CLE,00:16:23,4,8,1,3,0,0,0,3,3,0,2,0,3,4,9,15.75
Chris,Andersen,2015-03-18,MIA,POR,00:14:22,1,1,0,0,0,0,0,3,3,1,0,1,0,2,2,9.25
Rasual,Butler,2015-03-18,WAS,UTA,00:10:33,1,3,0,0,0,0,0,4,4,1,1,0,0,0,2,10.5
Meyers,Leonard,2015-03-18,POR,MIA,00:11:14,1,4,0,1,3,3,1,2,3,1,0,0,1,1,5,9.75
Amar'e,Stoudemire,2015-03-18,DAL,ORL,00:15:32,3,8,0,0,2,4,0,1,1,0,0,0,0,0,8,9.25
Jose,Barea,2015-03-18,DAL,ORL,00:16:18,2,4,0,1,0,0,0,0,0,2,2,0,2,1,4,10.0
Jodie,Meeks,2015-03-18,DET,PHI,00:23:55,2,12,2,5,2,2,0,2,2,0,4,0,2,0,8,18.5
Furkan,Aldemir,2015-03-18,PHI,DET,00:9:29,1,2,0,0,0,0,2,2,4,0,0,1,0,2,2,9.0
Isaiah,Canaan,2015-03-18,PHI,DET,00:21:51,2,10,2,6,3,4,0,3,3,4,1,0,3,3,9,20.25
Spencer,Dinwiddie,2015-03-18,DET,PHI,00:19:04,2,11,1,3,2,2,1,2,3,3,0,0,0,2,7,15.75
Avery,Bradley,2015-03-18,BOS,OKC,00:33:45,6,13,1,5,0,1,0,1,1,1,0,1,3,5,13,16.75
Reggie,Williams,2015-03-18,SAS,MIL,00:7:13,2,3,0,1,0,0,0,1,1,0,0,0,0,1,4,5.25
Tyler,Ennis,2015-03-18,MIL,SAS,00:19:34,2,7,0,2,0,0,0,1,1,5,1,0,1,3,4,14.25
Mitch,McGary,2015-03-18,OKC,BOS,00:6:02,2,2,0,0,0,0,0,1,1,0,1,0,1,3,4,6.75
Rodney,Hood,2015-03-18,UTA,WAS,00:29:11,4,9,0,3,0,1,1,2,3,4,0,0,3,4,8,16.25
Louis,Williams,2015-03-18,TOR,MIN,00:25:02,2,12,1,7,3,5,0,0,0,4,0,0,0,0,8,14.5
