first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Chris,Paul,2015-03-02,LAC,MIN,00:36:43,12,20,2,4,0,0,0,4,4,14,3,0,1,1,26,58.5
DeMar,DeRozan,2015-03-02,TOR,PHI,00:38:14,12,24,1,3,10,10,0,9,9,5,2,0,2,1,35,57.25
Ricky,Rubio,2015-03-02,MIN,LAC,00:39:45,5,11,1,4,7,9,1,11,12,11,1,0,2,1,18,51.0
Tyler,Johnson,2015-03-02,MIA,PHO,00:25:50,10,13,3,3,3,3,1,0,1,1,4,0,3,4,26,36.75
Stephen,Curry,2015-03-02,GSW,BRK,00:29:16,8,16,6,12,4,4,0,2,2,7,1,0,4,4,26,42.0
Ish,Smith,2015-03-02,PHI,TOR,00:27:29,8,13,1,2,2,3,0,5,5,9,0,0,2,1,19,38.25
Louis,Williams,2015-03-02,TOR,PHI,00:29:50,6,15,2,9,7,7,0,3,3,5,1,0,0,1,21,35.25
Goran,Dragic,2015-03-02,MIA,PHO,00:14:48,5,9,2,2,9,9,2,2,4,1,1,0,1,5,21,30.0
Hassan,Whiteside,2015-03-02,MIA,PHO,00:25:44,8,12,0,0,1,3,6,4,10,0,2,2,2,1,17,36.5
Nerlens,Noel,2015-03-02,PHI,TOR,00:32:15,7,7,0,0,3,4,0,7,7,3,2,1,3,3,17,34.75
Eric,Gordon,2015-03-02,NOP,DAL,00:37:26,4,11,4,7,6,6,1,4,5,4,1,1,1,3,18,35.75
Eric,Bledsoe,2015-03-02,PHO,MIA,00:33:48,6,10,1,3,7,11,0,4,4,3,1,0,1,3,20,31.5
P.J.,Tucker,2015-03-02,PHO,MIA,00:41:06,8,13,1,6,3,4,5,9,14,3,0,0,5,4,20,40.0
Norris,Cole,2015-03-02,NOP,DAL,00:36:08,8,12,2,4,1,2,0,1,1,3,0,1,1,1,19,27.25
Richard,Jefferson,2015-03-02,DAL,NOP,00:33:31,5,6,2,2,4,4,1,4,5,0,0,1,1,1,16,24.75
Amar'e,Stoudemire,2015-03-02,DAL,NOP,00:22:45,6,9,0,0,2,2,2,2,4,2,2,0,0,2,14,26.0
Brook,Lopez,2015-03-02,BRK,GSW,00:25:48,11,22,0,0,4,5,4,2,6,0,0,1,3,3,26,34.0
Patrick,Patterson,2015-03-02,TOR,PHI,00:29:31,6,10,2,4,1,1,2,2,4,3,0,1,0,2,15,27.5
Thaddeus,Young,2015-03-02,BRK,GSW,00:24:42,5,9,2,3,2,2,1,3,4,4,2,0,1,2,14,29.5
Alan,Anderson,2015-03-02,BRK,GSW,00:28:48,7,10,2,5,0,0,0,3,3,0,1,0,0,0,16,22.75
Alexis,Ajinca,2015-03-02,NOP,DAL,00:25:06,6,9,0,0,1,2,5,7,12,1,1,1,2,3,13,32.5
Andrew,Bogut,2015-03-02,GSW,BRK,00:25:06,8,10,0,0,0,0,4,4,8,0,0,3,3,5,16,30.5
Tyreke,Evans,2015-03-02,NOP,DAL,00:34:49,6,14,1,5,4,4,0,3,3,7,1,0,2,3,17,32.75
Andre,Iguodala,2015-03-02,GSW,BRK,00:29:48,5,8,2,3,0,0,1,3,4,3,2,0,1,0,12,26.0
Gary,Neal,2015-03-02,MIN,LAC,00:40:40,6,17,2,7,5,6,0,9,9,4,1,0,1,4,19,38.75
Monta,Ellis,2015-03-02,DAL,NOP,00:33:21,8,19,0,3,4,4,2,4,6,2,0,1,1,2,20,32.0
Festus,Ezeli,2015-03-02,GSW,BRK,00:15:11,4,6,0,0,6,7,3,5,8,0,0,1,2,2,14,25.0
Deron,Williams,2015-03-02,BRK,GSW,00:34:21,8,19,4,7,2,2,0,4,4,4,1,0,4,1,22,35.0
Rajon,Rondo,2015-03-02,DAL,NOP,00:31:57,9,15,1,1,0,0,1,4,5,2,0,0,3,0,19,27.25
Andrew,Wiggins,2015-03-02,MIN,LAC,00:41:51,5,16,0,0,8,10,1,2,3,4,2,1,2,1,18,32.75
Greivis,Vasquez,2015-03-02,TOR,PHI,00:27:56,5,8,2,4,0,0,0,1,1,5,1,0,1,1,12,23.25
Devin,Harris,2015-03-02,DAL,NOP,00:18:40,3,6,0,1,8,9,0,0,0,2,0,0,0,1,14,17.0
Alex,Len,2015-03-02,PHO,MIA,00:27:07,4,9,0,0,2,2,3,8,11,1,2,0,0,3,10,29.25
