first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Kemba,Walker,2015-03-30,CHO,BOS,00:39:35,9,20,2,8,8,9,1,2,3,12,2,0,0,0,28,54.75
Jordan,Clarkson,2015-03-30,LAL,PHI,00:43:37,9,15,0,2,8,10,3,3,6,11,3,0,3,3,26,54.5
DeMar,DeRozan,2015-03-30,TOR,HOU,00:41:06,14,27,2,4,12,17,1,10,11,1,1,1,6,2,42,59.25
DeMarre,Carroll,2015-03-30,ATL,MIL,00:34:20,9,13,2,6,3,5,3,5,8,5,0,2,1,1,23,45.0
Avery,Bradley,2015-03-30,BOS,CHO,00:38:57,12,23,3,7,3,3,2,6,8,2,0,0,1,3,30,44.0
James,Harden,2015-03-30,HOU,TOR,00:37:57,9,22,3,8,10,12,2,3,5,5,1,0,3,3,31,46.75
Zaza,Pachulia,2015-03-30,MIL,ATL,00:35:41,8,10,0,0,1,3,5,8,13,3,1,0,0,2,17,39.75
Gordon,Hayward,2015-03-30,UTA,MIN,00:33:33,7,15,2,5,6,6,1,5,6,5,4,0,4,1,22,44.0
Rudy,Gobert,2015-03-30,UTA,MIN,00:36:48,4,7,0,0,7,9,5,7,12,2,1,3,1,2,15,40.5
Jabari,Brown,2015-03-30,LAL,PHI,00:33:56,7,10,3,4,5,5,0,0,0,3,1,0,1,2,22,29.5
Rudy,Gay,2015-03-30,SAC,MEM,00:29:13,10,18,2,3,2,2,1,3,4,2,1,1,1,1,24,36.5
Giannis,Antetokounmpo,2015-03-30,MIL,ATL,00:38:03,7,9,0,0,4,4,2,4,6,4,0,0,1,3,18,31.0
Ryan,Kelly,2015-03-30,LAL,PHI,00:43:21,5,9,3,6,3,3,0,7,7,4,0,4,1,3,16,39.75
Damian,Lillard,2015-03-30,POR,PHO,00:28:33,7,14,2,6,3,4,0,4,4,7,1,0,1,2,19,37.0
Jonas,Valanciunas,2015-03-30,TOR,HOU,00:28:26,5,9,0,0,5,5,3,6,9,1,1,5,1,5,15,39.25
Trevor,Booker,2015-03-30,UTA,MIN,00:33:15,7,11,1,2,2,2,5,8,13,1,0,2,3,2,17,37.75
Evan,Turner,2015-03-30,BOS,CHO,00:29:41,7,11,0,1,1,1,0,6,6,5,1,0,0,1,15,32.0
Jeff,Green,2015-03-30,MEM,SAC,00:33:18,6,11,2,5,2,3,0,4,4,4,1,1,0,2,16,32.0
Isaiah,Canaan,2015-03-30,PHI,LAL,00:27:20,4,9,3,7,7,7,0,0,0,3,3,0,3,1,18,28.5
Nerlens,Noel,2015-03-30,PHI,LAL,00:36:08,7,18,0,0,5,10,7,7,14,4,1,1,3,2,19,45.0
Nicolas,Batum,2015-03-30,POR,PHO,00:27:56,6,10,4,6,0,0,2,3,5,5,0,0,2,1,16,30.75
Trey,Burke,2015-03-30,UTA,MIN,00:24:13,8,17,2,5,1,1,1,5,6,3,1,0,0,2,19,34.0
Zach,LaVine,2015-03-30,MIN,UTA,00:43:26,7,19,1,6,6,7,2,3,5,6,1,1,2,4,21,39.75
Paul,Millsap,2015-03-30,ATL,MIL,00:34:40,6,10,0,2,3,4,2,7,9,2,2,0,1,4,15,32.75
Marcus,Smart,2015-03-30,BOS,CHO,00:31:22,5,9,1,2,3,4,3,3,6,4,3,1,3,4,14,34.5
LaMarcus,Aldridge,2015-03-30,POR,PHO,00:29:57,6,14,1,2,4,4,0,7,7,3,1,0,1,0,17,32.25
Al,Horford,2015-03-30,ATL,MIL,00:33:36,8,18,0,2,2,2,2,5,7,2,0,2,0,2,18,33.75
Mike,Conley,2015-03-30,MEM,SAC,00:34:01,6,14,2,6,4,6,1,3,4,2,1,2,1,2,18,32.5
Louis,Williams,2015-03-30,TOR,HOU,00:26:49,5,9,3,6,0,0,0,2,2,5,1,0,0,3,13,26.5
Chris,Kaman,2015-03-30,POR,PHO,00:16:25,6,7,0,0,0,0,1,6,7,0,0,1,1,0,12,22.25
Marvin,Williams,2015-03-30,CHO,BOS,00:30:23,4,6,1,3,1,1,1,3,4,1,1,3,0,3,10,25.0
