first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Russell,Westbrook,2015-02-22,OKC,DEN,00:27:23,8,12,2,3,3,5,1,7,8,17,0,0,2,1,21,56.5
Rodney,Stuckey,2015-02-22,IND,GSW,00:28:18,11,17,2,4,6,7,1,3,4,5,1,0,1,0,30,45.0
Nikola,Vucevic,2015-02-22,ORL,PHI,00:37:34,14,24,0,0,3,5,6,8,14,0,2,1,1,2,31,54.0
Klay,Thompson,2015-02-22,GSW,IND,00:37:27,12,28,5,13,10,10,0,3,3,0,0,0,2,1,39,44.25
Marcin,Gortat,2015-02-22,WAS,DET,00:31:15,12,18,0,0,0,0,5,5,10,1,0,1,0,2,24,40.0
Paul,Millsap,2015-02-22,ATL,MIL,00:32:23,10,21,1,3,2,2,8,8,16,3,1,2,3,1,23,52.5
Jeremy,Lin,2015-02-22,LAL,BOS,00:30:16,10,15,1,3,4,6,0,0,0,6,1,0,1,4,25,36.0
Andre,Drummond,2015-02-22,DET,WAS,00:32:53,8,11,0,0,2,4,6,10,16,2,0,1,1,3,18,42.5
Wesley,Johnson,2015-02-22,LAL,BOS,00:32:36,9,11,2,3,2,2,1,4,5,2,2,0,3,1,22,34.75
Courtney,Lee,2015-02-22,MEM,POR,00:29:59,6,8,2,2,5,5,0,3,3,3,1,0,0,2,19,30.25
Serge,Ibaka,2015-02-22,OKC,DEN,00:26:06,10,18,0,1,0,0,1,7,8,0,1,8,1,3,20,47.5
Marc,Gasol,2015-02-22,MEM,POR,00:35:38,9,17,0,0,3,3,1,5,6,4,0,3,1,1,21,40.0
Enes,Kanter,2015-02-22,OKC,DEN,00:26:22,8,12,0,0,4,6,5,7,12,3,1,0,3,4,20,40.0
Kentavious,Caldwell-Pope,2015-02-22,DET,WAS,00:30:49,10,20,6,13,0,0,1,1,2,1,2,0,1,2,26,36.5
Jae,Crowder,2015-02-22,BOS,LAL,00:30:15,8,14,1,5,5,5,1,6,7,0,0,1,0,4,22,33.25
Mike,Conley,2015-02-22,MEM,POR,00:30:20,6,15,1,1,2,2,2,4,6,8,2,1,0,3,15,41.0
J.R.,Smith,2015-02-22,CLE,NYK,00:29:05,7,11,3,5,0,0,1,2,3,4,1,2,1,3,17,33.75
Nicolas,Batum,2015-02-22,POR,MEM,00:35:53,7,13,3,7,0,0,1,9,10,5,0,1,2,0,17,39.5
Ty,Lawson,2015-02-22,DEN,OKC,00:23:54,6,12,0,2,5,5,1,0,1,4,3,0,1,1,17,29.75
Nick,Young,2015-02-22,LAL,BOS,00:26:19,5,9,3,5,6,8,0,1,1,1,1,1,1,1,19,26.75
Kevin,Love,2015-02-22,CLE,NYK,00:29:04,7,14,2,5,0,0,1,15,16,1,0,0,0,0,16,38.5
Isaiah,Thomas,2015-02-22,BOS,LAL,00:25:08,6,13,3,7,6,7,1,4,5,3,2,0,4,3,21,35.25
Tyson,Chandler,2015-02-22,DAL,CHO,00:32:52,6,6,0,0,0,0,3,4,7,2,0,2,1,2,12,27.25
Khris,Middleton,2015-02-22,MIL,ATL,00:36:12,6,12,1,4,6,6,0,4,4,5,0,0,2,3,19,31.0
Kyrie,Irving,2015-02-22,CLE,NYK,00:26:41,6,10,2,4,4,4,1,1,2,2,1,0,2,1,18,25.5
Giannis,Antetokounmpo,2015-02-22,MIL,ATL,00:32:03,7,15,0,0,5,5,1,3,4,0,1,2,1,1,19,29.5
Willie,Green,2015-02-22,ORL,PHI,00:31:56,6,10,2,5,2,2,0,1,1,2,2,0,1,1,16,24.75
Marvin,Williams,2015-02-22,CHO,DAL,00:29:21,6,8,2,3,1,2,1,2,3,2,1,0,0,4,15,24.75
Avery,Bradley,2015-02-22,BOS,LAL,00:42:29,8,20,4,10,0,3,1,4,5,3,3,0,0,4,20,38.75
Monta,Ellis,2015-02-22,DAL,CHO,00:37:00,9,21,0,1,5,6,0,3,3,4,1,0,2,2,23,33.75
Anthony,Tolliver,2015-02-22,DET,WAS,00:26:07,3,5,3,4,4,4,3,3,6,2,1,0,2,2,13,26.0
Andre,Iguodala,2015-02-22,GSW,IND,00:32:26,4,11,2,6,4,4,0,4,4,4,1,1,0,1,14,30.0
Greg,Monroe,2015-02-22,DET,WAS,00:37:00,6,16,0,0,3,6,5,10,15,2,3,0,2,3,15,41.75
JaKarr,Sampson,2015-02-22,PHI,ORL,00:21:14,6,9,2,4,2,2,0,1,1,0,1,1,1,1,16,21.75
LeBron,James,2015-02-22,CLE,NYK,00:27:55,7,17,1,6,3,5,0,7,7,7,2,0,4,2,18,39.75
Louis,Amundson,2015-02-22,NYK,CLE,00:21:50,5,10,0,0,0,0,3,3,6,2,3,0,0,1,10,26.5
Elfrid,Payton,2015-02-22,ORL,PHI,00:36:05,3,7,0,0,4,8,1,7,8,7,1,0,1,1,10,32.0
Al,Horford,2015-02-22,ATL,MIL,00:32:44,5,12,0,1,5,6,4,4,8,1,0,2,2,1,15,29.5
Mo,Williams,2015-02-22,CHO,DAL,00:38:01,9,20,3,11,1,2,0,1,1,3,3,0,5,0,22,32.75
Kris,Humphries,2015-02-22,WAS,DET,00:18:25,5,6,0,0,1,2,1,6,7,1,1,0,0,3,11,23.25
Brandon,Bass,2015-02-22,BOS,LAL,00:40:26,7,11,0,1,1,2,0,5,5,1,0,2,1,3,15,26.25
Nerlens,Noel,2015-02-22,PHI,ORL,00:34:42,3,7,0,0,4,6,0,3,3,5,2,2,1,3,10,28.75
