first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Kevin,Durant,2014-12-31,OKC,PHO,00:39:41,13,23,6,11,12,12,0,10,10,7,0,1,5,3,44,69.5
James,Harden,2014-12-31,HOU,CHO,00:33:11,12,19,8,11,4,4,0,7,7,6,2,1,1,1,36,63.25
Eric,Bledsoe,2014-12-31,PHO,OKC,00:42:01,10,19,2,4,7,7,0,2,2,8,1,1,3,6,29,47.0
Anthony,Davis,2014-12-31,NOP,SAS,00:39:56,8,12,0,0,5,6,2,10,12,0,4,1,2,4,21,45.0
Manu,Ginobili,2014-12-31,SAS,NOP,00:28:49,9,17,5,8,3,4,2,5,7,3,1,0,1,4,26,43.25
C.J.,Miles,2014-12-31,IND,MIA,00:33:32,6,16,5,10,8,10,0,7,7,4,1,1,1,1,25,45.75
Brandon,Knight,2014-12-31,MIL,CLE,00:33:33,11,19,4,9,0,0,1,5,6,2,1,1,2,3,26,41.5
Jared,Sullinger,2014-12-31,BOS,SAC,00:27:17,9,18,0,3,2,2,3,8,11,2,0,3,0,0,20,42.75
Goran,Dragic,2014-12-31,PHO,OKC,00:43:46,7,12,2,5,5,6,2,6,8,3,0,0,1,4,21,36.0
Dwyane,Wade,2014-12-31,MIA,IND,00:38:01,9,20,0,2,2,2,1,1,2,7,2,3,1,4,20,42.5
Russell,Westbrook,2014-12-31,OKC,PHO,00:17:16,5,13,1,2,9,10,2,2,4,4,1,0,1,1,20,33.0
DeAndre,Jordan,2014-12-31,LAC,NYK,00:25:28,6,6,0,0,2,7,2,10,12,0,2,1,0,4,14,35.0
Tim,Duncan,2014-12-31,SAS,NOP,00:35:42,6,12,0,0,4,6,0,10,10,5,0,3,2,2,16,41.0
Marcus,Morris,2014-12-31,PHO,OKC,00:31:08,7,11,2,3,2,2,1,4,5,1,1,1,0,6,18,30.75
P.J.,Tucker,2014-12-31,PHO,OKC,00:34:30,4,9,2,4,3,4,2,3,5,2,4,0,0,3,13,31.25
Markieff,Morris,2014-12-31,PHO,OKC,00:34:22,10,17,3,5,2,3,0,4,4,0,1,0,3,4,25,32.0
Kelly,Olynyk,2014-12-31,BOS,SAC,00:26:02,6,10,1,2,2,2,0,4,4,3,1,1,1,2,15,28.5
Giannis,Antetokounmpo,2014-12-31,MIL,CLE,00:29:41,5,11,1,3,3,4,0,8,8,5,1,3,3,1,14,38.5
Kyrie,Irving,2014-12-31,CLE,MIL,00:39:29,9,23,1,7,6,7,0,5,5,4,0,0,3,0,25,36.25
George,Hill,2014-12-31,IND,MIA,00:31:25,7,14,2,4,4,4,1,2,3,1,0,1,1,4,20,27.75
Chris,Bosh,2014-12-31,MIA,IND,00:37:41,7,14,2,4,2,3,0,8,8,1,0,0,0,2,18,30.5
Blake,Griffin,2014-12-31,LAC,NYK,00:34:35,6,16,0,0,1,3,0,7,7,11,0,0,0,1,13,38.25
J.J.,Redick,2014-12-31,LAC,NYK,00:31:44,7,13,4,8,2,3,0,4,4,1,0,0,2,1,20,27.5
O.J.,Mayo,2014-12-31,MIL,CLE,00:22:56,6,13,3,6,0,0,0,3,3,4,2,1,0,5,15,32.25
Luol,Deng,2014-12-31,MIA,IND,00:32:19,6,11,0,2,3,5,0,3,3,3,0,0,0,0,15,23.25
Ryan,Anderson,2014-12-31,NOP,SAS,00:38:25,7,18,2,8,2,2,4,7,11,2,0,0,2,2,18,34.75
Carl,Landry,2014-12-31,SAC,BOS,00:29:19,7,11,0,0,0,0,3,2,5,0,1,2,1,4,14,25.75
Evan,Turner,2014-12-31,BOS,SAC,00:22:40,4,10,0,0,2,2,0,6,6,11,3,0,4,4,10,38.0
Chris,Andersen,2014-12-31,MIA,IND,00:20:36,3,7,0,0,5,6,3,4,7,0,0,2,0,2,11,23.75
Bismack,Biyombo,2014-12-31,CHO,HOU,00:25:42,1,2,0,0,7,10,2,5,7,0,0,3,0,3,9,23.75
David,West,2014-12-31,IND,MIA,00:30:31,4,7,1,1,1,1,0,6,6,4,1,1,2,1,10,27.0
Darren,Collison,2014-12-31,SAC,BOS,00:32:15,4,10,0,4,6,6,0,0,0,5,1,1,3,1,14,24.0
Kemba,Walker,2014-12-31,CHO,HOU,00:34:36,4,11,1,3,3,3,1,0,1,5,1,1,1,1,12,24.75
Carmelo,Anthony,2014-12-31,NYK,LAC,00:28:51,7,18,1,2,4,6,1,4,5,1,0,0,1,0,19,26.75
Jordan,Farmar,2014-12-31,LAC,NYK,00:20:26,3,5,3,5,2,2,0,1,1,1,0,1,0,1,11,17.25
Gerald,Henderson,2014-12-31,CHO,HOU,00:31:01,7,14,0,2,2,2,0,4,4,2,1,0,2,2,16,25.0
Khris,Middleton,2014-12-31,MIL,CLE,00:31:50,3,9,2,5,1,2,2,6,8,3,3,0,2,0,9,29.5
Marcus,Smart,2014-12-31,BOS,SAC,00:28:29,4,8,3,6,0,0,1,5,6,2,2,0,2,2,11,26.0
Michael,Kidd-Gilchrist,2014-12-31,CHO,HOU,00:28:10,6,15,0,0,4,4,2,6,8,2,0,2,3,3,16,31.5
Jae,Crowder,2014-12-31,BOS,SAC,00:23:54,5,10,1,4,1,1,2,2,4,0,1,0,0,1,12,19.5
Roy,Hibbert,2014-12-31,IND,MIA,00:29:18,4,8,0,0,2,2,3,7,10,3,0,0,2,2,10,26.0
Spencer,Hawes,2014-12-31,LAC,NYK,00:23:01,4,7,2,3,0,0,0,7,7,2,1,0,1,2,10,24.25
Jimmer,Fredette,2014-12-31,NOP,SAS,00:24:08,5,8,2,3,2,2,0,3,3,0,0,0,2,0,14,17.75
C.J.,Watson,2014-12-31,IND,MIA,00:21:26,3,4,1,1,4,4,1,1,2,4,0,1,3,4,11,20.5
Matt,Barnes,2014-12-31,LAC,NYK,00:28:29,3,7,3,6,0,0,1,4,5,0,2,1,0,2,9,22.75
Tyreke,Evans,2014-12-31,NOP,SAS,00:39:36,5,18,0,6,5,6,1,2,3,3,2,0,0,1,15,27.25
Cole,Aldrich,2014-12-31,NYK,LAC,00:31:24,4,9,0,0,0,0,0,5,5,5,1,1,0,3,8,25.75
Marco,Belinelli,2014-12-31,SAS,NOP,00:23:44,4,8,0,2,2,4,0,2,2,2,2,0,0,1,10,19.5
Matthew,Dellavedova,2014-12-31,CLE,MIL,00:29:37,3,8,3,5,2,2,0,4,4,4,0,0,1,2,11,23.0
Perry,Jones,2014-12-31,OKC,PHO,00:23:42,4,6,0,0,0,0,1,3,4,2,2,0,0,4,8,20.0
Pablo,Prigioni,2014-12-31,NYK,LAC,00:28:46,3,6,1,4,2,2,0,6,6,2,1,0,1,1,9,21.5
Trevor,Ariza,2014-12-31,HOU,CHO,00:35:46,4,12,1,9,1,1,1,2,3,4,3,0,0,4,10,26.25
Ray,McCallum,2014-12-31,SAC,BOS,00:22:17,4,8,0,2,3,6,2,2,4,1,2,0,1,2,11,21.0
Tristan,Thompson,2014-12-31,CLE,MIL,00:36:45,3,11,0,0,4,4,7,6,13,2,0,1,2,4,10,30.25
Shane,Larkin,2014-12-31,NYK,LAC,00:21:21,3,7,0,1,0,0,1,3,4,5,3,0,1,2,6,24.0
Hassan,Whiteside,2014-12-31,MIA,IND,00:19:50,3,6,0,0,0,0,3,4,7,0,1,3,0,2,6,22.75
Danny,Granger,2014-12-31,MIA,IND,00:25:20,6,9,2,4,0,0,0,3,3,0,1,0,2,4,14,19.75
Steven,Adams,2014-12-31,OKC,PHO,00:27:46,3,7,0,0,3,3,3,4,7,1,1,0,0,5,9,21.25
Jamal,Crawford,2014-12-31,LAC,NYK,00:20:37,4,10,2,7,3,3,0,0,0,3,1,0,2,1,13,19.5
Kendrick,Perkins,2014-12-31,OKC,PHO,00:20:00,2,4,0,0,5,5,4,1,5,0,0,2,2,3,9,18.25
Dion,Waiters,2014-12-31,CLE,MIL,00:26:39,5,10,0,2,0,0,1,2,3,4,2,0,2,2,10,22.75
Patrick,Beverley,2014-12-31,HOU,CHO,00:26:30,5,16,4,12,0,0,3,1,4,3,0,1,1,2,14,27.0
Jrue,Holiday,2014-12-31,NOP,SAS,00:38:47,5,18,3,6,0,0,0,6,6,9,2,0,2,6,13,38.5
Boris,Diaw,2014-12-31,SAS,NOP,00:20:36,4,7,0,0,0,0,2,4,6,3,0,2,2,2,8,23.0
Ish,Smith,2014-12-31,OKC,PHO,00:10:50,3,5,0,1,2,2,2,0,2,1,0,0,0,0,8,12.0
Anthony,Morrow,2014-12-31,OKC,PHO,00:28:56,1,7,1,6,8,9,1,2,3,1,0,0,0,1,11,16.75
Ben,McLemore,2014-12-31,SAC,BOS,00:18:49,3,5,2,3,4,4,0,5,5,0,1,0,3,4,12,19.75
Zaza,Pachulia,2014-12-31,MIL,CLE,00:22:39,4,9,0,0,1,2,3,5,8,1,1,0,1,2,9,22.0
Serge,Ibaka,2014-12-31,OKC,PHO,00:38:13,5,12,3,6,2,2,2,5,7,1,0,1,4,4,15,26.75
Avery,Bradley,2014-12-31,BOS,SAC,00:22:33,4,8,0,0,1,2,0,3,3,3,1,0,1,1,9,18.75
Jared,Dudley,2014-12-31,MIL,CLE,00:29:56,4,8,1,2,0,0,2,5,7,1,0,0,0,4,9,19.75
Gary,Neal,2014-12-31,CHO,HOU,00:26:10,3,7,0,2,4,5,0,6,6,2,1,1,3,2,10,23.0
Solomon,Hill,2014-12-31,IND,MIA,00:24:56,1,4,0,0,6,6,0,1,1,3,0,0,0,3,8,13.75
Gerald,Green,2014-12-31,PHO,OKC,00:25:30,3,11,2,4,6,9,1,3,4,1,0,0,1,3,14,21.0
Josh,Smith,2014-12-31,HOU,CHO,00:27:30,2,7,1,2,0,2,0,4,4,3,3,3,1,3,5,26.5
Tiago,Splitter,2014-12-31,SAS,NOP,00:25:12,3,7,0,0,0,0,2,3,5,2,0,1,0,1,6,17.25
John,Henson,2014-12-31,MIL,CLE,00:24:30,3,8,0,0,0,0,1,6,7,3,0,1,0,2,6,21.25
James,Jones,2014-12-31,CLE,MIL,00:23:18,3,8,3,6,0,0,0,5,5,1,0,0,0,2,9,18.25
Quincy,Acy,2014-12-31,NYK,LAC,00:18:38,3,5,0,1,2,2,0,3,3,0,0,0,0,2,8,11.75
Brandon,Bass,2014-12-31,BOS,SAC,00:16:41,3,7,0,0,2,2,2,2,4,1,0,0,0,3,8,14.5
Cody,Zeller,2014-12-31,CHO,HOU,00:26:11,3,5,0,0,0,0,0,7,7,3,1,1,3,2,6,21.75
Rodney,Stuckey,2014-12-31,IND,MIA,00:19:06,3,5,0,0,0,0,1,1,2,2,0,0,0,1,6,11.5
Nate,Wolters,2014-12-31,MIL,CLE,00:16:00,2,3,0,0,0,0,1,2,3,1,1,0,0,0,4,11.25
Brandan,Wright,2014-12-31,BOS,SAC,00:8:22,3,4,0,0,0,0,1,1,2,0,0,1,0,1,6,10.5
Miles,Plumlee,2014-12-31,PHO,OKC,00:15:54,3,4,0,0,0,0,1,3,4,0,0,0,0,1,6,11.0
Dwight,Howard,2014-12-31,HOU,CHO,00:28:42,5,5,0,0,1,3,1,7,8,1,0,1,6,4,11,21.5
Jason,Terry,2014-12-31,HOU,CHO,00:19:01,2,4,1,1,0,0,0,1,1,2,1,1,0,3,5,13.75
