first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Russell,Westbrook,2015-02-02,OKC,ORL,2301,8,15,1,3,8,8,1,10,11,14,4,1,2,1,25,69.25
Anthony,Davis,2015-02-02,NOP,ATL,2036,12,23,0,0,5,7,8,5,13,3,1,2,2,2,29,54.75
Khris,Middleton,2015-02-02,MIL,TOR,2258,10,17,3,4,2,2,0,9,9,1,3,0,1,1,25,44.75
Eric,Bledsoe,2015-02-02,PHO,MEM,2278,9,16,1,3,2,4,2,5,7,8,4,2,3,4,21,52.75
Joe,Johnson,2015-02-02,BRK,LAC,2318,8,13,4,6,2,4,0,5,5,6,1,0,1,1,22,40.75
Tyreke,Evans,2015-02-02,NOP,ATL,1912,7,14,1,2,0,0,2,3,5,12,2,0,0,1,15,43.75
Robert,Covington,2015-02-02,PHI,CLE,2051,6,13,4,8,2,3,2,1,3,4,7,1,2,4,18,44.75
Eric,Gordon,2015-02-02,NOP,ATL,1701,7,11,4,6,2,2,0,3,3,7,0,1,1,4,20,37.75
DeAndre,Jordan,2015-02-02,LAC,BRK,2203,10,13,0,0,2,12,8,12,20,0,0,0,3,2,22,45.5
Thaddeus,Young,2015-02-02,MIN,DAL,2365,5,10,0,2,5,6,2,7,9,3,3,1,0,3,15,38.75
Victor,Oladipo,2015-02-02,ORL,OKC,2026,7,14,2,4,6,6,1,6,7,4,1,0,3,3,22,38.25
Dion,Waiters,2015-02-02,OKC,ORL,2452,9,15,2,4,4,6,1,3,4,1,1,0,2,2,24,32.5
Brook,Lopez,2015-02-02,BRK,LAC,2203,12,20,0,0,0,0,1,6,7,0,1,0,0,4,24,34.75
Chandler,Parsons,2015-02-02,DAL,MIN,2106,8,12,2,4,0,0,1,5,6,2,4,0,3,3,18,36.0
Chris,Paul,2015-02-02,LAC,BRK,2266,8,18,2,5,2,4,0,8,8,8,3,0,3,4,20,47.5
Jeff,Teague,2015-02-02,ATL,NOP,1753,8,17,1,2,4,5,0,2,2,7,1,0,1,3,21,36.0
Kyrie,Irving,2015-02-02,CLE,PHI,2339,9,16,3,8,3,4,1,4,5,5,0,0,5,1,24,36.75
Serge,Ibaka,2015-02-02,OKC,ORL,2213,6,12,2,5,2,2,1,7,8,1,2,3,1,3,16,38.0
Tyson,Chandler,2015-02-02,DAL,MIN,1872,2,2,0,0,2,2,5,5,10,5,0,3,0,2,6,32.0
Michael,Kidd-Gilchrist,2015-02-02,CHO,WAS,2200,4,6,0,0,5,10,2,11,13,3,1,0,0,3,13,35.75
Brian,Roberts,2015-02-02,CHO,WAS,2035,6,10,1,3,5,5,0,1,1,3,1,0,1,2,18,25.75
Jerami,Grant,2015-02-02,PHI,CLE,1560,5,7,3,5,5,7,3,4,7,2,0,0,3,3,18,29.75
Gerald,Henderson,2015-02-02,CHO,WAS,2003,6,13,1,2,4,4,1,1,2,5,1,0,1,0,17,29.0
Al,Jefferson,2015-02-02,CHO,WAS,1884,9,19,0,0,0,0,2,10,12,1,2,0,0,2,18,38.5
Mo,Williams,2015-02-02,MIN,DAL,1598,3,7,2,6,7,7,0,3,3,5,1,0,1,4,15,28.75
Marc,Gasol,2015-02-02,MEM,PHO,2067,4,11,0,0,7,8,0,6,6,8,0,3,3,3,15,39.0
Dirk,Nowitzki,2015-02-02,DAL,MIN,1836,7,10,2,3,0,1,0,7,7,2,1,1,2,2,16,31.75
Mike,Conley,2015-02-02,MEM,PHO,1692,9,15,1,5,4,5,0,1,1,1,2,0,3,5,23,28.75
Zach,Randolph,2015-02-02,MEM,PHO,1912,6,15,0,0,7,8,3,6,9,1,1,0,2,2,19,32.75
Jonas,Valanciunas,2015-02-02,TOR,MIL,1519,6,9,0,0,0,0,6,7,13,0,0,1,1,2,12,29.75
Kris,Humphries,2015-02-02,WAS,CHO,1532,4,8,0,0,5,6,3,2,5,1,1,0,0,0,13,22.75
Bradley,Beal,2015-02-02,WAS,CHO,2337,7,16,2,4,2,2,0,11,11,1,1,0,1,2,18,35.75
Kyle,O'Quinn,2015-02-02,ORL,OKC,1372,5,10,0,2,1,3,3,5,8,2,3,1,0,3,11,32.0
Al,Horford,2015-02-02,ATL,NOP,1805,4,9,0,1,0,0,5,4,9,4,3,0,1,1,8,30.75
John,Henson,2015-02-02,MIL,TOR,1743,5,8,0,0,2,2,0,4,4,1,2,2,1,1,12,26.0
Nikola,Vucevic,2015-02-02,ORL,OKC,1693,9,16,0,0,2,2,4,2,6,1,0,0,2,6,20,28.0
Giannis,Antetokounmpo,2015-02-02,MIL,TOR,2091,4,9,0,1,4,8,2,10,12,3,0,2,0,4,12,35.5
LeBron,James,2015-02-02,CLE,PHI,2151,6,17,1,4,5,6,0,3,3,11,2,0,6,2,18,39.75
Kevin,Martin,2015-02-02,MIN,DAL,2325,8,17,1,3,2,2,0,4,4,1,2,0,2,1,19,29.0
Anthony,Morrow,2015-02-02,OKC,ORL,1515,4,6,3,3,4,4,1,0,1,1,0,0,2,0,15,18.25
Willie,Green,2015-02-02,ORL,OKC,1629,4,7,3,5,2,2,0,3,3,3,1,0,2,0,13,23.75
Isaiah,Thomas,2015-02-02,PHO,MEM,1410,8,19,2,7,6,6,0,3,3,2,0,0,3,4,24,30.25
Omer,Asik,2015-02-02,NOP,ATL,1969,2,6,0,0,5,6,3,14,17,1,0,1,1,1,9,33.25
Patrick,Patterson,2015-02-02,TOR,MIL,1854,3,8,1,4,2,2,4,7,11,2,2,0,1,1,9,29.75
Brandan,Wright,2015-02-02,PHO,MEM,1345,5,6,0,0,1,1,1,5,6,0,0,1,0,1,11,20.5
Blake,Griffin,2015-02-02,LAC,BRK,2102,6,10,0,0,1,4,1,5,6,7,1,0,2,6,13,32.0
Timofey,Mozgov,2015-02-02,CLE,PHI,1600,4,11,0,0,2,2,3,5,8,0,1,5,0,3,10,32.0
Ryan,Anderson,2015-02-02,NOP,ATL,1690,5,10,1,4,4,4,1,5,6,0,0,1,2,1,15,24.0
Tobias,Harris,2015-02-02,ORL,OKC,2437,8,20,0,5,2,3,1,3,4,4,0,0,1,0,18,28.5
Al-Farouq,Aminu,2015-02-02,DAL,MIN,1286,4,5,1,2,0,0,2,3,5,2,2,2,3,3,9,25.25
John,Wall,2015-02-02,WAS,CHO,2051,4,14,1,4,7,7,1,0,1,10,0,0,4,4,16,30.75
Dante,Cunningham,2015-02-02,NOP,ATL,1341,4,6,0,0,2,2,0,1,1,2,0,1,0,0,10,16.25
Iman,Shumpert,2015-02-02,CLE,PHI,1324,4,4,2,2,1,2,0,2,2,0,2,0,1,3,11,18.0
Hollis,Thompson,2015-02-02,PHI,CLE,1151,3,7,2,4,2,2,4,3,7,0,2,0,1,3,10,23.25
Gorgui,Dieng,2015-02-02,MIN,DAL,1268,4,8,0,0,1,2,5,4,9,2,1,0,1,3,9,24.75
Jeff,Green,2015-02-02,MEM,PHO,2169,4,12,1,3,3,5,4,3,7,1,2,0,1,1,12,26.25
Jared,Dudley,2015-02-02,MIL,TOR,2284,5,12,3,7,1,4,0,1,1,5,0,1,0,4,14,26.25
Goran,Dragic,2015-02-02,PHO,MEM,2451,7,14,1,3,0,1,1,4,5,4,2,0,4,3,15,29.75
Kyle,Korver,2015-02-02,ATL,NOP,1795,5,7,2,2,0,0,0,3,3,1,0,0,1,2,12,17.75
Deron,Williams,2015-02-02,BRK,LAC,1747,5,8,3,5,2,2,0,3,3,3,0,0,4,4,15,22.75
Paul,Millsap,2015-02-02,ATL,NOP,1943,5,14,0,3,5,6,2,4,6,1,0,2,2,2,15,27.0
Kosta,Koufos,2015-02-02,MEM,PHO,908,1,2,0,0,2,2,5,6,11,1,1,0,1,1,4,20.75
Markieff,Morris,2015-02-02,PHO,MEM,1872,7,15,0,1,0,0,0,3,3,1,2,1,1,3,14,24.75
Jimmer,Fredette,2015-02-02,NOP,ATL,1235,3,6,2,5,2,2,1,1,2,3,1,2,3,3,10,22.5
Monta,Ellis,2015-02-02,DAL,MIN,2166,7,21,3,7,6,11,0,1,1,2,2,0,3,4,23,31.25
Andrew,Wiggins,2015-02-02,MIN,DAL,2557,4,14,0,0,6,7,5,0,5,3,2,1,4,4,14,28.75
Jose,Barea,2015-02-02,DAL,MIN,1740,4,14,0,3,2,2,3,1,4,8,0,0,1,2,10,26.5
Kevin,Love,2015-02-02,CLE,PHI,1964,1,7,1,2,2,2,3,12,15,2,1,1,1,1,5,30.75
Luc,Mbah,2015-02-02,PHI,CLE,1897,6,14,1,4,0,0,2,3,5,3,0,1,2,2,13,25.25
JaKarr,Sampson,2015-02-02,PHI,CLE,1089,4,5,2,2,0,0,0,0,0,1,2,1,3,2,10,17.0
Matt,Barnes,2015-02-02,LAC,BRK,2371,5,10,1,5,1,2,1,3,4,2,1,0,2,3,12,21.5
Jamal,Crawford,2015-02-02,LAC,BRK,2241,7,22,2,7,2,3,3,2,5,4,0,0,2,3,18,30.25
Steven,Adams,2015-02-02,OKC,ORL,1591,5,7,0,0,2,2,1,3,4,2,0,0,3,5,12,18.5
Marcus,Morris,2015-02-02,PHO,MEM,1244,3,4,1,1,0,2,0,1,1,2,2,0,0,3,7,15.75
Paul,Pierce,2015-02-02,WAS,CHO,1412,4,7,3,5,0,0,0,3,3,1,1,0,2,3,11,18.75
Matthew,Dellavedova,2015-02-02,CLE,PHI,1330,4,7,3,4,1,2,0,1,1,2,1,0,2,5,12,18.75
Devin,Harris,2015-02-02,DAL,MIN,1417,2,6,1,5,2,2,0,1,1,4,1,1,1,1,7,18.25
Dennis,Schroder,2015-02-02,ATL,NOP,1127,4,13,0,2,2,2,1,1,2,5,0,0,0,0,10,20.0
Tony,Allen,2015-02-02,MEM,PHO,1410,5,12,0,1,0,0,2,2,4,2,2,0,2,1,10,21.0
Mike,Scott,2015-02-02,ATL,NOP,1356,3,8,1,5,1,1,0,3,3,0,2,0,0,1,8,16.25
J.R.,Smith,2015-02-02,CLE,PHI,1532,5,10,2,6,0,0,0,2,2,1,0,0,2,1,12,16.0
DeMar,DeRozan,2015-02-02,TOR,MIL,1523,5,16,0,2,6,8,0,2,2,2,1,0,2,3,16,22.5
Nick,Calathes,2015-02-02,MEM,PHO,644,2,3,1,1,0,0,0,1,1,1,1,0,0,0,5,10.25
Bojan,Bogdanovic,2015-02-02,BRK,LAC,1067,4,9,3,7,0,0,0,0,0,2,0,0,1,3,11,15.0
Tyler,Hansbrough,2015-02-02,TOR,MIL,1128,1,1,0,0,1,2,2,4,6,0,2,0,1,1,3,14.0
John,Jenkins,2015-02-02,ATL,NOP,956,3,5,1,1,0,0,0,1,1,1,0,0,0,1,7,10.25
Courtney,Lee,2015-02-02,MEM,PHO,1917,2,4,0,0,2,2,0,1,1,1,1,1,1,1,6,12.25
Alan,Anderson,2015-02-02,BRK,LAC,1239,3,8,2,6,1,1,0,0,0,1,0,0,0,1,9,11.5
Jon,Leuer,2015-02-02,MEM,PHO,656,2,6,0,0,0,0,2,4,6,1,1,0,0,0,4,15.0
Terrence,Ross,2015-02-02,TOR,MIL,1900,4,12,2,5,0,0,0,4,4,2,1,0,0,5,10,21.0
