first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Luol,Deng,2014-11-09,MIA,DAL,00:36:41,13,19,4,9,0,2,0,5,5,4,1,0,0,1,30,46.25
Nikola,Vucevic,2014-11-09,ORL,BRK,00:32:23,13,19,0,0,1,1,4,8,12,1,2,0,0,3,27,47.5
DeMar,DeRozan,2014-11-09,TOR,PHI,00:25:42,8,12,0,0,8,8,1,5,6,2,2,1,3,1,24,39.0
Bojan,Bogdanovic,2014-11-09,BRK,ORL,00:31:32,9,12,2,3,2,2,4,2,6,1,2,0,1,2,22,35.5
Rudy,Gay,2014-11-09,SAC,OKC,00:37:38,9,19,1,6,4,4,2,8,10,6,2,0,1,2,23,48.5
LaMarcus,Aldridge,2014-11-09,POR,DEN,00:36:12,12,26,1,1,3,4,4,5,9,4,1,1,1,2,28,49.25
Jeremy,Lin,2014-11-09,LAL,CHO,00:32:41,8,12,3,6,2,2,1,2,3,7,1,0,1,3,21,38.25
Brandon,Jennings,2014-11-09,DET,UTA,00:31:28,8,15,3,7,4,4,1,1,2,5,1,0,2,0,23,35.5
Chris,Bosh,2014-11-09,MIA,DAL,00:36:50,7,10,0,2,6,11,2,8,10,5,1,0,3,0,20,40.5
Tyson,Chandler,2014-11-09,DAL,MIA,00:29:48,7,10,0,0,2,3,10,5,15,2,0,1,3,1,16,38.25
Stephen,Curry,2014-11-09,GSW,PHO,00:34:04,10,20,4,10,4,4,0,2,2,10,5,0,10,5,28,52.5
Goran,Dragic,2014-11-09,PHO,GSW,00:29:14,8,12,3,3,0,0,0,2,2,3,3,0,1,1,19,33.0
Isaiah,Thomas,2014-11-09,PHO,GSW,00:26:51,4,13,1,5,13,14,1,2,3,7,1,0,3,1,22,37.25
Deron,Williams,2014-11-09,BRK,ORL,00:40:43,7,12,0,1,4,4,0,4,4,7,2,0,2,3,18,36.5
Mario,Chalmers,2014-11-09,MIA,DAL,00:34:22,6,9,3,5,3,3,0,1,1,4,2,0,1,4,18,30.25
Monta,Ellis,2014-11-09,DAL,MIA,00:34:08,8,14,2,5,5,6,1,1,2,5,0,0,2,5,23,33.0
Terrence,Ross,2014-11-09,TOR,PHI,00:29:16,6,11,4,7,1,2,1,4,5,1,2,2,1,0,17,34.25
Ty,Lawson,2014-11-09,DEN,POR,00:38:20,7,16,0,0,4,6,2,4,6,8,2,0,2,2,18,40.5
Kemba,Walker,2014-11-09,CHO,LAL,00:34:00,7,11,0,0,3,5,1,2,3,4,2,0,1,1,17,30.25
Dwyane,Wade,2014-11-09,MIA,DAL,00:35:36,9,18,1,1,1,2,1,1,2,10,1,0,3,2,20,38.5
Draymond,Green,2014-11-09,GSW,PHO,00:35:56,7,14,3,7,5,5,1,8,9,0,1,4,5,5,22,42.25
Wesley,Matthews,2014-11-09,POR,DEN,00:34:38,8,19,5,13,0,2,1,5,6,3,1,1,0,3,21,39.5
Kenneth,Faried,2014-11-09,DEN,POR,00:30:40,7,16,0,0,5,5,5,2,7,1,0,3,2,3,19,34.25
Damian,Lillard,2014-11-09,POR,DEN,00:33:44,4,9,2,5,1,1,1,4,5,7,2,0,0,3,11,32.75
Jae,Crowder,2014-11-09,DAL,MIA,00:12:05,5,6,2,2,3,3,1,0,1,1,0,0,0,1,15,18.75
Evan,Fournier,2014-11-09,ORL,BRK,00:33:01,6,9,2,2,5,8,0,1,1,5,0,0,3,3,19,27.25
Greg,Monroe,2014-11-09,DET,UTA,00:32:10,8,18,0,0,3,5,3,8,11,2,1,0,1,3,19,37.25
Dirk,Nowitzki,2014-11-09,DAL,MIA,00:29:52,6,15,2,3,3,4,0,6,6,3,1,1,1,0,17,33.5
Chris,Johnson,2014-11-09,PHI,TOR,00:28:32,5,12,4,9,2,2,0,1,1,1,3,2,0,5,16,30.75
Mason,Plumlee,2014-11-09,BRK,ORL,00:16:06,4,8,0,0,4,6,5,5,10,0,1,1,1,0,12,28.0
Chris,Kaman,2014-11-09,POR,DEN,00:18:41,4,9,0,0,4,5,2,6,8,0,0,5,1,0,12,31.5
Luke,Ridnour,2014-11-09,ORL,BRK,00:19:21,4,6,3,3,0,0,1,3,4,4,1,0,0,3,11,25.5
Gerald,Green,2014-11-09,PHO,GSW,00:18:40,6,12,4,7,3,3,1,2,3,0,1,0,3,0,19,25.25
Serge,Ibaka,2014-11-09,OKC,SAC,00:35:08,6,14,0,3,2,2,4,5,9,1,0,4,1,3,14,34.25
Gordon,Hayward,2014-11-09,UTA,DET,00:39:29,5,13,2,6,5,6,0,4,4,4,3,0,4,1,17,33.0
Dante,Exum,2014-11-09,UTA,DET,00:20:49,2,4,0,1,5,5,1,2,3,5,1,0,0,2,9,22.25
Jeremy,Lamb,2014-11-09,OKC,SAC,00:34:09,5,13,2,3,5,6,1,8,9,4,0,0,3,1,17,33.75
Henry,Sims,2014-11-09,PHI,TOR,00:28:55,5,11,0,0,2,2,5,3,8,3,1,0,1,2,12,28.0
Louis,Williams,2014-11-09,TOR,PHI,00:17:34,5,9,1,2,5,6,0,0,0,1,2,0,2,0,16,21.0
Ben,McLemore,2014-11-09,SAC,OKC,00:27:43,6,9,4,6,0,0,0,2,2,2,0,0,1,3,16,23.0
Greivis,Vasquez,2014-11-09,TOR,PHI,00:26:01,5,11,1,2,2,2,0,4,4,6,1,0,1,2,13,29.0
DeMarcus,Cousins,2014-11-09,SAC,OKC,00:34:09,7,15,0,0,2,5,1,6,7,1,4,2,2,5,16,37.25
Al,Jefferson,2014-11-09,CHO,LAL,00:33:47,10,23,0,0,3,6,3,4,7,1,1,0,2,3,23,34.25
Brook,Lopez,2014-11-09,BRK,ORL,00:25:59,4,9,0,0,4,4,3,2,5,0,1,3,1,2,12,25.75
Arron,Afflalo,2014-11-09,DEN,POR,00:25:49,8,14,1,2,1,1,1,3,4,0,0,0,1,2,18,23.0
Robin,Lopez,2014-11-09,POR,DEN,00:28:22,5,12,0,0,2,2,4,5,9,2,0,3,1,3,12,31.75
Andre,Drummond,2014-11-09,DET,UTA,00:31:07,5,11,0,0,1,2,7,11,18,0,1,1,3,2,11,36.0
Derrick,Favors,2014-11-09,UTA,DET,00:35:22,6,14,0,0,4,6,3,9,12,2,0,1,3,2,16,34.5
Jordan,Hill,2014-11-09,LAL,CHO,00:29:38,6,12,0,0,0,0,2,4,6,7,0,0,1,4,12,29.5
Reggie,Jackson,2014-11-09,OKC,SAC,00:41:48,6,19,1,5,9,10,0,2,2,6,0,0,3,4,22,32.5
Marcus,Morris,2014-11-09,PHO,GSW,00:33:20,6,14,3,8,2,2,3,6,9,0,0,0,1,4,17,29.25
Nick,Collison,2014-11-09,OKC,SAC,00:25:22,4,5,2,2,0,0,2,5,7,2,1,0,1,4,10,24.25
Josh,Smith,2014-11-09,DET,UTA,00:29:38,6,14,0,0,1,2,4,5,9,4,0,1,1,3,13,31.75
Kobe,Bryant,2014-11-09,LAL,CHO,00:34:17,7,20,1,5,6,7,0,6,6,4,1,0,4,1,21,35.0
Enes,Kanter,2014-11-09,UTA,DET,00:30:40,6,11,0,0,2,2,3,8,11,0,0,0,1,4,14,27.25
Marvin,Williams,2014-11-09,CHO,LAL,00:29:18,4,6,3,5,0,0,2,3,5,0,1,0,0,3,11,20.75
Wayne,Ellington,2014-11-09,LAL,CHO,00:19:11,3,4,1,2,2,2,3,2,5,1,0,0,0,1,9,17.25
Carlos,Boozer,2014-11-09,LAL,CHO,00:30:14,7,11,0,0,2,2,0,5,5,1,1,0,2,5,16,24.75
Harrison,Barnes,2014-11-09,GSW,PHO,00:31:46,4,7,2,3,2,4,1,8,9,0,1,0,1,2,12,25.75
Ronnie,Price,2014-11-09,LAL,CHO,00:17:37,2,6,0,2,3,3,0,2,2,8,3,0,1,4,7,27.0
Joe,Ingles,2014-11-09,UTA,DET,00:23:30,3,3,3,3,1,2,1,2,3,0,1,0,1,1,10,16.75
Kendrick,Perkins,2014-11-09,OKC,SAC,00:24:56,4,5,0,0,1,3,3,2,5,0,1,2,1,2,9,20.75
Tony,Wroten,2014-11-09,PHI,TOR,00:31:36,6,16,1,4,5,7,0,3,3,5,1,0,3,3,18,30.25
Darren,Collison,2014-11-09,SAC,OKC,00:34:54,5,15,1,6,1,1,1,4,5,7,2,0,2,2,12,32.25
Alexey,Shved,2014-11-09,PHI,TOR,00:16:24,5,11,3,7,1,1,1,1,2,3,0,0,2,1,14,21.5
Alec,Burks,2014-11-09,UTA,DET,00:36:00,6,13,0,1,2,4,0,3,3,4,0,0,1,1,14,23.25
Tyler,Hansbrough,2014-11-09,TOR,PHI,00:18:42,2,2,0,0,3,4,0,6,6,1,1,0,0,2,7,18.0
Kyle,Lowry,2014-11-09,TOR,PHI,00:24:32,5,10,0,3,4,4,1,1,2,3,1,0,4,1,14,21.0
Channing,Frye,2014-11-09,ORL,BRK,00:33:17,5,8,3,4,0,0,0,4,4,3,0,0,3,3,13,22.5
Gary,Neal,2014-11-09,CHO,LAL,00:24:18,4,9,0,2,6,8,0,1,1,1,0,0,1,0,14,16.25
Steve,Blake,2014-11-09,POR,DEN,00:22:25,3,3,3,3,0,0,0,1,1,4,1,0,3,2,9,18.25
Kevin,Garnett,2014-11-09,BRK,ORL,00:28:28,3,9,0,0,2,2,2,6,8,7,1,0,2,4,8,29.5
James,Johnson,2014-11-09,TOR,PHI,00:21:08,4,5,0,1,0,0,0,4,4,3,0,2,2,1,8,20.5
Sebastian,Telfair,2014-11-09,OKC,SAC,00:17:18,5,12,1,5,3,3,0,1,1,2,1,0,2,0,14,19.75
Ed,Davis,2014-11-09,LAL,CHO,00:22:10,5,5,0,0,0,2,1,4,5,0,0,1,1,3,10,17.75
Nicolas,Batum,2014-11-09,POR,DEN,00:35:08,4,11,2,5,0,0,3,6,9,3,1,1,3,2,10,29.25
Jonas,Valanciunas,2014-11-09,TOR,PHI,00:23:01,4,6,0,0,4,4,1,4,5,0,1,2,5,3,12,21.75
K.J.,McDaniels,2014-11-09,PHI,TOR,00:28:06,5,10,1,4,0,1,1,0,1,1,2,4,4,1,11,24.25
