first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Russell,Westbrook,2015-03-08,OKC,TOR,00:40:06,9,21,1,4,11,13,3,8,11,17,4,1,9,1,30,75.25
Tony,Parker,2015-03-08,SAS,CHI,00:30:27,13,19,1,1,5,8,1,3,4,2,2,0,1,2,32,44.0
Al,Jefferson,2015-03-08,CHO,DET,00:29:42,10,14,0,0,4,6,1,7,8,3,3,1,1,2,24,46.0
Shaun,Livingston,2015-03-08,GSW,LAC,00:28:05,9,14,0,0,3,5,2,6,8,3,3,0,0,2,21,41.5
Monta,Ellis,2015-03-08,DAL,LAL,00:37:57,12,22,5,7,2,6,0,3,3,3,1,1,1,3,31,45.25
Draymond,Green,2015-03-08,GSW,LAC,00:27:50,8,15,3,7,4,4,0,3,3,6,1,1,0,3,23,41.25
Enes,Kanter,2015-03-08,OKC,TOR,00:28:33,9,14,0,0,3,5,6,6,12,4,0,1,1,4,21,43.5
Brandon,Bass,2015-03-08,BOS,ORL,00:38:02,9,14,1,1,0,0,10,7,17,5,0,0,3,4,19,46.75
Reggie,Jackson,2015-03-08,DET,CHO,00:33:30,9,21,2,4,5,5,4,3,7,7,1,0,2,2,25,46.25
Gordon,Hayward,2015-03-08,UTA,BRK,00:32:44,7,15,2,6,8,9,1,4,5,1,3,0,1,1,24,38.25
Victor,Oladipo,2015-03-08,ORL,BOS,00:42:18,7,16,2,3,6,6,1,6,7,5,2,0,1,4,22,42.75
Pau,Gasol,2015-03-08,CHI,SAS,00:33:09,9,16,0,0,5,6,2,13,15,0,0,2,2,2,23,44.75
Terrence,Ross,2015-03-08,TOR,OKC,00:25:44,7,12,6,9,0,0,1,3,4,2,2,1,0,3,20,37.0
Mo,Williams,2015-03-08,CHO,DET,00:37:13,6,15,1,5,8,8,0,0,0,9,1,0,1,2,21,36.5
Isaiah,Thomas,2015-03-08,BOS,ORL,00:30:20,5,14,3,9,8,10,0,5,5,9,2,0,3,4,21,44.75
Serge,Ibaka,2015-03-08,OKC,TOR,00:40:38,10,16,0,3,1,2,0,7,7,1,0,5,1,3,21,40.75
