first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Matt,Bonner,2015-04-07,SAS,OKC,00:10:10,0,1,0,1,0,0,0,2,2,0,0,0,0,1,0,2.5
Adreian,Payne,2015-04-07,MIN,SAC,00:13:11,1,4,0,0,0,0,0,1,1,1,0,0,0,3,2,4.75
Klay,Thompson,2015-04-07,GSW,NOP,00:30:03,2,10,1,5,2,2,0,3,3,1,1,1,4,2,7,14.75
Kent,Bazemore,2015-04-07,ATL,PHO,00:19:25,0,3,0,3,1,2,1,8,9,0,1,0,3,1,1,12.75
Noah,Vonleh,2015-04-07,CHO,MIA,00:2:14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0
Jamal,Crawford,2015-04-07,LAC,LAL,00:18:50,2,7,0,4,0,1,0,0,0,1,0,0,0,3,4,5.5
Tony,Parker,2015-04-07,SAS,OKC,00:16:08,1,5,0,1,0,1,0,0,0,2,0,0,1,0,2,4.5
Henry,Walker,2015-04-07,MIA,CHO,00:6:57,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1.25
Robbie,Hummel,2015-04-07,MIN,SAC,00:16:45,1,3,0,0,0,0,0,0,0,0,0,0,0,4,2,2.0
Kyle,Singler,2015-04-07,OKC,SAS,00:14:18,0,1,0,1,1,4,0,2,2,0,0,0,1,0,1,3.0
Jerel,McNeal,2015-04-07,PHO,ATL,00:4:29,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0.75
Earl,Barron,2015-04-07,PHO,ATL,00:14:38,0,5,0,0,1,2,2,1,3,1,0,0,1,1,1,5.75
Reggie,Bullock,2015-04-07,PHO,ATL,00:17:51,0,3,0,1,0,0,1,3,4,0,0,0,1,1,0,4.5
Nik,Stauskas,2015-04-07,SAC,MIN,00:12:51,0,2,0,2,0,0,0,1,1,1,0,1,2,2,0,3.75
