first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Marc,Gasol,2014-11-23,MEM,LAC,00:33:30,13,18,0,0,4,5,1,11,12,1,0,2,1,2,30,50.0
Luol,Deng,2014-11-23,MIA,CHO,00:37:49,10,14,2,3,4,5,1,7,8,3,0,1,0,2,26,43.5
Mario,Chalmers,2014-11-23,MIA,CHO,00:37:47,5,8,1,4,9,10,0,4,4,10,1,1,3,1,20,43.0
Marreese,Speights,2014-11-23,GSW,OKC,00:25:03,11,18,0,0,6,9,3,4,7,2,0,0,0,3,28,39.75
Chris,Paul,2014-11-23,LAC,MEM,00:34:23,7,13,1,2,7,7,0,5,5,5,4,0,2,3,22,43.25
Al,Jefferson,2014-11-23,CHO,MIA,00:34:08,9,17,0,0,4,5,3,9,12,0,2,0,0,0,22,41.0
Ty,Lawson,2014-11-23,DEN,LAL,00:42:50,5,10,1,2,7,10,0,3,3,16,0,0,5,3,18,43.75
Rajon,Rondo,2014-11-23,BOS,POR,00:34:56,6,9,0,0,1,2,0,6,6,8,2,0,2,2,13,35.5
Robert,Sacre,2014-11-23,LAL,DEN,00:18:09,4,6,0,0,5,6,2,1,3,1,3,1,0,2,13,26.25
Klay,Thompson,2014-11-23,GSW,OKC,00:38:09,6,20,4,11,4,4,1,7,8,5,0,0,0,0,20,39.5
Reggie,Jackson,2014-11-23,OKC,GSW,00:35:59,10,26,1,3,1,1,2,9,11,8,1,0,2,5,22,49.25
Kobe,Bryant,2014-11-23,LAL,DEN,00:43:50,10,24,0,2,7,10,2,4,6,4,0,0,4,1,27,38.5
LaMarcus,Aldridge,2014-11-23,POR,BOS,00:37:15,7,21,0,0,6,7,3,11,14,2,0,1,1,1,20,42.0
Jamal,Crawford,2014-11-23,LAC,MEM,00:28:16,5,13,2,6,7,7,0,1,1,1,1,0,0,1,19,24.75
Jared,Sullinger,2014-11-23,BOS,POR,00:33:52,8,22,3,9,0,0,2,5,7,4,1,1,0,2,19,39.25
Timofey,Mozgov,2014-11-23,DEN,LAL,00:30:22,5,9,0,0,3,4,6,7,13,0,1,1,1,5,13,32.75
Anthony,Morrow,2014-11-23,OKC,GSW,00:33:11,5,11,2,5,4,5,1,10,11,0,2,1,2,3,16,35.75
Wilson,Chandler,2014-11-23,DEN,LAL,00:41:29,6,15,5,11,2,3,0,8,8,2,1,1,1,5,19,38.0
Kemba,Walker,2014-11-23,CHO,MIA,00:35:48,6,15,2,6,2,2,2,5,7,4,3,0,3,3,16,36.25
Stephen,Curry,2014-11-23,GSW,OKC,00:38:07,5,15,2,6,3,4,0,6,6,6,1,0,1,0,15,34.0
Jeff,Green,2014-11-23,BOS,POR,00:34:07,7,16,1,4,4,5,2,1,3,0,2,0,1,2,19,26.75
Chris,Kaman,2014-11-23,POR,BOS,00:17:56,6,13,0,0,4,4,3,5,8,0,1,0,1,2,16,27.5
Draymond,Green,2014-11-23,GSW,OKC,00:40:28,3,11,1,5,3,4,3,6,9,6,1,2,1,3,10,36.25
Beno,Udrih,2014-11-23,MEM,LAC,00:20:18,4,8,1,3,2,2,1,2,3,5,0,0,0,2,11,22.75
Nicolas,Batum,2014-11-23,POR,BOS,00:32:22,5,11,2,6,0,0,1,4,5,3,1,0,0,2,12,25.75
Steve,Blake,2014-11-23,POR,BOS,00:21:26,5,8,1,2,0,0,0,2,2,5,0,0,1,0,11,21.0
Lance,Stephenson,2014-11-23,CHO,MIA,00:33:23,7,14,1,6,2,4,0,6,6,5,1,0,3,5,17,33.0
Cody,Zeller,2014-11-23,CHO,MIA,00:30:56,4,7,0,0,3,4,0,2,2,3,1,1,0,3,11,22.0
Jeremy,Lin,2014-11-23,LAL,DEN,00:35:34,8,15,0,4,1,3,0,3,3,5,2,0,3,5,17,30.75
J.J.,Redick,2014-11-23,LAC,MEM,00:26:10,5,10,3,6,2,2,0,1,1,1,0,0,0,2,15,19.25
Shabazz,Napier,2014-11-23,MIA,CHO,00:34:08,4,9,4,5,2,2,0,0,0,3,2,0,3,2,14,23.0
Wesley,Johnson,2014-11-23,LAL,DEN,00:41:38,3,10,0,3,1,1,1,11,12,2,2,3,0,3,7,35.0
Wesley,Matthews,2014-11-23,POR,BOS,00:35:41,4,7,2,3,0,0,1,4,5,3,1,0,2,1,10,22.75
Evan,Turner,2014-11-23,BOS,POR,00:14:25,4,9,0,1,2,2,1,4,5,3,1,0,1,0,10,22.25
Steven,Adams,2014-11-23,OKC,GSW,00:26:00,4,7,0,0,2,2,2,4,6,0,0,1,0,2,10,19.5
Tony,Allen,2014-11-23,MEM,LAC,00:20:01,4,9,0,1,4,4,3,2,5,1,0,1,1,3,12,21.25
Jordan,Hill,2014-11-23,LAL,DEN,00:42:20,2,8,0,0,7,8,1,13,14,1,1,1,2,4,11,33.0
Serge,Ibaka,2014-11-23,OKC,GSW,00:34:20,5,17,0,2,6,6,4,4,8,0,0,5,4,3,16,34.0
Chris,Bosh,2014-11-23,MIA,CHO,00:35:51,9,21,2,5,0,0,1,9,10,1,0,1,5,1,20,34.5
Damian,Lillard,2014-11-23,POR,BOS,00:37:54,4,14,2,6,2,2,0,9,9,5,4,0,5,2,12,37.25
Brandon,Bass,2014-11-23,BOS,POR,00:23:27,3,7,0,0,2,2,1,7,8,0,1,0,0,2,8,20.0
Courtney,Lee,2014-11-23,MEM,LAC,00:38:41,4,10,3,5,2,3,0,3,3,3,2,0,5,0,13,24.25
Arron,Afflalo,2014-11-23,DEN,LAL,00:42:11,5,17,1,6,4,4,1,5,6,1,1,0,1,3,15,26.0
Robin,Lopez,2014-11-23,POR,BOS,00:31:00,4,6,0,0,1,2,2,5,7,2,0,1,4,1,9,20.75
Danilo,Gallinari,2014-11-23,DEN,LAL,00:31:19,3,8,2,7,2,4,0,7,7,1,0,0,1,1,10,20.75
Darrell,Arthur,2014-11-23,DEN,LAL,00:19:29,3,7,1,5,2,2,1,2,3,0,1,0,1,2,9,14.75
Jon,Leuer,2014-11-23,MEM,LAC,00:18:42,4,8,1,2,0,0,1,4,5,1,0,0,1,2,9,16.75
Marvin,Williams,2014-11-23,CHO,MIA,00:24:29,3,5,1,2,0,0,0,2,2,1,0,0,0,1,7,11.5
Gerald,Henderson,2014-11-23,CHO,MIA,00:21:01,2,5,1,2,0,0,0,1,1,3,1,0,0,1,5,13.25
