first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Marcin,Gortat,2015-02-28,WAS,DET,2315,7,12,0,0,2,2,4,13,17,2,3,1,0,2,16,48.25
Hassan,Whiteside,2015-02-28,MIA,ATL,2030,6,8,0,0,2,2,8,16,24,0,0,2,1,2,14,47.5
Marc,Gasol,2015-02-28,MEM,MIN,2121,11,14,0,1,5,9,2,9,11,4,0,2,6,4,27,47.75
Kawhi,Leonard,2015-02-28,SAS,PHO,1915,9,18,0,1,4,4,0,10,10,0,3,2,0,2,22,44.5
Deron,Williams,2015-02-28,BRK,DAL,2108,8,13,4,6,3,4,0,6,6,2,1,0,1,2,23,37.0
Nene,Hilario,2015-02-28,WAS,DET,1782,8,14,0,0,5,6,3,4,7,1,2,0,0,3,21,35.25
Al-Farouq,Aminu,2015-02-28,DAL,BRK,1439,4,4,2,2,2,2,0,5,5,2,4,2,0,3,12,34.25
Trey,Burke,2015-02-28,UTA,MIL,2157,8,19,5,10,2,2,0,3,3,6,1,0,1,2,23,39.75
Spencer,Dinwiddie,2015-02-28,DET,WAS,1497,8,14,1,4,3,3,1,3,4,8,1,0,3,4,20,38.0
Derrick,Favors,2015-02-28,UTA,MIL,2212,7,11,0,0,2,2,5,7,12,0,3,3,3,5,16,41.5
Dwyane,Wade,2015-02-28,MIA,ATL,1861,9,17,0,1,4,4,1,3,4,4,3,0,4,1,22,37.0
Dirk,Nowitzki,2015-02-28,DAL,BRK,1836,8,14,2,5,2,3,2,4,6,2,0,0,0,1,20,31.5
John,Wall,2015-02-28,WAS,DET,2263,8,14,0,3,6,7,1,0,1,6,2,0,5,1,22,33.75
Tim,Hardaway,2015-02-28,NYK,TOR,2127,8,15,2,5,4,7,0,7,7,1,0,0,0,2,22,33.25
Michael,Carter-Williams,2015-02-28,MIL,UTA,1822,6,10,0,0,4,4,0,5,5,3,4,0,3,2,16,33.25
Andrew,Wiggins,2015-02-28,MIN,MEM,2504,10,22,0,0,5,6,4,0,4,2,1,0,2,3,25,34.0
Louis,Williams,2015-02-28,TOR,NYK,1991,6,16,2,10,8,9,0,2,2,3,0,1,1,0,22,31.5
Paul,Millsap,2015-02-28,ATL,MIA,2313,8,15,2,4,4,5,0,5,5,4,2,0,4,4,22,37.25
Alexey,Shved,2015-02-28,NYK,TOR,1198,4,7,2,4,5,5,0,2,2,5,2,0,3,1,15,28.5
Mario,Chalmers,2015-02-28,MIA,ATL,2088,5,13,2,4,4,5,0,1,1,4,5,1,2,3,16,35.25
Gorgui,Dieng,2015-02-28,MIN,MEM,2316,4,6,0,0,5,6,4,5,9,0,2,0,1,3,13,27.75
Marcus,Morris,2015-02-28,PHO,SAS,1479,7,14,3,4,2,2,1,6,7,0,1,1,1,3,19,32.75
Dennis,Schroder,2015-02-28,ATL,MIA,2121,5,14,1,1,5,6,2,2,4,10,2,0,5,0,16,38.0
Jonas,Valanciunas,2015-02-28,TOR,NYK,1650,6,8,0,0,4,6,1,7,8,0,1,0,0,6,16,28.0
Ricky,Rubio,2015-02-28,MIN,MEM,2495,3,12,1,4,6,8,2,5,7,10,4,0,4,4,13,43.25
Thaddeus,Young,2015-02-28,BRK,DAL,1796,7,12,1,2,1,2,3,5,8,1,0,1,1,2,16,29.5
Devin,Harris,2015-02-28,DAL,BRK,1656,5,7,2,4,2,2,0,0,0,5,1,0,1,4,14,24.0
Gary,Neal,2015-02-28,MIN,MEM,1291,4,8,3,5,5,5,0,0,0,2,0,0,0,1,16,20.5
Rudy,Gobert,2015-02-28,UTA,MIL,1925,3,3,0,0,6,9,1,9,10,0,2,3,4,2,12,32.5
Mike,Conley,2015-02-28,MEM,MIN,2118,5,13,2,5,5,5,0,2,2,4,2,0,2,2,17,29.5
Mason,Plumlee,2015-02-28,BRK,DAL,1866,5,8,0,0,4,9,4,6,10,2,1,3,3,5,14,36.0
Greg,Monroe,2015-02-28,DET,WAS,1991,8,15,0,0,5,6,3,7,10,0,1,1,6,2,21,34.5
Trevor,Booker,2015-02-28,UTA,MIL,1623,6,9,0,0,0,0,6,0,6,0,2,1,2,2,12,24.5
Aron,Baynes,2015-02-28,SAS,PHO,1180,3,3,0,0,6,6,4,6,10,1,0,1,3,6,12,26.5
Jeff,Green,2015-02-28,MEM,MIN,1787,3,5,1,1,6,7,0,4,4,4,0,2,2,5,13,27.5
Andrea,Bargnani,2015-02-28,NYK,TOR,1880,6,12,1,2,6,7,1,2,3,1,0,0,3,1,19,23.25
Danny,Green,2015-02-28,SAS,PHO,1491,4,7,2,4,2,2,0,8,8,1,0,1,1,1,12,26.0
Khris,Middleton,2015-02-28,MIL,UTA,2087,8,16,2,4,0,0,0,6,6,3,2,0,3,5,18,33.5
Joe,Johnson,2015-02-28,BRK,DAL,2170,6,13,3,7,0,0,1,7,8,3,0,0,2,1,15,30.0
Giannis,Antetokounmpo,2015-02-28,MIL,UTA,2069,4,5,0,1,0,0,1,4,5,4,3,1,3,3,8,26.75
Jarrett,Jack,2015-02-28,BRK,DAL,1866,6,11,0,2,2,2,0,1,1,4,0,0,1,2,14,20.75
John,Jenkins,2015-02-28,ATL,MIA,1307,4,6,3,4,1,1,0,7,7,0,1,0,2,2,12,23.25
James,Johnson,2015-02-28,TOR,NYK,1962,6,11,0,2,2,3,1,6,7,2,0,3,3,4,14,30.25
Kent,Bazemore,2015-02-28,ATL,MIA,2111,6,10,2,3,1,2,0,2,2,1,3,0,3,5,15,24.5
Paul,Pierce,2015-02-28,WAS,DET,2035,5,12,4,8,0,2,0,5,5,5,1,0,2,5,14,30.75
Cole,Aldrich,2015-02-28,NYK,TOR,1036,2,3,0,0,5,5,0,4,4,1,1,1,1,4,9,19.0
Andre,Drummond,2015-02-28,DET,WAS,1865,5,8,0,0,3,10,3,6,9,0,0,1,1,4,13,25.75
Udonis,Haslem,2015-02-28,MIA,ATL,833,1,1,0,0,4,4,1,5,6,1,0,0,0,0,6,15.0
Kevin,Garnett,2015-02-28,MIN,MEM,918,3,4,0,1,0,0,1,2,3,2,3,0,0,4,6,18.75
Mike,Scott,2015-02-28,ATL,MIA,956,4,5,0,1,1,2,1,2,3,1,0,0,0,1,9,14.25
Tony,Allen,2015-02-28,MEM,MIN,1333,5,9,0,0,1,2,0,2,2,1,2,0,1,1,11,18.5
Reggie,Jackson,2015-02-28,DET,WAS,1383,4,12,1,4,0,0,1,2,3,7,3,0,2,3,9,28.75
Greivis,Vasquez,2015-02-28,TOR,NYK,2039,5,13,4,9,0,0,2,1,3,6,0,0,3,4,14,27.25
Lance,Thomas,2015-02-28,NYK,TOR,1550,3,8,0,0,2,2,3,2,5,3,0,1,1,0,8,20.25
Tayshaun,Prince,2015-02-28,DET,WAS,1444,4,4,0,0,0,1,0,2,2,0,2,0,1,0,8,14.0
Langston,Galloway,2015-02-28,NYK,TOR,1572,2,5,2,3,0,0,3,5,8,1,2,0,1,2,6,22.0
Bradley,Beal,2015-02-28,WAS,DET,1951,2,10,1,4,3,4,2,4,6,5,3,0,2,2,8,28.5
Alan,Anderson,2015-02-28,BRK,DAL,1804,3,7,1,3,2,2,1,2,3,4,1,0,2,2,9,20.25
DeMar,DeRozan,2015-02-28,TOR,NYK,2418,3,15,0,0,7,8,0,3,3,2,3,0,0,3,13,25.75
Louis,Amundson,2015-02-28,NYK,TOR,1466,3,6,0,0,3,6,0,3,3,3,0,3,1,4,9,22.75
Drew,Gooden,2015-02-28,WAS,DET,1208,4,8,1,2,0,0,1,1,2,0,1,1,0,1,9,16.0
John,Henson,2015-02-28,MIL,UTA,1212,2,6,0,0,5,6,0,4,4,0,2,1,1,2,9,19.5
Elton,Brand,2015-02-28,ATL,MIA,1748,3,7,0,0,1,2,4,4,8,2,0,0,0,3,7,20.0
Cleanthony,Early,2015-02-28,NYK,TOR,1178,2,10,0,3,5,6,1,3,4,2,2,0,0,1,9,21.0
Patrick,Patterson,2015-02-28,TOR,NYK,1665,4,7,2,5,0,0,1,4,5,2,2,0,3,5,10,22.75
Amir,Johnson,2015-02-28,TOR,NYK,1198,4,8,0,2,0,0,4,3,7,1,1,0,1,4,8,19.75
Patrick,Mills,2015-02-28,SAS,PHO,1332,3,10,1,7,2,2,1,3,4,2,2,0,1,1,9,21.0
Nick,Calathes,2015-02-28,MEM,MIN,744,2,3,0,1,0,1,0,2,2,6,2,0,2,1,4,18.5
Markel,Brown,2015-02-28,BRK,DAL,1232,2,5,1,3,0,0,0,4,4,4,2,0,1,2,5,20.0
Boris,Diaw,2015-02-28,SAS,PHO,1375,6,14,0,1,0,0,1,3,4,1,1,0,1,1,12,20.0
Kyle,Korver,2015-02-28,ATL,MIA,2134,2,9,2,7,1,1,0,6,6,3,4,1,2,4,7,29.0
Tiago,Splitter,2015-02-28,SAS,PHO,919,4,5,0,0,0,2,1,2,3,0,0,1,0,2,8,13.75
Monta,Ellis,2015-02-28,DAL,BRK,2270,4,16,1,5,3,3,0,1,1,5,3,0,2,2,12,26.25
Eric,Bledsoe,2015-02-28,PHO,SAS,1915,3,9,0,2,6,7,1,5,6,0,0,0,2,1,12,18.5
Anthony,Tolliver,2015-02-28,DET,WAS,1591,3,8,3,8,0,0,0,3,3,1,0,0,0,0,9,15.75
Goran,Dragic,2015-02-28,MIA,ATL,2107,2,7,0,2,2,2,1,2,3,6,2,0,3,1,6,21.25
T.J.,Warren,2015-02-28,PHO,SAS,1076,4,7,0,0,1,1,0,1,1,2,0,0,1,1,9,12.75
Beno,Udrih,2015-02-28,MEM,MIN,762,3,5,0,1,2,2,0,1,1,1,1,0,1,2,8,12.25
Mike,Muscala,2015-02-28,ATL,MIA,945,2,6,0,2,1,1,1,0,1,1,0,4,0,0,5,15.75
Kevin,Martin,2015-02-28,MIN,MEM,2031,5,18,3,8,0,0,0,2,2,5,0,0,1,0,13,24.0
Tim,Duncan,2015-02-28,SAS,PHO,1247,3,6,0,0,0,0,3,7,10,1,0,1,2,3,6,21.0
Brandan,Wright,2015-02-28,PHO,SAS,848,0,3,0,0,3,4,3,0,3,0,1,2,0,0,3,12.75
Rajon,Rondo,2015-02-28,DAL,BRK,1663,4,10,0,0,0,0,2,5,7,6,0,0,4,2,8,23.75
Ersan,Ilyasova,2015-02-28,MIL,UTA,2031,4,13,1,4,3,4,3,2,5,0,0,0,1,3,12,18.25
Markieff,Morris,2015-02-28,PHO,SAS,1076,4,9,0,1,2,3,0,2,2,3,1,0,2,5,10,18.0
Jon,Leuer,2015-02-28,MEM,MIN,863,2,3,0,0,1,2,2,1,3,0,0,1,0,3,5,10.75
O.J.,Mayo,2015-02-28,MIL,UTA,1635,3,9,2,5,0,0,2,4,6,2,2,0,4,1,8,21.5
