first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Brook,Lopez,2015-03-20,BRK,MIL,00:41:45,13,20,0,0,6,6,7,11,18,2,0,5,1,5,32,67.0
Elfrid,Payton,2015-03-20,ORL,POR,00:36:35,10,13,0,0,2,2,5,5,10,10,4,0,1,2,22,57.0
Chris,Paul,2015-03-20,LAC,WAS,00:36:52,12,21,1,3,5,6,0,6,6,15,1,0,1,3,30,62.0
Russell,Westbrook,2015-03-20,OKC,ATL,00:44:27,8,24,3,6,17,17,2,8,10,14,1,0,6,3,36,70.0
Zaza,Pachulia,2015-03-20,MIL,BRK,00:40:06,9,16,0,0,4,4,18,3,21,7,1,0,3,4,22,59.25
Nerlens,Noel,2015-03-20,PHI,NYK,00:32:03,9,14,0,0,5,7,7,7,14,1,5,3,1,2,23,57.5
Rudy,Gay,2015-03-20,SAC,CHO,00:37:05,11,20,2,5,9,10,3,6,9,4,2,0,3,3,33,53.75
Khris,Middleton,2015-03-20,MIL,BRK,00:55:11,11,23,4,8,3,4,2,6,8,6,3,0,1,4,29,55.5
LaMarcus,Aldridge,2015-03-20,POR,ORL,00:35:33,12,24,2,4,5,6,1,9,10,2,0,1,0,1,31,49.5
Nikola,Mirotic,2015-03-20,CHI,TOR,00:31:33,11,21,3,11,4,5,2,9,11,1,0,4,2,3,29,52.75
Dion,Waiters,2015-03-20,OKC,ATL,00:37:28,11,18,2,6,2,2,1,2,3,2,1,2,0,2,26,39.75
Kawhi,Leonard,2015-03-20,SAS,BOS,00:31:05,8,14,2,5,4,4,0,7,7,2,3,0,0,0,22,40.75
Alexey,Shved,2015-03-20,NYK,PHI,00:34:55,8,14,7,8,2,2,0,6,6,3,1,1,2,1,25,43.5
