first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
James,Harden,2014-11-29,HOU,MIL,00:38:16,9,14,4,5,12,13,2,4,6,7,4,1,5,4,34,61.5
Tyson,Chandler,2014-11-29,DAL,PHI,00:31:47,7,9,0,0,6,7,7,6,13,3,4,0,1,2,20,48.25
Kevin,Love,2014-11-29,CLE,IND,00:33:25,9,13,2,3,8,9,3,7,10,2,2,0,2,3,28,47.5
Gordon,Hayward,2014-11-29,UTA,LAC,00:36:05,11,18,4,5,4,8,1,4,5,3,1,0,1,0,30,44.25
Marcin,Gortat,2014-11-29,WAS,NOP,00:41:17,12,20,0,0,0,0,2,11,13,2,2,4,1,2,24,54.75
Anthony,Davis,2014-11-29,NOP,WAS,00:40:10,11,18,0,1,8,9,3,10,13,0,1,0,4,2,30,46.25
Blake,Griffin,2014-11-29,LAC,UTA,00:33:45,13,18,1,1,1,2,2,4,6,3,0,0,1,3,28,40.0
Kyrie,Irving,2014-11-29,CLE,IND,00:35:46,9,17,3,6,3,4,0,10,10,5,0,3,1,1,24,51.0
Jabari,Parker,2014-11-29,MIL,HOU,00:31:49,3,7,0,0,13,14,3,6,9,5,2,0,4,0,19,39.75
Michael,Carter-Williams,2014-11-29,PHI,DAL,00:34:49,4,13,0,3,10,12,2,8,10,16,1,0,5,4,18,54.0
Donatas,Motiejunas,2014-11-29,HOU,MIL,00:30:58,9,13,0,1,2,3,2,4,6,5,0,0,0,3,20,35.0
Chris,Paul,2014-11-29,LAC,UTA,00:33:52,7,13,1,3,2,2,1,2,3,10,2,0,2,0,17,39.25
Paul,Millsap,2014-11-29,ATL,CHO,00:23:53,7,10,0,1,4,5,1,5,6,1,3,0,1,2,18,32.5
K.J.,McDaniels,2014-11-29,PHI,DAL,00:32:11,8,17,2,3,3,3,9,4,13,1,1,2,5,3,21,43.25
Trevor,Booker,2014-11-29,UTA,LAC,00:23:52,4,7,0,2,7,9,5,4,9,2,3,0,3,1,15,33.75
Giannis,Antetokounmpo,2014-11-29,MIL,HOU,00:34:42,7,12,0,1,3,3,2,5,7,2,0,2,0,3,17,32.75
Jason,Terry,2014-11-29,HOU,MIL,00:34:47,7,15,4,8,0,0,2,4,6,5,0,0,0,2,18,35.0
Derrick,Favors,2014-11-29,UTA,LAC,00:33:30,8,11,0,0,3,6,3,4,7,1,0,0,2,1,19,28.25
Alexey,Shved,2014-11-29,PHI,DAL,00:25:51,5,9,2,4,6,8,0,4,4,5,2,0,4,3,18,33.5
DeAndre,Jordan,2014-11-29,LAC,UTA,00:30:38,4,4,0,0,0,0,4,8,12,1,0,3,0,2,8,30.5
Kyle,Korver,2014-11-29,ATL,CHO,00:21:41,4,5,2,3,2,2,0,4,4,2,0,1,0,0,12,23.0
Monta,Ellis,2014-11-29,DAL,PHI,00:36:07,6,14,0,2,6,7,1,3,4,5,3,0,4,3,18,34.5
Khris,Middleton,2014-11-29,MIL,HOU,00:20:27,3,5,1,1,4,4,1,1,2,3,2,0,0,2,11,22.5
LeBron,James,2014-11-29,CLE,IND,00:31:44,9,18,0,1,1,2,0,2,2,7,1,0,3,1,19,32.5
