first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Anthony,Davis,2014-11-10,NOP,CLE,2392,12,21,0,2,3,4,5,9,14,4,4,3,0,1,27,64.5
LeBron,James,2014-11-10,CLE,NOP,2426,9,17,1,3,13,17,2,9,11,9,1,1,4,1,32,61.75
Gordon,Hayward,2014-11-10,UTA,IND,2167,11,15,2,3,6,6,0,8,8,5,0,1,2,1,30,49.5
Ryan,Anderson,2014-11-10,NOP,CLE,2045,11,19,8,12,2,2,2,3,5,3,1,0,0,2,32,48.75
Kyrie,Irving,2014-11-10,CLE,NOP,2436,11,21,4,7,6,7,1,4,5,9,0,0,1,2,32,53.25
Kawhi,Leonard,2014-11-10,SAS,LAC,2234,10,18,1,3,5,5,5,5,10,3,3,1,1,4,26,51.0
Roy,Hibbert,2014-11-10,IND,UTA,1995,11,21,0,0,7,7,3,2,5,1,1,1,0,2,29,40.75
Pau,Gasol,2014-11-10,CHI,DET,2118,8,17,0,1,1,2,3,12,15,4,1,4,1,0,17,51.25
Blake,Griffin,2014-11-10,LAC,SAS,2229,9,17,0,0,5,7,3,7,10,6,1,0,3,3,23,45.0
Kevin,Love,2014-11-10,CLE,NOP,2321,7,13,6,9,2,2,1,4,5,2,1,0,1,2,22,35.75
Derrick,Rose,2014-11-10,CHI,DET,1926,9,20,2,5,4,5,0,2,2,7,1,0,3,2,24,38.5
Lavoy,Allen,2014-11-10,IND,UTA,1637,6,12,0,0,0,0,6,9,15,3,1,1,0,3,12,39.25
A.J.,Price,2014-11-10,IND,UTA,1485,8,12,3,4,3,4,0,1,1,1,0,0,2,1,22,25.25
Carmelo,Anthony,2014-11-10,NYK,ATL,2491,11,25,0,5,3,5,1,8,9,7,0,0,3,3,25,45.25
Tim,Duncan,2014-11-10,SAS,LAC,2138,6,14,0,0,6,8,2,9,11,3,0,1,1,3,18,37.75
Jimmy,Butler,2014-11-10,CHI,DET,2567,6,12,4,7,3,3,1,3,4,1,0,0,1,1,19,27.0
