first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Brandon,Knight,2015-01-06,MIL,PHO,00:34:54,10,20,2,8,4,4,0,2,2,4,3,1,1,1,26,43.0
Markieff,Morris,2015-01-06,PHO,MIL,00:34:30,10,17,2,4,4,5,4,6,10,2,1,0,2,3,26,43.5
Greg,Monroe,2015-01-06,DET,SAS,00:27:47,7,10,0,0,3,4,5,6,11,3,2,0,1,2,17,38.75
Andre,Drummond,2015-01-06,DET,SAS,00:34:34,8,10,0,0,4,9,7,10,17,0,2,1,4,3,20,45.25
Isaiah,Thomas,2015-01-06,PHO,MIL,00:31:18,5,8,2,2,7,8,1,3,4,1,0,0,2,2,19,25.5
Giannis,Antetokounmpo,2015-01-06,MIL,PHO,00:34:12,7,13,0,2,2,2,3,9,12,2,0,1,1,3,16,35.5
Danny,Green,2015-01-06,SAS,DET,00:33:18,5,10,3,5,0,0,2,4,6,3,2,1,0,3,13,32.5
Jeff,Ayres,2015-01-06,SAS,DET,00:16:55,5,8,0,0,6,7,2,2,4,0,0,1,0,3,16,23.0
Goran,Dragic,2015-01-06,PHO,MIL,00:38:49,7,13,2,4,0,0,1,5,6,3,1,0,3,2,16,29.5
Tim,Duncan,2015-01-06,SAS,DET,00:21:45,7,12,0,1,1,2,2,5,7,1,0,2,2,2,15,28.25
Alex,Len,2015-01-06,PHO,MIL,00:23:59,4,7,0,0,1,2,2,6,8,0,0,5,0,2,9,29.0
Khris,Middleton,2015-01-06,MIL,PHO,00:30:27,4,9,1,2,4,4,0,1,1,2,2,0,1,1,13,21.25
John,Henson,2015-01-06,MIL,PHO,00:24:03,6,9,0,0,1,2,4,2,6,3,0,1,3,4,13,25.5
Manu,Ginobili,2015-01-06,SAS,DET,00:27:38,3,7,2,2,3,4,0,3,3,8,2,0,4,3,11,29.75
D.J.,Augustin,2015-01-06,DET,SAS,00:22:22,8,18,1,3,2,3,0,0,0,5,0,0,2,3,19,26.0
Marco,Belinelli,2015-01-06,SAS,DET,00:22:39,4,8,2,5,2,2,0,3,3,2,0,0,2,0,12,18.75
Cory,Joseph,2015-01-06,SAS,DET,00:26:54,3,4,0,0,1,2,0,4,4,4,0,1,1,1,7,19.5
Jodie,Meeks,2015-01-06,DET,SAS,00:29:58,4,11,0,2,5,5,0,3,3,3,0,0,0,4,13,21.25
Tiago,Splitter,2015-01-06,SAS,DET,00:27:38,4,9,0,0,2,4,4,3,7,2,1,1,2,3,10,24.75
Jared,Dudley,2015-01-06,MIL,PHO,00:23:56,3,9,0,4,4,4,1,3,4,2,1,0,0,3,10,20.0
Brandon,Jennings,2015-01-06,DET,SAS,00:29:09,5,18,1,5,2,2,1,0,1,7,1,1,2,1,13,28.25
Eric,Bledsoe,2015-01-06,PHO,MIL,00:37:47,3,10,0,4,4,6,2,4,6,10,2,0,7,2,10,33.0
Boris,Diaw,2015-01-06,SAS,DET,00:21:49,3,5,1,1,3,5,1,2,3,1,0,0,2,0,10,14.75
Jonas,Jerebko,2015-01-06,DET,SAS,00:11:09,2,3,1,2,0,0,1,4,5,0,1,0,0,4,5,13.75
Kentavious,Caldwell-Pope,2015-01-06,DET,SAS,00:36:34,4,9,0,2,2,2,0,0,0,1,1,1,1,5,10,15.0
Kyle,Singler,2015-01-06,DET,SAS,00:15:59,1,1,0,0,1,2,0,3,3,0,2,0,1,0,3,10.25
Gerald,Green,2015-01-06,PHO,MIL,00:16:04,2,9,0,5,3,3,0,4,4,0,2,1,2,1,7,17.0
P.J.,Tucker,2015-01-06,PHO,MIL,00:26:40,2,7,1,3,0,0,1,5,6,1,1,0,2,1,5,15.5
Marcus,Morris,2015-01-06,PHO,MIL,00:19:28,2,6,0,3,2,3,0,0,0,2,0,0,1,1,6,8.5
Miles,Plumlee,2015-01-06,PHO,MIL,00:11:25,2,4,0,0,0,0,1,1,2,0,0,0,0,2,4,6.5
Zaza,Pachulia,2015-01-06,MIL,PHO,00:23:57,2,7,0,0,3,4,4,4,8,2,1,0,6,2,7,19.0
Kendall,Marshall,2015-01-06,MIL,PHO,00:13:06,0,4,0,1,0,0,0,3,3,4,1,0,0,2,0,11.75
O.J.,Mayo,2015-01-06,MIL,PHO,00:17:33,2,6,0,3,0,0,0,1,1,3,0,0,2,1,4,8.75
Johnny,O'Bryant,2015-01-06,MIL,PHO,00:13:52,1,4,0,0,1,2,0,3,3,0,0,1,1,1,3,8.25
Joel,Anthony,2015-01-06,DET,SAS,00:0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jerryd,Bayless,2015-01-06,MIL,PHO,00:24:00,2,7,0,0,0,0,1,3,4,0,1,1,2,3,4,12.0
Caron,Butler,2015-01-06,DET,SAS,00:9:58,1,2,0,1,0,0,0,0,0,0,0,0,1,2,2,1.5
Patrick,Mills,2015-01-06,SAS,DET,00:20:33,2,10,1,5,1,2,2,1,3,1,1,0,2,4,6,12.75
Anthony,Tolliver,2015-01-06,DET,SAS,00:22:30,1,5,0,4,1,1,1,4,5,0,1,0,2,4,3,10.25
Tony,Parker,2015-01-06,SAS,DET,00:12:58,0,3,0,0,3,4,0,0,0,2,0,0,2,2,3,5.0
Matt,Bonner,2015-01-06,SAS,DET,00:7:53,0,3,0,2,1,2,0,1,1,0,0,0,0,0,1,2.25
