first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Stephen,Curry,2014-11-08,GSW,HOU,2398,13,19,6,9,2,2,1,8,9,5,4,0,5,2,34,61.25
Anthony,Davis,2014-11-08,NOP,SAS,2201,10,17,0,0,7,8,2,9,11,1,4,6,4,2,27,60.25
J.J.,Redick,2014-11-08,LAC,POR,2244,11,13,2,3,6,8,0,4,4,1,1,0,1,2,30,39.0
Kyle,Korver,2014-11-08,ATL,NYK,2253,7,12,6,9,7,7,0,4,4,1,1,3,1,1,27,44.0
Dwyane,Wade,2014-11-08,MIA,MIN,1774,11,16,0,0,3,5,0,1,1,8,2,0,2,0,25,41.25
Chris,Paul,2014-11-08,LAC,POR,2187,9,18,0,3,4,4,0,4,4,11,1,1,0,2,22,47.5
Aaron,Brooks,2014-11-08,CHI,BOS,1691,9,15,4,7,4,4,0,0,0,8,0,0,2,6,26,39.0
Solomon,Hill,2014-11-08,IND,WAS,2565,10,19,1,3,7,11,2,4,6,1,3,0,3,2,28,42.0
Zach,Randolph,2014-11-08,MEM,MIL,2155,7,14,1,1,7,7,6,8,14,1,0,0,1,5,22,41.0
Damian,Lillard,2014-11-08,POR,LAC,2316,9,14,4,8,3,4,0,7,7,8,0,0,5,5,25,45.25
Nikola,Pekovic,2014-11-08,MIN,MIA,1780,6,10,0,0,7,7,4,7,11,0,1,0,1,2,19,34.25
Tony,Parker,2014-11-08,SAS,NOP,2016,11,18,0,2,6,6,0,3,3,4,0,0,5,2,28,35.25
Danny,Green,2014-11-08,SAS,NOP,1962,5,8,3,5,3,3,2,2,4,2,1,2,0,2,16,31.5
Chris,Bosh,2014-11-08,MIA,MIN,2129,9,21,0,2,6,6,2,5,7,2,0,0,0,0,24,35.75
Jrue,Holiday,2014-11-08,NOP,SAS,2155,6,15,1,2,2,2,0,3,3,11,3,2,2,4,15,44.75
Robin,Lopez,2014-11-08,POR,LAC,1944,7,10,0,0,5,7,3,4,7,2,0,1,2,3,19,31.75
Nicolas,Batum,2014-11-08,POR,LAC,2045,3,6,2,4,2,2,1,7,8,8,1,2,1,2,10,38.5
Jeff,Teague,2014-11-08,ATL,NYK,2083,6,13,0,0,7,10,1,1,2,5,1,0,0,2,19,31.0
