first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Kyrie,Irving,2015-03-29,CLE,PHI,2295,7,18,1,2,2,3,0,3,3,4,2,0,5,1,17,28.75
JaKarr,Sampson,2015-03-29,PHI,CLE,1008,4,7,1,2,0,0,0,3,3,1,0,0,0,1,9,14.75
J.R.,Smith,2015-03-29,CLE,PHI,2245,3,8,3,7,0,0,1,2,3,2,0,0,0,1,9,17.25
Hollis,Thompson,2015-03-29,PHI,CLE,1423,3,5,1,2,0,0,0,3,3,0,2,0,0,2,7,15.25
Lorenzo,Brown,2015-03-29,MIN,NOP,2160,3,6,0,1,2,2,0,3,3,8,0,0,4,2,8,21.75
Manu,Ginobili,2015-03-29,SAS,MEM,1186,1,3,0,1,2,2,1,3,4,3,1,0,0,1,4,15.5
Anthony,Tolliver,2015-03-29,DET,MIA,1675,3,6,1,4,0,0,0,2,2,4,1,0,1,2,7,17.5
Mike,Conley,2015-03-29,MEM,SAS,2128,2,11,2,5,0,0,0,1,1,9,3,0,1,3,6,27.25
Eric,Bledsoe,2015-03-29,PHO,OKC,2364,5,12,1,5,4,5,0,1,1,7,0,0,6,3,15,24.25
Dante,Cunningham,2015-03-29,NOP,MIN,1811,3,6,0,0,0,0,1,2,3,1,2,2,1,3,6,18.75
Tristan,Thompson,2015-03-29,CLE,PHI,1182,2,5,0,0,2,2,4,5,9,0,0,0,1,1,6,16.75
Luke,Babbitt,2015-03-29,NOP,MIN,461,3,4,1,1,0,0,0,0,0,1,0,0,0,0,7,9.0
Norris,Cole,2015-03-29,NOP,MIN,1602,4,7,0,2,2,4,0,1,1,3,0,0,2,1,10,14.75
Aron,Baynes,2015-03-29,SAS,MEM,1111,2,5,0,0,0,0,3,4,7,0,0,2,0,1,4,16.75
Toney,Douglas,2015-03-29,NOP,MIN,971,1,4,1,3,0,0,0,1,1,3,3,0,0,1,3,15.25
Ish,Smith,2015-03-29,PHI,CLE,1830,5,16,0,4,1,1,1,4,5,7,1,0,4,0,11,27.75
Tarik,Black,2015-03-29,LAL,BRK,1579,4,8,0,0,0,0,2,3,5,2,0,0,1,3,8,16.75
Nerlens,Noel,2015-03-29,PHI,CLE,2056,4,12,0,0,0,0,1,10,11,3,2,0,2,4,8,29.25
Marco,Belinelli,2015-03-29,SAS,MEM,825,2,5,1,3,2,2,0,2,2,1,1,0,1,1,7,13.0
Marcin,Gortat,2015-03-29,WAS,HOU,1736,3,10,0,0,0,0,4,6,10,0,1,2,0,5,6,24.5
Brandan,Wright,2015-03-29,PHO,OKC,989,2,2,0,0,2,4,1,0,1,0,2,0,1,3,6,10.75
Jarrett,Jack,2015-03-29,BRK,LAL,863,3,4,1,1,0,0,0,2,2,2,1,0,3,1,7,13.5
Damjan,Rudez,2015-03-29,IND,DAL,696,2,2,2,2,0,0,1,1,2,0,0,0,1,1,6,9.0
Amar'e,Stoudemire,2015-03-29,DAL,IND,1151,5,12,0,1,1,2,1,1,2,0,1,0,0,3,11,15.5
Tyson,Chandler,2015-03-29,DAL,IND,1691,1,5,0,0,0,0,2,9,11,2,1,1,0,3,2,22.75
Joel,Anthony,2015-03-29,DET,MIA,538,1,3,0,0,0,0,3,1,4,0,0,3,0,0,2,13.0
Goran,Dragic,2015-03-29,MIA,DET,2096,4,10,1,3,1,2,0,2,2,5,0,1,3,3,10,21.0
Vince,Carter,2015-03-29,MEM,SAS,1355,1,3,1,3,2,2,0,4,4,0,1,0,0,2,5,12.5
Courtney,Lee,2015-03-29,MEM,SAS,2145,4,11,0,3,2,2,0,1,1,3,1,0,2,2,10,16.75
Luis,Scola,2015-03-29,IND,DAL,1329,3,6,0,0,2,4,1,4,5,0,1,0,1,4,8,15.75
Zach,LaVine,2015-03-29,MIN,NOP,2251,6,16,1,5,4,5,1,3,4,1,1,0,6,2,17,23.0
Rodney,Stuckey,2015-03-29,IND,DAL,1801,4,14,1,2,1,2,0,5,5,2,0,0,0,0,10,19.75
Henry,Walker,2015-03-29,MIA,DET,2060,2,5,2,4,0,0,0,5,5,1,1,0,1,3,6,16.25
Dion,Waiters,2015-03-29,OKC,PHO,2261,8,20,1,6,1,2,1,2,3,1,0,0,3,4,18,22.25
Jason,Terry,2015-03-29,HOU,WAS,1143,2,4,1,3,0,0,0,1,1,2,0,0,0,2,5,9.75
Phil,Pressey,2015-03-29,BOS,LAC,776,1,3,0,1,0,0,1,3,4,4,1,0,2,0,2,14.0
Drew,Gooden,2015-03-29,WAS,HOU,1082,2,4,0,1,0,0,0,5,5,1,0,0,0,2,4,11.75
Raymond,Felton,2015-03-29,DAL,IND,866,3,6,1,2,2,2,0,0,0,1,0,0,3,1,9,9.5
Kosta,Koufos,2015-03-29,MEM,SAS,818,2,3,0,0,0,0,0,2,2,0,0,0,0,0,4,6.5
Avery,Bradley,2015-03-29,BOS,LAC,1443,2,7,1,4,0,0,1,1,2,2,0,1,0,2,5,13.0
