first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Stephen,Curry,2014-11-26,GSW,ORL,00:23:38,9,13,6,8,4,5,1,4,5,8,0,0,1,1,28,48.75
LeBron,James,2014-11-26,CLE,WAS,00:36:05,7,14,1,5,14,17,1,9,10,8,3,0,4,3,29,58.0
Isaiah,Canaan,2014-11-26,HOU,SAC,00:31:59,9,16,6,10,0,0,3,3,6,4,4,0,1,1,24,48.0
DeMarcus,Cousins,2014-11-26,SAC,HOU,00:36:50,9,18,0,0,11,13,3,14,17,6,0,3,7,5,29,61.75
Dirk,Nowitzki,2014-11-26,DAL,NYK,00:38:47,11,24,1,8,7,7,0,6,6,2,3,0,0,3,30,47.0
Eric,Bledsoe,2014-11-26,PHO,DEN,00:37:44,6,10,2,3,7,8,0,1,1,10,3,0,3,3,21,42.75
Al,Horford,2014-11-26,ATL,TOR,00:32:16,11,16,0,1,1,2,2,7,9,4,0,2,1,1,23,43.75
Tyson,Chandler,2014-11-26,DAL,NYK,00:42:35,7,12,0,0,3,5,10,15,25,1,1,2,2,3,17,54.75
Jamal,Crawford,2014-11-26,LAC,DET,00:32:37,8,16,3,8,6,6,1,2,3,4,2,1,2,1,25,41.25
Al,Jefferson,2014-11-26,CHO,POR,00:35:24,10,20,0,0,3,3,2,12,14,3,0,2,0,1,23,49.0
Manu,Ginobili,2014-11-26,SAS,IND,00:26:19,10,18,2,6,6,7,0,3,3,4,2,0,3,2,28,41.25
Chris,Paul,2014-11-26,LAC,DET,00:36:20,9,12,3,4,2,2,1,1,2,7,1,0,3,3,23,38.0
Louis,Williams,2014-11-26,TOR,ATL,00:26:18,6,11,4,6,6,6,0,0,0,2,3,0,0,1,22,33.0
Jeff,Teague,2014-11-26,ATL,TOR,00:34:07,7,14,2,3,8,8,0,3,3,12,1,0,5,5,24,46.25
