first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Anthony,Davis,2014-12-16,NOP,UTA,00:34:54,12,15,0,0,7,7,4,5,9,1,1,3,2,2,31,50.75
Russell,Westbrook,2014-12-16,OKC,SAC,00:31:50,11,20,1,3,9,12,3,3,6,7,4,0,1,4,32,58.0
Ryan,Anderson,2014-12-16,NOP,UTA,00:27:07,10,15,6,10,2,2,2,3,5,3,2,0,0,1,28,45.75
John,Wall,2014-12-16,WAS,MIN,00:38:23,9,17,2,4,1,2,0,4,4,17,2,0,3,1,21,55.0
Enes,Kanter,2014-12-16,UTA,NOP,00:36:32,12,22,0,0,5,6,6,1,7,1,2,1,2,3,29,44.25
Thaddeus,Young,2014-12-16,MIN,WAS,00:35:21,12,19,0,0,5,12,2,2,4,2,2,0,1,3,29,40.5
Rasual,Butler,2014-12-16,WAS,MIN,00:27:43,9,15,4,5,1,2,1,4,5,2,1,1,0,1,23,38.25
Carmelo,Anthony,2014-12-16,NYK,DAL,00:37:26,11,23,2,4,2,4,3,2,5,5,4,1,4,1,26,48.75
Dwyane,Wade,2014-12-16,MIA,BRK,00:36:06,12,24,1,4,3,4,1,4,5,4,1,0,2,2,28,41.75
Mason,Plumlee,2014-12-16,BRK,MIA,00:32:12,8,12,0,0,5,8,5,4,9,1,1,1,4,2,21,35.75
Marc,Gasol,2014-12-16,MEM,GSW,00:34:38,11,21,0,0,2,4,2,5,7,3,0,1,1,2,24,38.75
Shabazz,Muhammad,2014-12-16,MIN,WAS,00:27:43,9,17,1,3,2,4,3,1,4,0,3,0,1,1,21,32.0
Deron,Williams,2014-12-16,BRK,MIA,00:38:33,4,12,1,5,6,7,0,1,1,11,2,0,2,1,15,36.25
Pablo,Prigioni,2014-12-16,NYK,DAL,00:21:32,2,4,1,3,0,0,1,0,1,9,5,0,0,1,5,30.25
Dirk,Nowitzki,2014-12-16,DAL,NYK,00:23:16,5,11,1,4,5,5,0,5,5,5,1,0,2,1,16,31.25
Klay,Thompson,2014-12-16,GSW,MEM,00:40:20,8,16,4,5,2,2,0,2,2,0,1,1,2,1,22,29.5
Marreese,Speights,2014-12-16,GSW,MEM,00:25:49,7,14,0,0,4,4,5,3,8,0,0,2,1,5,18,31.5
Kevin,Durant,2014-12-16,OKC,SAC,00:35:17,12,25,1,4,1,3,0,3,3,2,1,0,2,1,26,34.25
Mario,Chalmers,2014-12-16,MIA,BRK,00:31:12,2,3,0,0,6,6,0,7,7,5,4,0,3,5,10,32.75
Marcin,Gortat,2014-12-16,WAS,MIN,00:28:11,7,12,0,0,1,2,3,2,5,2,0,2,0,3,15,28.25
Gorgui,Dieng,2014-12-16,MIN,WAS,00:37:13,3,8,0,0,6,8,3,9,12,1,0,3,0,3,12,34.5
Chandler,Parsons,2014-12-16,DAL,NYK,00:23:16,5,12,3,6,0,0,0,3,3,6,1,1,0,1,13,31.25
