first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
LeBron,James,2015-01-31,CLE,MIN,2385,14,25,3,8,5,8,3,3,6,5,0,1,2,1,36,53.5
D.J.,Augustin,2015-01-31,DET,HOU,2223,8,13,1,2,11,13,0,2,2,12,2,0,5,0,28,50.5
Blake,Griffin,2015-01-31,LAC,SAS,2080,12,21,0,0,7,7,1,12,13,5,0,1,2,1,31,55.75
John,Wall,2015-01-31,WAS,TOR,2671,8,16,1,3,11,15,1,7,8,12,1,0,2,5,28,57.5
Cody,Zeller,2015-01-31,CHO,DEN,1891,10,11,0,0,1,2,1,7,8,3,3,2,0,3,21,45.5
Andrew,Wiggins,2015-01-31,MIN,CLE,2592,14,25,3,4,2,3,1,0,1,1,4,0,1,1,33,44.75
James,Harden,2015-01-31,HOU,DET,2188,10,17,2,4,4,5,0,7,7,9,2,1,4,1,26,53.25
Monta,Ellis,2015-01-31,DAL,ORL,2224,11,20,1,3,2,2,0,2,2,13,3,1,3,4,25,54.0
Al,Horford,2015-01-31,ATL,PHI,1993,10,16,0,1,3,4,2,9,11,4,0,3,1,0,23,48.25
Kentavious,Caldwell-Pope,2015-01-31,DET,HOU,2422,10,21,6,11,2,4,1,4,5,4,1,3,0,3,28,51.25
Rudy,Gay,2015-01-31,SAC,IND,2637,10,22,0,2,11,11,0,5,5,3,0,1,1,5,31,43.25
Tyson,Chandler,2015-01-31,DAL,ORL,1877,9,12,0,0,2,2,0,9,9,2,0,1,0,0,20,36.25
Stephen,Curry,2015-01-31,GSW,PHO,2246,9,23,4,9,3,3,1,3,4,7,2,1,1,2,25,48.0
Bradley,Beal,2015-01-31,WAS,TOR,2686,9,17,5,10,3,3,1,2,3,4,2,0,3,3,26,40.75
Darren,Collison,2015-01-31,SAC,IND,2383,9,15,3,6,2,4,0,5,5,5,1,0,1,2,23,39.75
Nikola,Vucevic,2015-01-31,ORL,DAL,1830,8,13,0,0,1,1,3,13,16,2,0,1,0,2,17,42.0
Kawhi,Leonard,2015-01-31,SAS,LAC,2060,8,18,4,8,4,5,1,4,5,0,3,0,0,3,24,38.25
Donatas,Motiejunas,2015-01-31,HOU,DET,1766,10,13,1,2,0,0,3,1,4,3,0,0,1,5,21,30.5
Zach,Randolph,2015-01-31,MEM,OKC,2200,8,20,0,0,5,6,10,8,18,3,0,1,3,4,21,48.5
Marc,Gasol,2015-01-31,MEM,OKC,1920,5,14,0,0,5,5,2,10,12,5,2,1,0,3,15,43.5
Michael,Kidd-Gilchrist,2015-01-31,CHO,DEN,1824,7,13,0,0,3,5,2,11,13,3,1,1,1,2,17,41.25
Paul,Pierce,2015-01-31,WAS,TOR,2084,6,10,3,7,4,5,0,5,5,2,1,1,2,0,19,32.75
Greg,Monroe,2015-01-31,DET,HOU,2249,7,12,0,0,5,8,1,11,12,2,0,1,1,2,19,38.5
David,West,2015-01-31,IND,SAC,1622,5,10,0,0,7,8,1,4,5,3,1,3,1,3,17,35.25
Kyle,Lowry,2015-01-31,TOR,WAS,2494,8,15,1,5,6,8,0,3,3,3,2,0,2,4,23,34.75
DeAndre,Jordan,2015-01-31,LAC,SAS,1857,3,5,0,0,2,2,7,12,19,1,1,4,1,4,8,42.75
Jared,Dudley,2015-01-31,MIL,POR,2058,7,11,3,6,1,2,2,4,6,2,3,1,4,1,18,36.0
Louis,Williams,2015-01-31,TOR,WAS,1756,8,16,2,7,1,1,0,1,1,5,3,0,1,2,19,34.25
Patrick,Patterson,2015-01-31,TOR,WAS,2218,5,7,3,4,3,4,1,5,6,2,0,1,0,3,16,30.0
Jason,Maxiell,2015-01-31,CHO,DEN,1213,6,10,0,0,2,2,2,5,7,0,1,4,0,1,14,32.75
