first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Kevin,Martin,2014-11-19,MIN,NYK,00:35:08,14,20,7,11,2,6,0,4,4,2,2,0,2,4,37,51.5
Al,Jefferson,2014-11-19,CHO,IND,00:34:36,12,22,0,0,4,4,2,6,8,2,1,1,0,4,28,45.0
Monta,Ellis,2014-11-19,DAL,WAS,00:37:21,10,21,2,4,12,14,0,1,1,4,1,0,4,3,34,42.25
Tobias,Harris,2014-11-19,ORL,LAC,00:30:53,8,14,2,2,7,7,1,2,3,1,1,0,0,1,25,33.25
Boris,Diaw,2014-11-19,SAS,CLE,00:39:04,8,14,1,2,2,2,1,5,6,7,3,1,2,1,19,44.5
Jared,Sullinger,2014-11-19,BOS,PHI,00:31:11,10,15,1,3,1,3,2,7,9,4,0,0,0,2,22,39.75
Brandon,Bass,2014-11-19,BOS,PHI,00:32:01,9,13,0,0,5,7,0,6,6,1,1,1,0,3,23,36.0
Jabari,Parker,2014-11-19,MIL,BRK,00:41:58,8,13,0,0,7,10,3,4,7,1,2,0,1,3,23,36.75
Jamal,Crawford,2014-11-19,LAC,ORL,00:23:31,8,12,2,3,4,4,0,4,4,3,1,1,1,3,22,36.0
Marc,Gasol,2014-11-19,MEM,TOR,00:41:05,8,16,0,0,6,10,2,10,12,4,2,1,3,1,22,47.5
James,Harden,2014-11-19,HOU,LAL,00:37:42,7,11,2,3,8,10,0,4,4,7,1,1,6,4,24,41.5
Giannis,Antetokounmpo,2014-11-19,MIL,BRK,00:47:55,7,11,0,1,4,8,1,11,12,4,3,0,2,4,18,44.0
Chris,Paul,2014-11-19,LAC,ORL,00:30:12,8,13,0,2,0,0,1,3,4,9,2,0,2,1,16,37.5
Anderson,Varejao,2014-11-19,CLE,SAS,00:37:11,11,16,0,1,1,3,1,10,11,0,0,2,3,0,23,39.25
Ty,Lawson,2014-11-19,DEN,OKC,00:35:55,6,13,0,2,3,4,0,1,1,15,1,0,2,1,15,39.75
Mo,Williams,2014-11-19,MIN,NYK,00:31:24,5,9,2,4,2,2,0,3,3,13,0,0,2,1,14,37.25
Kobe,Bryant,2014-11-19,LAL,HOU,00:39:32,10,28,1,7,8,10,0,5,5,7,1,0,3,0,29,46.75
Timofey,Mozgov,2014-11-19,DEN,OKC,00:35:55,6,7,0,0,5,5,1,6,7,2,0,3,2,5,17,33.75
Brook,Lopez,2014-11-19,BRK,MIL,00:43:57,11,19,0,0,4,4,2,5,7,2,1,3,7,3,26,42.25
Corey,Brewer,2014-11-19,MIN,NYK,00:28:39,5,8,0,0,4,4,1,1,2,2,6,0,1,4,14,31.0
Serge,Ibaka,2014-11-19,OKC,DEN,00:36:50,9,15,2,2,2,3,3,10,13,0,0,0,2,4,22,38.25
Wilson,Chandler,2014-11-19,DEN,OKC,00:27:01,8,15,3,6,2,4,2,7,9,1,0,1,1,2,21,36.75
Carmelo,Anthony,2014-11-19,NYK,MIN,00:26:36,7,10,4,5,2,2,1,3,4,1,1,0,2,3,20,29.5
Nikola,Vucevic,2014-11-19,ORL,LAC,00:30:34,8,14,0,0,3,4,1,13,14,2,1,0,3,1,19,40.0
Kostas,Papanikolaou,2014-11-19,HOU,LAL,00:33:40,6,10,4,7,3,3,0,6,6,2,1,0,2,3,19,32.5
Sebastian,Telfair,2014-11-19,OKC,DEN,00:29:36,7,7,4,4,0,0,0,2,2,2,0,0,1,4,18,25.0
Kyle,Lowry,2014-11-19,TOR,MEM,00:37:10,7,16,2,8,2,2,0,3,3,7,2,0,1,3,18,36.75
P.J.,Tucker,2014-11-19,PHO,DET,00:30:27,6,8,2,4,2,2,1,6,7,1,0,0,0,2,16,27.25
Zach,Randolph,2014-11-19,MEM,TOR,00:38:02,7,18,0,0,4,4,8,10,18,0,2,0,3,2,18,43.0
Brandan,Wright,2014-11-19,DAL,WAS,00:24:08,6,7,0,0,2,2,2,4,6,0,1,1,0,2,14,25.5
Marcus,Thornton,2014-11-19,BOS,PHI,00:20:23,5,9,3,5,0,0,1,1,2,3,4,0,1,0,13,29.0
Eric,Bledsoe,2014-11-19,PHO,DET,00:36:18,6,11,0,2,6,9,0,6,6,4,2,1,3,3,18,36.0
Kyrie,Irving,2014-11-19,CLE,SAS,00:37:28,7,15,3,4,3,4,1,3,4,3,3,0,2,5,20,36.0
Reggie,Jackson,2014-11-19,OKC,DEN,00:37:08,5,20,0,3,6,6,5,2,7,9,2,0,1,2,16,41.75
O.J.,Mayo,2014-11-19,MIL,BRK,00:38:40,7,17,3,8,4,4,2,5,7,2,1,0,1,4,21,35.75
DeMar,DeRozan,2014-11-19,TOR,MEM,00:37:56,10,22,0,1,1,2,1,4,5,4,2,0,1,1,21,36.75
Jordan,Hill,2014-11-19,LAL,HOU,00:34:42,7,12,0,0,2,2,3,7,10,1,1,1,1,4,16,33.5
Mike,Conley,2014-11-19,MEM,TOR,00:42:28,7,17,1,1,4,4,1,9,10,5,1,0,2,4,19,40.5
Luis,Scola,2014-11-19,IND,CHO,00:29:30,6,9,0,1,3,4,4,3,7,0,1,0,0,3,15,25.75
Gorgui,Dieng,2014-11-19,MIN,NYK,00:32:29,4,7,0,0,0,0,5,2,7,4,5,1,2,3,8,33.75
Tony,Wroten,2014-11-19,PHI,BOS,00:28:10,7,19,1,6,6,9,1,2,3,7,1,0,2,1,21,36.75
Jason,Smith,2014-11-19,NYK,MIN,00:10:52,4,5,0,0,6,8,1,1,2,1,1,0,0,0,14,20.0
Deron,Williams,2014-11-19,BRK,MIL,00:52:22,7,14,3,7,1,2,1,4,5,7,2,0,4,4,18,38.25
Jordan,Farmar,2014-11-19,LAC,ORL,00:17:48,5,7,3,3,0,0,0,3,3,5,1,0,1,2,13,27.25
Bradley,Beal,2014-11-19,WAS,DAL,00:25:57,9,17,3,6,0,0,1,2,3,3,1,0,2,4,21,31.75
Ersan,Ilyasova,2014-11-19,MIL,BRK,00:20:49,7,12,0,0,0,0,2,3,5,1,3,0,0,3,14,27.75
Joe,Johnson,2014-11-19,BRK,MIL,00:52:06,7,15,1,2,3,3,0,5,5,8,0,0,3,3,18,35.25
Greg,Monroe,2014-11-19,DET,PHO,00:33:32,7,17,0,0,4,5,4,8,12,3,1,0,3,2,18,38.0
Amar'e,Stoudemire,2014-11-19,NYK,MIN,00:19:53,7,9,0,0,5,6,1,2,3,0,0,0,3,1,19,21.25
