first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Kenneth,Faried,2015-04-08,DEN,LAL,00:29:25,10,14,0,0,9,9,5,6,11,0,2,2,0,5,29,50.75
Isaiah,Thomas,2015-04-08,BOS,DET,00:29:47,10,17,4,8,10,11,2,1,3,6,0,0,2,0,34,47.75
Brook,Lopez,2015-04-08,BRK,ATL,00:39:14,8,17,0,0,10,10,7,3,10,2,1,3,1,1,26,49.0
Robert,Covington,2015-04-08,PHI,WAS,00:24:21,8,11,4,6,7,8,2,1,3,1,2,0,1,1,27,37.75
Kyrie,Irving,2015-04-08,CLE,MIL,00:40:58,7,13,4,8,9,11,3,1,4,9,3,0,6,3,27,50.5
Michael,Carter-Williams,2015-04-08,MIL,CLE,00:36:19,13,22,1,3,3,3,0,2,2,8,1,0,2,2,30,46.0
Gerald,Green,2015-04-08,PHO,DAL,00:30:04,10,19,5,10,5,5,0,2,2,2,0,1,1,2,30,39.5
LaMarcus,Aldridge,2015-04-08,POR,MIN,00:28:46,10,16,1,4,3,4,2,11,13,1,0,0,0,1,24,42.25
LeBron,James,2015-04-08,CLE,MIL,00:39:51,8,15,2,5,3,4,2,7,9,8,1,1,2,2,21,48.25
Zaza,Pachulia,2015-04-08,MIL,CLE,00:31:00,8,13,0,0,3,5,4,6,10,2,5,1,2,3,19,45.5
George,Hill,2015-04-08,IND,NYK,00:26:39,7,11,1,2,5,6,0,6,6,5,3,0,2,1,20,40.5
Marcin,Gortat,2015-04-08,WAS,PHI,00:26:23,8,9,0,0,2,2,0,7,7,6,0,4,2,4,18,42.75
Al,Horford,2015-04-08,ATL,BRK,00:33:12,11,20,1,1,1,1,2,5,7,4,2,1,2,1,24,44.25
Jimmy,Butler,2015-04-08,CHI,ORL,00:36:42,6,10,3,4,4,4,1,4,5,6,2,0,2,1,19,38.75
Danilo,Gallinari,2015-04-08,DEN,LAL,00:35:33,9,19,7,14,2,4,1,6,7,4,0,2,2,3,27,48.25
Zach,Randolph,2015-04-08,MEM,NOP,00:29:43,6,13,0,1,3,3,5,8,13,6,2,0,0,2,15,44.25
Tony,Parker,2015-04-08,SAS,HOU,00:25:36,13,18,0,0,1,3,0,1,1,4,0,0,2,1,27,33.25
Derrick,Favors,2015-04-08,UTA,SAC,00:22:27,9,13,0,0,0,0,5,6,11,1,1,3,1,3,18,40.75
Andrew,Wiggins,2015-04-08,MIN,POR,00:41:03,9,22,0,1,11,15,0,5,5,4,0,0,0,2,29,41.25
Jeff,Teague,2015-04-08,ATL,BRK,00:33:22,4,11,0,2,7,11,2,4,6,12,4,1,4,0,15,48.5
Victor,Oladipo,2015-04-08,ORL,CHI,00:40:38,8,14,3,7,4,6,0,5,5,5,3,0,4,2,23,42.25
Elfrid,Payton,2015-04-08,ORL,CHI,00:39:33,6,14,2,2,3,3,4,5,9,9,2,0,3,1,17,45.25
Tyson,Chandler,2015-04-08,DAL,PHO,00:33:51,5,9,0,0,2,2,9,14,23,0,0,2,0,3,12,44.75
James,Harden,2015-04-08,HOU,SAS,00:35:22,6,15,2,6,8,8,2,2,4,4,1,0,1,1,22,35.5
Bradley,Beal,2015-04-08,WAS,PHI,00:23:18,7,9,3,3,4,5,2,1,3,3,1,0,3,2,21,31.25
Greg,Monroe,2015-04-08,DET,BOS,00:30:39,9,14,0,0,1,2,5,5,10,1,3,2,3,4,19,41.5
Ramon,Sessions,2015-04-08,WAS,PHI,00:29:03,5,7,2,2,7,9,1,3,4,7,0,0,4,0,19,33.5
Reggie,Jackson,2015-04-08,DET,BOS,00:37:35,10,18,1,2,0,0,0,2,2,15,2,0,7,2,21,47.0
Jae,Crowder,2015-04-08,BOS,DET,00:29:45,4,8,0,1,9,9,0,6,6,3,2,0,1,1,17,32.5
Trevor,Ariza,2015-04-08,HOU,SAS,00:34:22,7,12,5,6,0,0,0,2,2,2,2,0,0,0,19,31.0
Kawhi,Leonard,2015-04-08,SAS,HOU,00:34:46,9,15,0,3,2,2,1,2,3,2,4,0,2,2,20,33.75
Joe,Johnson,2015-04-08,BRK,ATL,00:37:14,9,15,3,9,0,0,0,8,8,3,1,0,2,2,21,38.0
Nikola,Vucevic,2015-04-08,ORL,CHI,00:36:34,9,16,0,0,4,4,2,5,7,3,1,0,2,4,22,36.25
Marc,Gasol,2015-04-08,MEM,NOP,00:29:00,6,12,0,0,3,4,1,7,8,6,0,2,0,1,15,38.0
DeMarre,Carroll,2015-04-08,ATL,BRK,00:37:25,7,13,3,7,2,2,1,8,9,4,1,0,2,3,19,38.75
Mike,Scott,2015-04-08,ATL,BRK,00:30:58,7,14,2,6,4,6,3,5,8,2,0,0,0,2,20,34.0
Ryan,Kelly,2015-04-08,LAL,DEN,00:33:12,6,8,2,3,3,4,0,1,1,2,1,2,0,3,17,28.25
Brandon,Bass,2015-04-08,BOS,DET,00:20:47,5,7,0,1,6,6,2,2,4,1,1,0,0,2,16,24.5
DeMar,DeRozan,2015-04-08,TOR,CHO,00:33:47,6,16,0,3,6,7,1,1,2,7,0,3,1,0,18,36.5
Robin,Lopez,2015-04-08,POR,MIN,00:24:54,7,8,0,0,4,4,3,3,6,2,0,0,3,3,18,27.0
Pau,Gasol,2015-04-08,CHI,ORL,00:33:38,4,10,0,0,7,9,1,8,9,3,1,3,1,2,15,38.25
Zach,LaVine,2015-04-08,MIN,POR,00:38:05,6,12,0,1,6,7,1,4,5,6,2,0,4,2,18,35.25
Jordan,Clarkson,2015-04-08,LAL,DEN,00:34:47,7,18,0,3,7,7,0,3,3,9,2,0,4,4,21,40.25
Tayshaun,Prince,2015-04-08,DET,BOS,00:26:26,7,8,1,1,0,0,0,4,4,3,1,1,2,1,15,28.0
Rodney,Hood,2015-04-08,UTA,SAC,00:33:27,7,14,3,7,3,3,0,8,8,4,0,1,3,3,20,38.0
