first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Eric,Bledsoe,2015-03-21,PHO,HOU,2197,11,18,2,3,10,11,2,6,8,4,3,1,3,2,34,57.5
Mike,Conley,2015-03-21,MEM,POR,2058,8,11,3,5,2,2,0,2,2,9,1,0,1,0,21,40.0
Pau,Gasol,2015-03-21,CHI,DET,1864,10,16,1,1,6,6,1,9,10,1,0,0,0,2,27,41.5
Reggie,Jackson,2015-03-21,DET,CHI,1652,9,16,1,3,3,3,0,3,3,11,1,0,1,1,22,44.25
Brook,Lopez,2015-03-21,BRK,IND,1889,11,14,0,0,4,5,0,4,4,0,0,4,1,3,26,38.5
Stephen,Curry,2015-03-21,GSW,UTA,1934,8,18,3,6,5,5,1,2,3,3,3,0,0,0,24,39.75
Derrick,Favors,2015-03-21,UTA,GSW,2078,8,15,1,1,4,5,3,8,11,2,1,2,2,1,21,43.25
Leandro,Barbosa,2015-03-21,GSW,UTA,1662,8,10,1,2,2,2,0,2,2,1,3,0,1,0,19,29.0
Jeff,Green,2015-03-21,MEM,POR,2395,8,16,5,7,2,2,0,9,9,0,0,0,0,0,23,36.75
Damian,Lillard,2015-03-21,POR,MEM,2359,8,18,2,6,9,9,0,3,3,7,0,0,5,2,27,39.75
Marcus,Morris,2015-03-21,PHO,HOU,2157,7,13,2,3,1,2,3,7,10,4,2,0,1,2,17,40.0
P.J.,Tucker,2015-03-21,PHO,HOU,2080,8,12,3,4,0,0,1,3,4,3,1,1,1,2,19,33.5
Bojan,Bogdanovic,2015-03-21,BRK,IND,1728,8,8,3,3,2,3,0,5,5,0,0,0,2,1,21,27.75
Caron,Butler,2015-03-21,DET,CHI,1752,7,11,4,6,2,2,0,5,5,1,1,0,1,2,20,31.25
Trevor,Ariza,2015-03-21,HOU,PHO,2217,6,13,3,8,0,0,1,11,12,5,2,0,1,1,15,42.5
Aaron,Brooks,2015-03-21,CHI,DET,2213,6,12,3,5,4,4,0,3,3,5,0,1,1,3,19,33.25
Markieff,Morris,2015-03-21,PHO,HOU,1850,7,11,1,1,2,2,1,4,5,6,1,1,2,5,17,35.75
Tony,Allen,2015-03-21,MEM,POR,2123,4,6,1,1,1,2,2,9,11,1,6,0,2,2,10,36.75
George,Hill,2015-03-21,IND,BRK,1937,8,15,0,2,2,3,1,3,4,9,0,0,1,6,18,36.0
Jarrett,Jack,2015-03-21,BRK,IND,1467,2,7,0,0,9,9,0,1,1,8,0,0,0,1,13,26.25
Luis,Scola,2015-03-21,IND,BRK,1206,6,7,0,0,5,7,1,4,5,0,0,0,0,4,17,23.25
Trey,Burke,2015-03-21,UTA,GSW,1722,7,16,5,11,1,2,0,0,0,5,0,0,1,0,20,29.5
Donatas,Motiejunas,2015-03-21,HOU,PHO,2291,8,13,1,3,1,1,0,3,3,6,0,1,3,3,18,31.75
Deron,Williams,2015-03-21,BRK,IND,1413,7,15,2,4,1,2,0,1,1,6,1,0,0,2,17,30.25
Andrew,Bogut,2015-03-21,GSW,UTA,1787,4,5,0,0,0,0,2,6,8,5,1,3,1,4,8,33.0
Draymond,Green,2015-03-21,GSW,UTA,1930,2,10,0,3,11,13,0,6,6,7,2,0,2,5,15,36.0
Corey,Brewer,2015-03-21,HOU,PHO,1802,5,11,0,1,4,4,1,6,7,1,2,0,1,0,14,27.75
Solomon,Hill,2015-03-21,IND,BRK,2109,7,16,2,4,1,2,2,4,6,2,0,1,0,2,17,30.5
David,West,2015-03-21,IND,BRK,1674,6,9,0,0,1,2,2,2,4,4,0,0,1,1,13,23.5
Alan,Anderson,2015-03-21,BRK,IND,2062,4,7,1,2,2,2,0,6,6,4,3,0,2,4,11,30.0
Kentavious,Caldwell-Pope,2015-03-21,DET,CHI,2330,6,11,3,6,0,0,0,1,1,1,1,0,0,0,15,21.25
Taj,Gibson,2015-03-21,CHI,DET,1115,6,8,0,0,1,2,2,1,3,0,0,0,0,0,13,16.75
Rodney,Hood,2015-03-21,UTA,GSW,1894,9,14,1,3,0,0,0,1,1,0,0,0,1,3,19,20.25
Andre,Drummond,2015-03-21,DET,CHI,1625,7,13,0,0,0,2,4,5,9,1,1,0,1,4,14,28.25
LaMarcus,Aldridge,2015-03-21,POR,MEM,1078,7,12,0,1,2,2,0,5,5,0,0,1,2,1,16,23.25
Joel,Anthony,2015-03-21,DET,CHI,1542,3,3,0,0,0,0,0,6,6,1,1,4,0,3,6,25.0
Spencer,Dinwiddie,2015-03-21,DET,CHI,1228,3,11,1,4,3,3,1,2,3,10,1,0,1,4,10,30.75
Roy,Hibbert,2015-03-21,IND,BRK,1646,7,14,0,0,2,2,1,5,6,2,0,1,2,3,16,27.5
Josh,Smith,2015-03-21,HOU,PHO,1456,8,13,1,3,0,2,0,5,5,2,1,0,3,3,17,27.25
Brandan,Wright,2015-03-21,PHO,HOU,1809,3,7,0,0,2,2,3,6,9,0,1,2,1,0,8,24.75
Robin,Lopez,2015-03-21,POR,MEM,1924,4,7,0,0,0,0,3,4,7,1,1,1,1,1,8,21.75
Joe,Johnson,2015-03-21,BRK,IND,1557,6,12,0,2,2,2,1,2,3,0,0,0,0,1,14,17.75
Zach,Randolph,2015-03-21,MEM,POR,1840,8,20,1,1,0,0,3,1,4,3,0,0,1,3,17,26.5
