first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Al,Jefferson,2014-11-07,CHO,ATL,00:41:06,15,24,0,0,4,8,3,6,9,3,1,2,1,3,34,55.25
Randy,Foye,2014-11-07,DEN,CLE,00:31:30,10,19,5,10,3,4,0,2,2,9,0,1,1,2,28,48.0
Al,Horford,2014-11-07,ATL,CHO,00:37:19,11,16,0,0,2,3,2,8,10,2,3,1,1,3,24,47.0
Dirk,Nowitzki,2014-11-07,DAL,UTA,00:28:08,11,18,5,8,0,0,0,10,10,2,1,0,0,3,27,47.0
Deron,Williams,2014-11-07,BRK,NYK,00:32:38,10,15,2,3,7,10,0,1,1,6,1,0,3,2,29,40.75
Mike,Dunleavy,2014-11-07,CHI,PHI,00:30:52,9,15,5,8,4,5,0,3,3,3,0,1,1,0,27,39.25
Jimmy,Butler,2014-11-07,CHI,PHI,00:40:18,8,15,1,3,6,6,4,3,7,5,1,1,1,4,23,43.25
DeMarcus,Cousins,2014-11-07,SAC,PHO,00:34:43,6,14,0,0,13,14,2,16,18,0,0,2,2,6,25,50.5
LeBron,James,2014-11-07,CLE,DEN,00:39:38,8,18,1,5,5,6,0,7,7,11,1,1,3,1,22,50.25
Brook,Lopez,2014-11-07,BRK,NYK,00:30:44,6,10,0,0,8,10,3,6,9,1,1,2,0,4,20,38.75
Roy,Hibbert,2014-11-07,IND,BOS,00:32:11,8,16,0,0,6,6,4,7,11,2,0,4,2,4,22,45.75
Tony,Wroten,2014-11-07,PHI,CHI,00:33:44,11,27,3,10,6,8,2,3,5,7,1,0,2,6,31,50.25
Gary,Neal,2014-11-07,CHO,ATL,00:32:25,6,11,3,5,8,9,1,3,4,2,0,0,1,2,23,32.0
Mike,Conley,2014-11-07,MEM,OKC,00:35:00,7,14,3,4,3,4,1,2,3,5,1,0,0,1,20,34.75
Luc,Mbah,2014-11-07,PHI,CHI,00:33:20,6,12,2,3,2,2,5,6,11,3,0,1,0,1,16,37.25
DeMar,DeRozan,2014-11-07,TOR,WAS,00:35:36,7,13,0,0,11,11,0,3,3,1,1,0,3,2,25,30.75
Aaron,Gordon,2014-11-07,ORL,MIN,00:21:46,6,9,2,2,3,3,1,5,6,1,0,2,0,0,17,31.0
Reggie,Jackson,2014-11-07,OKC,MEM,00:41:28,9,20,4,7,0,1,1,6,7,8,1,0,3,1,22,45.25
Kemba,Walker,2014-11-07,CHO,ATL,00:43:14,6,16,0,4,3,4,1,8,9,10,3,2,2,4,15,50.25
Goran,Dragic,2014-11-07,PHO,SAC,00:46:19,7,17,1,2,7,8,0,3,3,4,2,0,0,4,22,36.25
Henry,Sims,2014-11-07,PHI,CHI,00:26:05,7,10,1,1,1,1,5,3,8,5,0,0,2,3,16,33.0
Courtney,Lee,2014-11-07,MEM,OKC,00:35:25,5,8,3,3,4,5,1,2,3,2,1,0,0,1,17,27.25
Eric,Bledsoe,2014-11-07,PHO,SAC,00:42:33,9,19,1,5,4,7,1,4,5,8,2,2,5,5,23,47.25
Jeff,Teague,2014-11-07,ATL,CHO,00:43:52,9,23,1,4,3,4,2,2,4,15,0,1,5,4,22,49.5
Anderson,Varejao,2014-11-07,CLE,DEN,00:27:42,6,7,0,0,3,5,1,6,7,2,1,1,1,2,15,30.25
Steven,Adams,2014-11-07,OKC,MEM,00:33:54,6,9,0,0,1,2,5,6,11,2,2,0,1,3,13,33.25
Corey,Brewer,2014-11-07,MIN,ORL,00:27:40,6,10,0,2,4,6,3,2,5,1,3,0,1,2,16,29.25
Pau,Gasol,2014-11-07,CHI,PHI,00:34:23,6,11,0,0,5,5,2,10,12,1,1,2,4,2,17,37.5
Brandon,Knight,2014-11-07,MIL,DET,00:33:50,5,11,1,2,6,6,2,4,6,9,0,0,5,2,17,36.0
Miles,Plumlee,2014-11-07,PHO,SAC,00:40:47,7,12,0,0,1,2,5,11,16,1,0,0,1,3,15,36.0
Brandon,Bass,2014-11-07,BOS,IND,00:20:20,3,4,0,0,4,4,1,3,4,4,0,1,0,0,10,23.0
Tyson,Chandler,2014-11-07,DAL,UTA,00:29:50,6,9,0,0,3,3,4,9,13,0,0,1,3,2,15,31.75
Mirza,Teletovic,2014-11-07,BRK,NYK,00:27:03,6,10,4,6,2,2,0,3,3,0,0,0,0,2,18,23.75
Kentavious,Caldwell-Pope,2014-11-07,DET,MIL,00:30:22,7,11,3,5,2,2,0,5,5,0,0,0,1,3,19,26.25
Brandon,Jennings,2014-11-07,DET,MIL,00:30:42,5,12,4,6,1,2,0,2,2,6,2,0,1,2,15,32.0
Carl,Landry,2014-11-07,SAC,PHO,00:36:33,6,8,0,0,0,0,4,4,8,1,1,1,1,3,12,27.0
Monta,Ellis,2014-11-07,DAL,UTA,00:29:38,5,12,0,1,3,3,1,0,1,6,3,0,0,4,13,29.25
Evan,Fournier,2014-11-07,ORL,MIN,00:38:19,8,15,2,3,2,3,1,3,4,3,0,0,2,3,20,29.5
Hollis,Thompson,2014-11-07,PHI,CHI,00:32:02,7,14,3,6,4,8,1,2,3,1,1,0,1,4,21,29.25
Joe,Johnson,2014-11-07,BRK,NYK,00:31:52,6,13,4,6,2,2,0,7,7,2,1,0,2,3,18,32.75
Jared,Sullinger,2014-11-07,BOS,IND,00:32:51,8,17,1,5,0,0,1,5,6,5,0,0,0,4,17,32.5
Tony,Allen,2014-11-07,MEM,OKC,00:25:23,4,7,1,2,0,0,0,4,4,3,4,1,1,1,9,28.5
Jabari,Parker,2014-11-07,MIL,DET,00:28:02,8,14,0,2,2,4,2,3,5,1,3,0,4,1,18,29.75
Dion,Waiters,2014-11-07,CLE,DEN,00:24:11,6,14,1,3,4,6,0,2,2,1,2,0,0,0,17,25.5
Gorgui,Dieng,2014-11-07,MIN,ORL,00:24:54,5,9,0,0,1,2,2,8,10,1,2,2,1,3,11,32.5
Kyle,Korver,2014-11-07,ATL,CHO,00:45:08,6,12,4,7,4,5,0,2,2,1,0,1,2,4,20,27.0
Kyle,Lowry,2014-11-07,TOR,WAS,00:33:54,5,13,2,6,1,2,2,9,11,10,1,0,4,4,13,42.75
Gordon,Hayward,2014-11-07,UTA,DAL,00:28:31,3,9,2,7,4,4,0,5,5,4,0,1,0,0,12,27.25
Tim,Hardaway,2014-11-07,NYK,BRK,00:28:28,5,12,3,5,3,4,0,3,3,3,0,0,0,1,16,25.75
Lance,Stephenson,2014-11-07,CHO,ATL,00:47:11,7,15,1,3,2,2,2,11,13,4,0,0,4,3,17,37.75
Lavoy,Allen,2014-11-07,IND,BOS,00:18:56,6,11,0,0,0,0,4,3,7,1,0,0,0,0,12,22.25
Elfrid,Payton,2014-11-07,ORL,MIN,00:38:37,6,15,0,0,3,4,1,4,5,4,1,1,1,2,15,30.75
Carmelo,Anthony,2014-11-07,NYK,BRK,00:35:35,5,20,1,4,8,9,3,1,4,4,1,0,1,2,19,32.0
Rudy,Gobert,2014-11-07,UTA,DAL,00:23:31,3,4,0,0,2,4,1,2,3,3,2,4,2,2,8,27.25
Markieff,Morris,2014-11-07,PHO,SAC,00:31:53,7,11,1,2,1,2,1,2,3,0,2,2,2,6,16,27.25
Kelly,Olynyk,2014-11-07,BOS,IND,00:27:58,5,7,2,2,0,0,2,3,5,2,1,0,2,2,12,23.25
