first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
James,Harden,2015-04-05,HOU,OKC,00:38:04,12,22,6,9,11,13,2,4,6,6,3,0,3,6,41,65.0
Russell,Westbrook,2015-04-05,OKC,HOU,00:40:33,12,29,4,11,12,15,1,10,11,13,0,0,4,5,40,73.25
Kawhi,Leonard,2015-04-05,SAS,GSW,00:24:23,11,17,1,2,3,4,0,5,5,3,7,0,1,1,26,50.75
Andrea,Bargnani,2015-04-05,NYK,PHI,00:34:28,8,15,2,3,7,8,3,5,8,4,0,4,2,0,25,49.0
Mike,Dunleavy,2015-04-05,CHI,CLE,00:33:26,8,12,4,6,4,4,1,4,5,4,1,0,1,2,24,39.75
LeBron,James,2015-04-05,CLE,CHI,00:36:31,8,17,1,3,3,6,2,8,10,12,3,1,3,4,20,57.5
Luis,Scola,2015-04-05,IND,MIA,00:18:44,10,15,0,0,3,3,7,5,12,1,0,0,1,3,23,39.0
Rodney,Hood,2015-04-05,UTA,SAC,00:33:35,9,17,1,6,6,7,0,3,3,2,4,0,0,4,25,40.25
Kyrie,Irving,2015-04-05,CLE,CHI,00:37:08,8,19,4,5,7,8,2,3,5,4,3,1,5,2,27,46.75
Shane,Larkin,2015-04-05,NYK,PHI,00:41:16,4,8,0,0,7,8,2,9,11,7,1,0,0,3,15,41.25
Ben,McLemore,2015-04-05,SAC,UTA,00:37:54,8,12,2,3,2,2,1,4,5,4,4,0,3,5,20,39.75
Danny,Green,2015-04-05,SAS,GSW,00:28:43,7,10,4,6,0,0,0,6,6,3,0,3,1,1,18,37.5
J.R.,Smith,2015-04-05,CLE,CHI,00:43:23,8,17,8,17,0,0,1,3,4,1,1,1,0,3,24,38.5
Tim,Duncan,2015-04-05,SAS,GSW,00:24:05,6,7,0,0,7,8,2,5,7,2,0,0,2,1,19,29.75
Solomon,Hill,2015-04-05,IND,MIA,00:25:37,6,10,3,5,4,4,2,4,6,1,0,0,0,0,19,29.5
Anthony,Morrow,2015-04-05,OKC,HOU,00:36:28,8,15,6,8,0,0,1,3,4,2,1,0,0,3,22,35.0
Dwyane,Wade,2015-04-05,MIA,IND,00:33:30,11,21,0,2,5,7,0,1,1,3,2,1,4,0,27,36.75
Stephen,Curry,2015-04-05,GSW,SAS,00:30:03,9,17,5,10,1,2,0,4,4,6,1,0,4,2,24,40.5
Blake,Griffin,2015-04-05,LAC,LAL,00:30:40,8,14,0,0,2,2,1,4,5,5,0,0,0,1,18,31.75
DeAndre,Jordan,2015-04-05,LAC,LAL,00:29:43,7,9,0,0,2,8,3,8,11,0,4,1,2,3,16,38.75
Dwight,Howard,2015-04-05,HOU,OKC,00:22:55,10,15,0,0,2,7,3,5,8,0,2,0,2,3,22,35.0
Chris,Paul,2015-04-05,LAC,LAL,00:29:43,3,7,1,3,0,0,0,4,4,15,2,0,1,1,7,38.5
Enes,Kanter,2015-04-05,OKC,HOU,00:37:45,9,19,0,0,3,5,10,7,17,0,0,1,5,2,21,41.75
Nerlens,Noel,2015-04-05,PHI,NYK,00:36:33,7,14,0,0,0,1,5,4,9,4,1,2,1,3,14,36.75
Lance,Thomas,2015-04-05,NYK,PHI,00:29:52,6,8,0,1,2,2,4,5,9,1,0,1,2,1,14,27.75
Hollis,Thompson,2015-04-05,PHI,NYK,00:26:20,6,11,5,6,0,0,1,0,1,2,1,0,0,2,17,25.75
DeMarcus,Cousins,2015-04-05,SAC,UTA,00:35:13,11,22,0,0,4,9,4,8,12,4,1,1,8,2,26,47.0
Joakim,Noah,2015-04-05,CHI,CLE,00:32:47,3,3,0,0,0,0,3,5,8,7,2,0,1,3,6,30.0
