first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
DeAndre,Jordan,2015-02-09,LAC,DAL,2338,8,12,0,0,6,9,11,16,27,0,1,3,0,3,22,63.75
Kevin,Durant,2015-02-09,OKC,DEN,2195,13,19,7,12,7,11,0,4,4,2,1,0,4,2,40,51.5
Gordon,Hayward,2015-02-09,UTA,NOP,2336,10,22,3,5,9,11,1,6,7,8,2,1,4,1,32,58.25
Chris,Paul,2015-02-09,LAC,DAL,2417,7,15,1,3,10,10,0,6,6,13,2,0,3,3,25,55.0
Russell,Westbrook,2015-02-09,OKC,DEN,1938,8,14,1,2,9,12,1,4,5,9,0,0,1,1,26,45.75
DeMarre,Carroll,2015-02-09,ATL,MIN,2047,9,13,2,3,6,6,1,3,4,0,3,0,0,2,26,38.0
Al,Horford,2015-02-09,ATL,MIN,1709,11,18,0,0,6,7,4,4,8,3,1,2,3,2,28,47.0
Chris,Bosh,2015-02-09,MIA,NYK,2193,12,23,4,6,4,5,0,2,2,6,1,0,2,1,32,46.5
Eric,Gordon,2015-02-09,NOP,UTA,2344,9,14,7,8,6,6,1,2,3,3,2,0,6,2,31,43.75
Jarrett,Jack,2015-02-09,BRK,MIL,2085,10,15,4,5,2,2,1,3,4,8,0,0,3,4,26,43.5
Carmelo,Anthony,2015-02-09,NYK,MIA,1918,9,20,4,7,4,5,0,4,4,4,2,1,0,0,26,45.0
Jared,Dudley,2015-02-09,MIL,BRK,1989,7,10,5,5,0,0,3,1,4,2,3,0,0,2,19,35.5
Ty,Lawson,2015-02-09,DEN,OKC,2281,8,12,5,7,1,2,0,1,1,9,1,0,2,3,22,40.25
Paul,Millsap,2015-02-09,ATL,MIN,1858,8,13,1,2,2,2,3,6,9,7,1,0,2,3,19,42.25
Charlie,Villanueva,2015-02-09,DAL,LAC,1362,9,13,5,7,3,6,2,3,5,1,0,0,4,1,26,34.25
Kenneth,Faried,2015-02-09,DEN,OKC,1980,8,14,0,0,6,8,5,5,10,1,0,0,1,4,22,35.5
Khris,Middleton,2015-02-09,MIL,BRK,1764,9,15,0,2,0,0,0,4,4,1,4,1,0,1,18,34.5
Wilson,Chandler,2015-02-09,DEN,OKC,2126,9,15,1,3,4,4,0,1,1,2,1,0,0,4,23,29.75
Tim,Duncan,2015-02-09,SAS,IND,1823,7,13,0,0,1,1,3,5,8,2,1,5,1,0,15,39.5
Kevin,Martin,2015-02-09,MIN,ATL,1880,7,13,3,5,4,4,3,2,5,2,0,0,1,2,21,31.25
Giannis,Antetokounmpo,2015-02-09,MIL,BRK,1903,4,9,0,1,4,4,2,7,9,8,3,1,3,1,12,41.75
Marcin,Gortat,2015-02-09,WAS,ORL,1856,5,6,0,0,4,4,0,14,14,3,0,1,2,2,14,37.0
Mitch,McGary,2015-02-09,OKC,DEN,1492,6,12,0,0,5,6,5,5,10,0,0,1,0,1,17,31.5
Mario,Chalmers,2015-02-09,MIA,NYK,2126,6,14,3,5,3,4,0,5,5,6,3,0,2,4,18,39.75
Stephen,Curry,2015-02-09,GSW,PHI,1905,7,20,3,12,3,4,0,5,5,6,3,0,1,2,20,42.25
Robert,Covington,2015-02-09,PHI,GSW,1891,7,15,4,10,3,3,0,8,8,1,3,0,3,3,21,39.0
Amar'e,Stoudemire,2015-02-09,NYK,MIA,1190,4,7,0,0,6,6,3,4,7,0,0,2,0,1,14,26.75
Leandro,Barbosa,2015-02-09,GSW,PHI,1179,5,7,1,1,5,7,2,4,6,2,0,1,2,1,16,28.0
Jusuf,Nurkic,2015-02-09,DEN,OKC,2017,6,10,0,0,4,6,5,9,14,2,2,1,4,6,16,40.5
Gorgui,Dieng,2015-02-09,MIN,ATL,1430,3,6,0,0,0,0,4,8,12,3,1,5,0,1,6,37.5
Joe,Johnson,2015-02-09,BRK,MIL,2532,8,16,3,7,0,0,0,3,3,6,0,1,2,1,19,34.25
Derrick,Favors,2015-02-09,UTA,NOP,2018,8,16,0,0,2,4,5,2,7,2,1,2,2,2,18,34.75
Chandler,Parsons,2015-02-09,DAL,LAC,2012,5,15,1,4,5,6,3,9,12,4,0,0,0,2,16,37.5
Jose,Barea,2015-02-09,DAL,LAC,2058,6,10,1,4,2,2,0,2,2,7,0,0,1,3,15,28.0
Norris,Cole,2015-02-09,MIA,NYK,1754,4,6,2,3,2,2,0,2,2,8,1,0,3,0,12,28.0
Mason,Plumlee,2015-02-09,BRK,MIL,1650,4,8,0,0,5,7,4,4,8,3,0,1,1,1,13,29.0
Marco,Belinelli,2015-02-09,SAS,IND,1539,4,6,2,4,2,2,0,1,1,4,1,0,0,0,12,22.25
Dirk,Nowitzki,2015-02-09,DAL,LAC,1596,7,11,0,2,4,5,2,5,7,0,0,0,1,3,18,26.25
Tyreke,Evans,2015-02-09,NOP,UTA,2309,7,17,2,4,2,2,0,7,7,10,1,1,5,4,18,44.25
Rodney,Stuckey,2015-02-09,IND,SAS,2083,7,13,2,3,2,2,0,3,3,3,1,0,2,2,18,28.25
Jeff,Teague,2015-02-09,ATL,MIN,1941,4,7,1,1,3,3,0,1,1,7,3,0,3,3,12,28.75
Evan,Fournier,2015-02-09,ORL,WAS,1988,7,14,2,5,2,2,0,2,2,2,0,0,0,1,18,24.5
Nerlens,Noel,2015-02-09,PHI,GSW,1922,5,8,0,0,1,2,3,4,7,4,1,1,1,3,11,29.25
