first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Stephen,Curry,2015-02-04,GSW,DAL,00:36:57,16,26,10,16,9,11,0,4,4,4,1,0,3,3,51,67.5
Russell,Westbrook,2015-02-04,OKC,NOP,00:40:28,18,31,2,6,7,9,0,6,6,6,1,1,6,2,45,63.5
Hassan,Whiteside,2015-02-04,MIA,MIN,00:35:31,12,13,0,0,0,0,9,11,20,0,3,2,4,3,24,57.0
Tyson,Chandler,2015-02-04,DAL,GSW,00:33:50,8,9,0,0,5,6,6,11,17,1,2,0,1,2,21,47.25
Khris,Middleton,2015-02-04,MIL,LAL,00:45:05,7,13,1,5,6,7,2,5,7,7,3,0,0,1,21,46.75
Tobias,Harris,2015-02-04,ORL,SAS,00:38:20,9,13,3,4,2,3,0,10,10,6,0,0,0,2,23,46.0
John,Wall,2015-02-04,WAS,ATL,00:38:32,9,15,3,5,3,4,0,7,7,9,1,0,2,3,24,48.75
Jimmy,Butler,2015-02-04,CHI,HOU,00:40:48,9,18,3,5,6,8,3,3,6,1,2,0,0,2,27,41.5
Jeff,Teague,2015-02-04,ATL,WAS,00:31:09,9,13,2,4,6,8,0,2,2,8,2,0,4,5,26,43.5
Jarrett,Jack,2015-02-04,BRK,TOR,00:36:24,9,13,2,4,4,5,0,4,4,6,1,0,2,2,24,40.0
Brandon,Knight,2015-02-04,MIL,LAL,00:36:23,7,17,4,7,6,6,1,6,7,8,1,0,2,2,24,47.75
Kawhi,Leonard,2015-02-04,SAS,ORL,00:37:32,7,9,0,0,4,4,0,5,5,5,4,1,3,0,18,40.25
Nikola,Vucevic,2015-02-04,ORL,SAS,00:34:29,11,17,0,0,3,3,3,10,13,1,0,1,1,5,25,44.25
Ty,Lawson,2015-02-04,DEN,BOS,00:43:29,9,15,1,3,4,4,1,1,2,8,2,0,4,0,23,40.0
Tim,Duncan,2015-02-04,SAS,ORL,00:33:33,11,17,0,0,4,8,1,9,10,1,1,1,1,3,26,43.5
James,Harden,2015-02-04,HOU,CHI,00:36:18,9,20,3,5,6,6,1,2,3,4,1,2,2,2,27,43.25
Carlos,Boozer,2015-02-04,LAL,MIL,00:37:20,13,21,0,0,2,2,1,8,9,4,0,0,4,1,28,43.25
Alan,Anderson,2015-02-04,BRK,TOR,00:33:04,7,9,3,5,5,5,0,5,5,0,1,0,0,3,22,31.75
Kevin,Martin,2015-02-04,MIN,MIA,00:40:00,11,23,4,8,4,5,0,3,3,3,2,0,2,3,30,43.25
Giannis,Antetokounmpo,2015-02-04,MIL,LAL,00:42:20,10,14,0,0,5,5,0,6,6,1,1,2,3,5,25,38.5
