first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
John,Wall,2015-03-14,WAS,SAC,2312,9,15,4,5,9,10,0,2,2,12,1,1,5,2,31,55.0
Stephen,Curry,2015-03-14,GSW,NYK,1616,8,15,6,10,3,3,0,3,3,11,3,0,1,2,25,53.75
George,Hill,2015-03-14,IND,BOS,2086,11,18,2,7,6,6,1,4,5,8,1,0,3,3,30,49.75
Derrick,Favors,2015-03-14,UTA,DET,2118,8,14,0,0,10,13,1,0,1,1,2,4,1,3,26,40.25
DeMarcus,Cousins,2015-03-14,SAC,WAS,1781,9,17,0,0,12,16,2,4,6,5,0,1,3,6,30,45.5
Klay,Thompson,2015-03-14,GSW,NYK,1534,9,17,6,10,3,3,0,2,2,2,0,0,0,1,27,35.5
Draymond,Green,2015-03-14,GSW,NYK,1513,5,7,2,3,0,0,0,7,7,5,5,0,2,2,12,38.25
Thaddeus,Young,2015-03-14,BRK,PHI,2108,9,15,1,2,2,4,0,9,9,0,2,1,1,2,21,38.25
Ray,McCallum,2015-03-14,SAC,WAS,1727,5,8,2,2,3,4,3,3,6,6,1,0,2,2,15,33.5
Tyler,Zeller,2015-03-14,BOS,IND,1564,8,10,0,0,2,4,1,6,7,0,0,0,0,1,18,26.75
Jae,Crowder,2015-03-14,BOS,IND,1976,5,11,2,4,4,4,2,5,7,2,1,1,1,0,16,32.25
Giannis,Antetokounmpo,2015-03-14,MIL,MEM,2357,7,10,0,1,5,6,1,5,6,2,0,0,2,3,19,28.5
Rasual,Butler,2015-03-14,WAS,SAC,1649,6,10,2,4,0,0,1,4,5,2,1,1,0,0,14,28.25
Brandon,Bass,2015-03-14,BOS,IND,1952,5,9,0,1,6,6,1,4,5,3,1,0,2,1,16,27.75
Rudy,Gobert,2015-03-14,UTA,DET,2324,5,8,0,0,0,2,5,14,19,1,1,2,2,1,10,40.25
Marc,Gasol,2015-03-14,MEM,MIL,2048,6,12,0,0,0,0,1,6,7,7,1,1,0,3,12,35.25
Greg,Monroe,2015-03-14,DET,UTA,1975,7,15,0,0,2,3,5,8,13,2,0,2,2,2,16,38.25
Justin,Holiday,2015-03-14,GSW,NYK,1346,4,9,3,6,2,2,0,4,4,0,2,1,0,1,13,25.5
Alexey,Shved,2015-03-14,NYK,GSW,1283,4,10,2,5,4,7,1,3,4,5,3,1,4,1,14,33.5
Andrea,Bargnani,2015-03-14,NYK,GSW,1692,8,14,1,1,1,2,1,2,3,2,0,2,3,1,18,27.75
Courtney,Lee,2015-03-14,MEM,MIL,1752,6,10,2,3,3,3,0,1,1,2,0,0,2,1,17,21.25
Nerlens,Noel,2015-03-14,PHI,BRK,1775,7,10,0,0,3,3,1,6,7,2,1,2,5,6,17,32.25
Shaun,Livingston,2015-03-14,GSW,NYK,1090,4,6,0,0,0,0,1,4,5,7,1,1,2,1,8,27.75
Paul,Pierce,2015-03-14,WAS,SAC,1397,7,11,3,5,0,0,0,3,3,1,0,0,1,3,17,23.25
Jodie,Meeks,2015-03-14,DET,UTA,2000,2,9,1,3,6,8,0,2,2,5,4,0,1,1,11,29.0
Rodney,Hood,2015-03-14,UTA,DET,1955,5,10,2,4,0,0,0,6,6,1,3,0,0,3,12,28.0
Zach,Randolph,2015-03-14,MEM,MIL,2062,4,10,0,0,7,8,2,4,6,4,2,1,5,3,15,32.0
Cole,Aldrich,2015-03-14,NYK,GSW,934,0,4,0,0,2,2,5,4,9,5,1,5,1,0,2,32.25
Joe,Johnson,2015-03-14,BRK,PHI,1935,6,10,0,2,3,4,0,4,4,3,0,0,2,1,15,23.5
Bradley,Beal,2015-03-14,WAS,SAC,2018,4,13,2,6,4,5,2,3,5,7,0,1,2,3,14,32.75
Khris,Middleton,2015-03-14,MIL,MEM,2221,6,15,1,4,4,5,1,2,3,3,2,0,2,3,17,28.75
Langston,Galloway,2015-03-14,NYK,GSW,1714,4,7,2,4,0,0,0,3,3,2,2,0,0,1,10,21.75
Zaza,Pachulia,2015-03-14,MIL,MEM,1598,5,8,0,0,4,4,1,3,4,1,0,1,2,2,14,21.5
Beno,Udrih,2015-03-14,MEM,MIL,1865,6,10,2,2,0,0,0,3,3,2,1,0,2,1,14,22.75
David,West,2015-03-14,IND,BOS,1792,4,9,0,0,3,3,2,2,4,3,1,1,1,2,11,24.0
Marcin,Gortat,2015-03-14,WAS,SAC,1900,6,9,0,0,1,2,1,4,5,2,0,1,1,4,13,23.75
Spencer,Dinwiddie,2015-03-14,DET,UTA,1202,3,9,1,4,2,3,1,1,2,6,2,0,0,2,9,25.0
Isaiah,Canaan,2015-03-14,PHI,BRK,1755,6,13,1,8,0,0,1,3,4,3,0,0,0,2,13,23.0
Tayshaun,Prince,2015-03-14,DET,UTA,1506,3,6,2,2,0,0,2,7,9,3,0,0,1,1,8,24.25
C.J.,Watson,2015-03-14,IND,BOS,1191,4,8,2,3,2,2,0,3,3,2,0,0,0,3,12,19.75
Jeff,Green,2015-03-14,MEM,MIL,1602,5,13,2,4,3,4,3,2,5,2,1,0,3,2,15,25.75
Cory,Jefferson,2015-03-14,BRK,PHI,772,3,3,0,0,0,0,2,3,5,1,1,1,1,0,6,17.25
Hollis,Thompson,2015-03-14,PHI,BRK,1688,5,12,2,6,0,0,0,4,4,1,1,1,0,1,12,23.5
Thomas,Robinson,2015-03-14,PHI,BRK,1032,3,5,0,0,1,1,3,9,12,0,1,0,1,2,7,23.5
Derrick,Williams,2015-03-14,SAC,WAS,2023,6,11,3,6,0,0,0,1,1,1,0,0,2,0,15,18.25
Tim,Hardaway,2015-03-14,NYK,GSW,1211,5,10,3,6,0,0,0,4,4,3,0,0,2,2,13,23.0
Andre,Iguodala,2015-03-14,GSW,NYK,1101,3,5,1,3,0,0,0,1,1,3,1,1,0,1,7,17.25
David,Lee,2015-03-14,GSW,NYK,1461,5,6,0,0,0,0,1,3,4,2,0,1,2,3,10,19.0
Kevin,Seraphin,2015-03-14,WAS,SAC,1025,5,5,0,0,0,0,0,4,4,1,0,1,1,5,10,18.0
Marreese,Speights,2015-03-14,GSW,NYK,1044,2,8,0,0,5,5,2,0,2,1,1,1,0,0,9,17.0
Anthony,Tolliver,2015-03-14,DET,UTA,1651,5,12,2,8,2,3,1,2,3,1,0,0,0,3,14,20.25
Avery,Bradley,2015-03-14,BOS,IND,2066,7,19,2,5,0,0,0,4,4,2,2,0,1,3,16,28.5
Ish,Smith,2015-03-14,PHI,BRK,1404,3,10,1,3,2,2,0,2,2,5,2,0,2,0,9,22.5
Joel,Anthony,2015-03-14,DET,UTA,1284,5,9,0,0,0,1,4,1,5,0,0,1,0,5,10,18.25
Tony,Allen,2015-03-14,MEM,MIL,1896,4,12,0,1,1,1,0,3,3,1,4,0,0,2,9,22.25
Dante,Exum,2015-03-14,UTA,DET,1907,3,5,2,3,0,0,0,2,2,5,0,0,2,2,8,18.0
Marcus,Smart,2015-03-14,BOS,IND,1642,3,10,2,6,0,2,4,3,7,1,3,1,1,4,8,26.75
Ersan,Ilyasova,2015-03-14,MIL,MEM,1406,4,10,2,4,2,4,1,4,5,0,1,0,0,5,12,21.25
