first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
John,Wall,2015-03-25,WAS,IND,00:40:32,11,21,2,4,10,11,0,4,4,6,2,1,2,5,34,54.0
Brook,Lopez,2015-03-25,BRK,CHO,00:39:14,16,26,0,0,2,2,1,9,10,0,2,3,2,2,34,55.5
Andrew,Wiggins,2015-03-25,MIN,LAL,00:48:50,8,16,1,2,10,11,3,3,6,4,2,2,2,1,27,48.0
Paul,Millsap,2015-03-25,ATL,ORL,00:36:10,9,20,2,5,5,5,5,6,11,3,1,4,1,1,25,53.75
Tony,Parker,2015-03-25,SAS,OKC,00:27:30,10,14,1,1,0,0,0,6,6,6,3,0,0,0,21,44.0
Trevor,Ariza,2015-03-25,HOU,NOP,00:39:44,9,13,3,4,1,1,3,6,9,5,3,0,2,3,22,47.25
Damian,Lillard,2015-03-25,POR,UTA,00:40:15,6,16,1,6,10,10,1,7,8,12,1,0,2,2,23,52.5
George,Hill,2015-03-25,IND,WAS,00:42:39,12,24,0,4,5,5,2,5,7,9,1,1,4,3,29,53.25
Jimmy,Butler,2015-03-25,CHI,TOR,00:38:56,7,8,2,3,7,9,2,3,5,3,0,0,1,1,23,34.25
Anthony,Davis,2015-03-25,NOP,HOU,00:44:17,9,18,0,0,6,14,2,12,14,1,3,3,0,1,24,55.0
Austin,Rivers,2015-03-25,LAC,NYK,00:19:27,9,10,1,1,2,2,0,0,0,3,2,0,0,1,21,30.0
Nerlens,Noel,2015-03-25,PHI,DEN,00:33:24,5,8,0,0,4,7,4,11,15,2,4,4,2,1,14,50.75
Tyreke,Evans,2015-03-25,NOP,HOU,00:38:04,10,16,4,6,4,4,0,2,2,7,2,1,6,5,28,46.0
Markieff,Morris,2015-03-25,PHO,SAC,00:38:09,9,16,1,1,5,6,2,5,7,4,2,1,3,1,24,43.75
James,Harden,2015-03-25,HOU,NOP,00:37:25,9,20,1,4,6,9,0,6,6,10,1,1,2,3,25,51.0
Derrick,Favors,2015-03-25,UTA,POR,00:31:54,9,19,0,1,8,9,5,8,13,0,1,1,1,5,26,45.75
Kevin,Love,2015-03-25,CLE,MEM,00:31:43,10,13,2,4,0,0,1,9,10,4,1,2,5,0,22,45.0
DeAndre,Jordan,2015-03-25,LAC,NYK,00:28:29,7,7,0,0,0,2,3,7,10,1,1,5,0,1,14,40.0
Robert,Covington,2015-03-25,PHI,DEN,00:28:52,8,17,6,11,3,3,1,5,6,0,2,1,0,3,25,41.5
Chris,Paul,2015-03-25,LAC,NYK,00:28:22,5,8,1,2,0,0,2,1,3,16,4,0,5,1,11,44.75
Chase,Budinger,2015-03-25,MIN,LAL,00:40:17,9,14,3,6,1,1,3,3,6,1,1,1,3,1,22,35.0
DeMarcus,Cousins,2015-03-25,SAC,PHO,00:36:57,11,19,0,0,2,3,1,10,11,3,2,1,5,2,24,45.75
Al,Jefferson,2015-03-25,CHO,BRK,00:34:53,11,19,0,0,1,2,3,7,10,2,0,2,2,4,23,41.5
Donatas,Motiejunas,2015-03-25,HOU,NOP,00:36:59,10,16,1,3,0,0,3,5,8,1,2,1,3,2,21,37.5
Trey,Burke,2015-03-25,UTA,POR,00:39:21,9,19,0,1,4,4,1,3,4,3,2,0,1,1,22,35.0
Marc,Gasol,2015-03-25,MEM,CLE,00:27:26,7,15,0,0,4,6,2,1,3,2,3,2,0,2,18,34.75
Jeff,Teague,2015-03-25,ATL,ORL,00:32:41,7,12,2,3,0,0,1,2,3,9,1,0,2,2,16,35.25
LeBron,James,2015-03-25,CLE,MEM,00:31:27,7,15,3,5,3,4,0,8,8,5,0,0,1,2,20,38.5
Kawhi,Leonard,2015-03-25,SAS,OKC,00:23:08,5,9,1,2,3,4,1,4,5,5,1,1,0,1,14,32.25
Greivis,Vasquez,2015-03-25,TOR,CHI,00:30:54,7,15,6,11,2,2,2,0,2,3,1,0,2,2,22,33.0
Ty,Lawson,2015-03-25,DEN,PHI,00:32:57,6,16,2,3,5,6,0,4,4,6,2,1,2,1,19,39.0
