first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Stephen,Curry,2015-01-02,GSW,TOR,00:33:54,10,18,5,11,7,7,2,3,5,12,1,0,0,3,32,60.75
Kevin,Durant,2015-01-02,OKC,WAS,00:31:19,12,18,4,7,6,7,0,8,8,2,0,1,2,3,34,50.0
Jeff,Teague,2015-01-02,ATL,UTA,00:35:41,9,17,2,4,6,7,0,4,4,8,3,0,0,0,26,50.0
Brandon,Jennings,2015-01-02,DET,NYK,00:24:54,11,17,4,8,3,4,1,2,3,3,2,0,2,1,29,42.25
Rajon,Rondo,2015-01-02,DAL,BOS,00:34:53,12,19,5,7,0,0,1,5,6,5,1,0,2,3,29,47.5
Draymond,Green,2015-01-02,GSW,TOR,00:40:29,6,12,2,6,2,2,3,8,11,13,2,2,2,4,16,57.25
Elfrid,Payton,2015-01-02,ORL,BRK,00:35:48,6,13,1,1,3,5,4,5,9,10,3,1,2,3,16,49.75
Greivis,Vasquez,2015-01-02,TOR,GSW,00:34:11,10,19,5,9,0,1,0,5,5,7,1,0,2,1,25,45.25
Jeremy,Lin,2015-01-02,LAL,MEM,00:27:33,9,14,2,3,0,0,0,3,3,5,3,1,1,2,20,39.75
Mike,Conley,2015-01-02,MEM,LAL,00:32:21,5,13,3,5,6,8,1,5,6,9,2,1,2,1,19,46.5
Marreese,Speights,2015-01-02,GSW,TOR,00:25:26,12,19,0,1,2,2,4,4,8,0,0,0,1,2,26,35.5
Ed,Davis,2015-01-02,LAL,MEM,00:28:10,7,9,0,0,6,8,2,6,8,1,1,2,1,4,20,37.0
Kevin,Love,2015-01-02,CLE,CHO,00:37:51,9,15,3,4,6,10,0,5,5,1,0,1,1,3,27,37.75
Monta,Ellis,2015-01-02,DAL,BOS,00:34:01,8,17,2,3,4,4,0,5,5,4,2,0,0,2,22,39.25
Henry,Sims,2015-01-02,PHI,PHO,00:18:03,6,7,0,0,4,4,3,2,5,2,0,2,1,0,16,28.75
