first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Russell,Westbrook,2015-02-06,OKC,NOP,2382,15,28,3,5,15,15,3,6,9,11,4,0,3,4,48,83.75
Anthony,Davis,2015-02-06,NOP,OKC,2665,15,23,1,1,10,10,3,7,10,3,0,2,3,2,41,61.0
Tobias,Harris,2015-02-06,ORL,LAL,2724,14,18,2,5,4,4,0,7,7,2,1,1,2,1,34,49.75
Marcus,Morris,2015-02-06,PHO,UTA,1964,11,17,5,7,7,8,1,11,12,0,2,1,3,0,34,56.0
Blake,Griffin,2015-02-06,LAC,TOR,2143,9,15,0,0,8,9,2,4,6,9,1,1,1,1,26,50.5
James,Harden,2015-02-06,HOU,MIL,2414,9,14,3,6,12,17,0,3,3,5,1,0,3,1,33,46.25
DeMar,DeRozan,2015-02-06,TOR,LAC,1910,6,16,0,1,12,13,1,8,9,8,2,0,0,1,24,51.25
Giannis,Antetokounmpo,2015-02-06,MIL,HOU,2083,11,16,0,0,5,6,3,12,15,4,0,1,3,4,27,52.25
Stephen,Curry,2015-02-06,GSW,ATL,2172,8,19,4,9,6,7,0,2,2,9,2,2,1,3,26,51.5
Greg,Monroe,2015-02-06,DET,DEN,2165,7,13,0,0,7,9,4,17,21,3,2,2,4,0,21,57.75
Jeff,Teague,2015-02-06,ATL,GSW,1938,5,15,2,4,11,11,1,2,3,7,3,2,2,0,23,47.25
Kawhi,Leonard,2015-02-06,SAS,MIA,2006,8,15,5,10,3,4,1,3,4,4,3,0,1,0,24,43.0
Klay,Thompson,2015-02-06,GSW,ATL,2176,11,20,4,8,3,4,0,4,4,5,2,1,3,2,29,48.0
Tyreke,Evans,2015-02-06,NOP,OKC,2532,8,17,3,6,3,5,1,9,10,16,1,1,6,4,22,61.0
Jared,Sullinger,2015-02-06,BOS,PHI,1821,9,18,1,5,3,3,2,6,8,7,2,1,1,4,22,48.5
Nikola,Vucevic,2015-02-06,ORL,LAL,2444,11,21,0,0,3,5,4,9,13,2,2,2,1,5,25,51.75
C.J.,Miles,2015-02-06,IND,CLE,1927,8,16,4,10,6,8,0,4,4,3,2,0,1,1,26,41.0
David,West,2015-02-06,IND,CLE,1712,9,15,0,0,2,2,3,10,13,3,2,0,0,3,20,44.75
D.J.,Augustin,2015-02-06,DET,DEN,2055,6,10,2,3,8,8,0,2,2,11,0,0,5,1,22,39.5
Chris,Paul,2015-02-06,LAC,TOR,2386,8,16,2,5,4,4,0,6,6,9,2,0,3,2,22,46.5
Paul,Millsap,2015-02-06,ATL,GSW,2055,6,10,0,2,9,12,2,2,4,3,3,1,2,3,21,37.5
Brook,Lopez,2015-02-06,BRK,NYK,1973,11,18,0,0,0,2,5,4,9,2,0,6,3,3,22,46.75
Kyrie,Irving,2015-02-06,CLE,IND,2359,13,26,3,9,0,0,3,1,4,5,1,0,2,5,29,44.0
James,Johnson,2015-02-06,TOR,LAC,1136,7,7,0,0,2,2,1,4,5,3,2,0,1,0,16,30.25
Ryan,Kelly,2015-02-06,LAL,ORL,2007,6,14,5,6,3,3,1,4,5,3,2,1,0,3,20,39.25
Trevor,Ariza,2015-02-06,HOU,MIL,2337,9,21,6,10,0,0,2,4,6,3,3,0,1,4,24,44.5
George,Hill,2015-02-06,IND,CLE,1584,3,8,2,3,12,15,2,1,3,7,1,1,4,2,20,37.25
Rudy,Gobert,2015-02-06,UTA,PHO,1620,6,7,0,0,2,4,3,9,12,4,1,1,1,3,14,38.5
Kyle,Lowry,2015-02-06,TOR,LAC,2286,6,9,3,6,6,6,0,1,1,1,1,0,1,2,21,26.75
Eric,Bledsoe,2015-02-06,PHO,UTA,1865,6,12,3,3,0,0,0,2,2,6,4,0,0,2,15,36.0
Kevin,Durant,2015-02-06,OKC,NOP,2566,9,26,3,10,6,7,2,3,5,4,2,1,2,2,27,45.75
Kyle,Korver,2015-02-06,ATL,GSW,2046,6,10,5,9,0,0,0,7,7,2,2,1,1,2,17,36.75
Josh,Smith,2015-02-06,HOU,MIL,1968,5,8,4,5,0,1,2,8,10,8,1,1,4,1,14,42.5
Jarrett,Jack,2015-02-06,BRK,NYK,2532,7,12,1,1,5,5,0,2,2,8,0,0,4,0,20,33.0
Derrick,Favors,2015-02-06,UTA,PHO,2029,9,14,0,0,2,2,0,5,5,1,3,1,2,3,20,34.75
Tony,Parker,2015-02-06,SAS,MIA,1754,9,12,2,3,1,1,0,3,3,4,0,0,3,2,21,30.25
Jose,Calderon,2015-02-06,NYK,BRK,2009,6,11,3,4,0,0,0,4,4,7,1,0,0,3,15,34.0
Gordon,Hayward,2015-02-06,UTA,PHO,2051,9,17,1,2,5,6,0,5,5,5,0,0,4,2,24,36.25
Louis,Williams,2015-02-06,TOR,LAC,1702,4,9,3,6,7,9,0,3,3,5,0,0,1,1,18,30.25
Marc,Gasol,2015-02-06,MEM,MIN,1944,6,9,0,0,3,3,1,2,3,2,2,1,0,3,15,27.75
Ty,Lawson,2015-02-06,DEN,DET,2342,6,12,1,2,7,8,0,3,3,9,0,0,4,4,20,35.75
Draymond,Green,2015-02-06,GSW,ATL,2126,6,14,0,2,0,2,10,10,20,6,1,0,2,5,12,47.0
Hollis,Thompson,2015-02-06,PHI,BOS,2256,6,11,4,5,0,0,2,6,8,2,1,0,1,2,16,32.5
Tyler,Zeller,2015-02-06,BOS,PHI,1553,6,10,0,0,4,6,4,5,9,1,1,3,3,3,16,35.25
Ricky,Rubio,2015-02-06,MIN,MEM,1542,6,12,3,4,2,2,1,4,5,5,1,0,3,1,17,32.75
Jeremy,Lin,2015-02-06,LAL,ORL,1336,6,8,2,2,0,0,0,1,1,3,2,1,2,0,14,25.75
Mike,Scott,2015-02-06,ATL,GSW,1018,5,7,3,3,4,4,0,2,2,0,0,0,1,0,17,20.5
Brandon,Knight,2015-02-06,MIL,HOU,2158,5,14,2,6,0,0,0,3,3,11,5,0,3,3,12,41.75
Jamal,Crawford,2015-02-06,LAC,TOR,2106,4,13,2,7,10,11,0,0,0,0,1,2,1,0,20,26.5
Andrew,Wiggins,2015-02-06,MIN,MEM,2601,6,11,0,1,6,7,3,3,6,2,1,0,3,4,18,29.0
Tyler,Johnson,2015-02-06,MIA,SAS,1524,7,10,2,2,2,2,1,1,2,0,2,0,3,2,18,24.0
LeBron,James,2015-02-06,CLE,IND,2314,10,21,0,4,5,8,0,6,6,5,2,1,7,3,25,42.5
Luc,Mbah,2015-02-06,PHI,BOS,2090,7,14,3,6,1,3,1,2,3,4,0,0,1,1,18,28.75
Greivis,Vasquez,2015-02-06,TOR,LAC,1401,6,9,4,7,1,1,1,2,3,3,0,0,2,4,17,26.25
DeMarre,Carroll,2015-02-06,ATL,GSW,2004,4,6,1,3,3,4,0,3,3,2,2,0,0,2,12,23.25
Jordan,Clarkson,2015-02-06,LAL,ORL,1844,6,14,1,4,1,2,2,0,2,6,4,0,3,1,14,32.5
Thaddeus,Young,2015-02-06,MIN,MEM,2410,6,14,0,1,2,2,3,5,8,2,2,0,0,3,14,31.0
Jorge,Gutierrez,2015-02-06,MIL,HOU,956,5,5,0,0,3,3,1,1,2,0,1,0,0,3,13,17.5
Joe,Johnson,2015-02-06,BRK,NYK,2162,5,10,1,3,2,2,1,10,11,2,1,0,1,3,13,31.75
Kevin,Garnett,2015-02-06,BRK,NYK,1317,6,10,0,0,0,0,1,8,9,2,0,3,1,3,12,31.75
Avery,Bradley,2015-02-06,BOS,PHI,1777,7,15,3,4,1,2,0,3,3,1,1,0,0,2,18,26.75
Solomon,Hill,2015-02-06,IND,CLE,2178,5,8,0,1,1,1,1,3,4,3,1,0,0,1,11,22.5
Ryan,Anderson,2015-02-06,NOP,OKC,1685,4,9,2,5,7,9,0,4,4,1,0,2,2,3,17,27.5
Mike,Conley,2015-02-06,MEM,MIN,2164,6,13,1,5,2,3,0,4,4,7,1,0,3,1,15,31.5
Al,Horford,2015-02-06,ATL,GSW,1671,4,10,0,1,4,4,1,13,14,6,1,0,3,5,12,39.0
Courtney,Lee,2015-02-06,MEM,MIN,1734,5,9,1,2,3,3,0,1,1,1,2,0,1,1,14,20.75
Andre,Roberson,2015-02-06,OKC,NOP,1357,3,4,1,2,0,0,1,5,6,1,2,2,0,1,7,24.5
Corey,Brewer,2015-02-06,HOU,MIL,1521,3,8,1,3,4,4,2,6,8,4,3,0,2,6,11,32.5
Manu,Ginobili,2015-02-06,SAS,MIA,1463,2,4,2,4,0,0,1,3,4,9,2,0,2,2,6,28.5
Quincy,Pondexter,2015-02-06,NOP,OKC,2019,4,10,3,5,4,4,1,1,2,1,2,0,1,3,15,24.0
J.R.,Smith,2015-02-06,CLE,IND,1864,6,14,5,12,0,0,1,2,3,0,1,0,0,2,17,25.25
