first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
James,Harden,2014-12-17,HOU,DEN,2695,11,21,1,7,18,21,1,3,4,10,2,0,4,2,41,63.5
Chandler,Parsons,2014-12-17,DAL,DET,2129,10,17,4,6,8,9,3,4,7,2,2,0,2,0,32,48.75
Dwyane,Wade,2014-12-17,MIA,UTA,2039,12,19,2,3,16,21,1,3,4,3,0,0,6,5,42,49.5
Gordon,Hayward,2014-12-17,UTA,MIA,2291,9,13,4,5,7,7,0,6,6,7,0,1,3,3,29,49.5
Danny,Green,2014-12-17,SAS,MEM,3117,9,17,7,13,0,0,0,7,7,3,2,5,1,1,25,55.25
Chris,Paul,2014-12-17,LAC,IND,2267,7,14,1,3,5,6,0,6,6,9,5,0,1,2,20,51.0
Shelvin,Mack,2014-12-17,ATL,CLE,1355,7,8,6,6,4,4,0,2,2,3,0,0,1,0,24,33.5
Damian,Lillard,2014-12-17,POR,MIL,2199,10,18,4,7,5,6,0,3,3,7,2,0,4,3,29,47.25
Andre,Drummond,2014-12-17,DET,DAL,2485,9,16,0,1,1,6,7,17,24,1,4,3,2,6,19,63.5
Blake,Griffin,2014-12-17,LAC,IND,2408,11,27,0,2,9,13,6,10,16,5,1,0,4,2,31,58.5
Al,Jefferson,2014-12-17,CHO,PHO,2134,13,22,0,0,2,2,1,9,10,2,2,1,2,4,28,48.5
Kyle,Lowry,2014-12-17,TOR,BRK,1898,7,13,2,3,4,4,0,3,3,12,2,0,2,4,20,45.75
Kemba,Walker,2014-12-17,CHO,PHO,2293,9,20,4,8,5,6,1,1,2,7,1,0,0,5,27,44.0
Marc,Gasol,2014-12-17,MEM,SAS,2777,10,16,1,1,5,6,3,6,9,2,1,2,4,4,26,44.75
Zach,Randolph,2014-12-17,MEM,SAS,2906,9,19,0,0,3,4,6,15,21,1,2,0,1,3,21,52.25
LaMarcus,Aldridge,2014-12-17,POR,MIL,2113,10,19,0,1,3,4,6,9,15,2,0,1,2,3,23,45.75
Tyson,Chandler,2014-12-17,DAL,DET,1949,5,9,0,0,6,9,4,5,9,4,1,1,1,0,16,36.75
Goran,Dragic,2014-12-17,PHO,CHO,2227,8,17,1,6,3,3,1,2,3,8,1,0,1,0,20,37.75
Dwight,Howard,2014-12-17,HOU,DEN,2552,7,16,0,0,10,15,4,12,16,1,0,4,4,4,24,51.5
Monta,Ellis,2014-12-17,DAL,DET,2124,11,20,1,2,2,4,0,2,2,8,1,0,3,3,25,40.5
Al,Horford,2014-12-17,ATL,CLE,1838,10,14,0,2,0,0,0,2,2,4,0,2,1,1,20,32.0
Mason,Plumlee,2014-12-17,BRK,TOR,2213,9,13,0,1,5,11,3,5,8,2,0,2,3,3,23,38.5
DeAndre,Jordan,2014-12-17,LAC,IND,2657,4,8,0,0,7,15,8,15,23,0,0,2,1,3,15,47.25
