date,visitor,home
2015-04-07,Golden State Warriors,New Orleans Pelicans
2015-04-07,San Antonio Spurs,Oklahoma City Thunder
2015-04-07,Minnesota Timberwolves,Sacramento Kings
2015-04-08,Atlanta Hawks,Brooklyn Nets
2015-04-08,Toronto Raptors,Charlotte Hornets
2015-04-08,Phoenix Suns,Dallas Mavericks
2015-04-08,Los Angeles Lakers,Denver Nuggets
2015-04-08,Boston Celtics,Detroit Pistons
2015-04-08,New Orleans Pelicans,Memphis Grizzlies
2015-04-08,Cleveland Cavaliers,Milwaukee Bucks
2015-04-08,Indiana Pacers,New York Knicks
2015-04-08,Chicago Bulls,Orlando Magic
2015-04-08,Washington Wizards,Philadelphia 76ers
2015-04-08,Minnesota Timberwolves,Portland Trail Blazers
2015-04-08,Houston Rockets,San Antonio Spurs
2015-04-08,Sacramento Kings,Utah Jazz
2015-04-09,Portland Trail Blazers,Golden State Warriors
2015-04-09,Chicago Bulls,Miami Heat
2015-04-10,Charlotte Hornets,Atlanta Hawks
2015-04-10,Washington Wizards,Brooklyn Nets
2015-04-10,Boston Celtics,Cleveland Cavaliers
2015-04-10,Dallas Mavericks,Denver Nuggets
2015-04-10,Indiana Pacers,Detroit Pistons
2015-04-10,San Antonio Spurs,Houston Rockets
2015-04-10,Minnesota Timberwolves,Los Angeles Lakers
2015-04-10,Phoenix Suns,New Orleans Pelicans
2015-04-10,Milwaukee Bucks,New York Knicks
2015-04-10,Sacramento Kings,Oklahoma City Thunder
2015-04-10,Toronto Raptors,Orlando Magic
2015-04-10,Memphis Grizzlies,Utah Jazz
2015-04-11,Philadelphia 76ers,Chicago Bulls
2015-04-11,Minnesota Timberwolves,Golden State Warriors
2015-04-11,Memphis Grizzlies,Los Angeles Clippers
2015-04-11,Toronto Raptors,Miami Heat
2015-04-11,New York Knicks,Orlando Magic
2015-04-11,Utah Jazz,Portland Trail Blazers
2015-04-12,Cleveland Cavaliers,Boston Celtics
2015-04-12,Sacramento Kings,Denver Nuggets
2015-04-12,Charlotte Hornets,Detroit Pistons
2015-04-12,New Orleans Pelicans,Houston Rockets
2015-04-12,Oklahoma City Thunder,Indiana Pacers
2015-04-12,Dallas Mavericks,Los Angeles Lakers
2015-04-12,Brooklyn Nets,Milwaukee Bucks
2015-04-12,Phoenix Suns,San Antonio Spurs
2015-04-12,Atlanta Hawks,Washington Wizards
2015-04-13,New York Knicks,Atlanta Hawks
2015-04-13,Chicago Bulls,Brooklyn Nets
2015-04-13,Houston Rockets,Charlotte Hornets
2015-04-13,Detroit Pistons,Cleveland Cavaliers
2015-04-13,Memphis Grizzlies,Golden State Warriors
2015-04-13,Denver Nuggets,Los Angeles Clippers
2015-04-13,Orlando Magic,Miami Heat
2015-04-13,New Orleans Pelicans,Minnesota Timberwolves
2015-04-13,Portland Trail Blazers,Oklahoma City Thunder
2015-04-13,Milwaukee Bucks,Philadelphia 76ers
2015-04-13,Los Angeles Lakers,Sacramento Kings
2015-04-13,Dallas Mavericks,Utah Jazz
2015-04-14,Toronto Raptors,Boston Celtics
2015-04-14,Washington Wizards,Indiana Pacers
2015-04-14,Los Angeles Clippers,Phoenix Suns
2015-04-15,Orlando Magic,Brooklyn Nets
2015-04-15,Atlanta Hawks,Chicago Bulls
2015-04-15,Washington Wizards,Cleveland Cavaliers
2015-04-15,Portland Trail Blazers,Dallas Mavericks
2015-04-15,Denver Nuggets,Golden State Warriors
2015-04-15,Utah Jazz,Houston Rockets
2015-04-15,Sacramento Kings,Los Angeles Lakers
2015-04-15,Indiana Pacers,Memphis Grizzlies
2015-04-15,Boston Celtics,Milwaukee Bucks
2015-04-15,Oklahoma City Thunder,Minnesota Timberwolves
2015-04-15,San Antonio Spurs,New Orleans Pelicans
2015-04-15,Detroit Pistons,New York Knicks
2015-04-15,Miami Heat,Philadelphia 76ers
2015-04-15,Charlotte Hornets,Toronto Raptors
