position,first_name,last_name,salary,date
SF,Al-Farouq,Aminu,4000,2015-04-13
SF,Derrick,Williams,4000,2015-04-13
PF,Thomas,Robinson,4000,2015-04-13
C,Meyers,Leonard,4000,2015-04-13
PF,Adreian,Payne,4000,2015-04-13
SG,Jabari,Brown,4000,2015-04-13
PF,Carlos,Boozer,3900,2015-04-13
PF,Anthony,Tolliver,3900,2015-04-13
SG,Wayne,Ellington,3900,2015-04-13
PF,Ryan,Anderson,3900,2015-04-13
SG,Tim,Hardaway,3900,2015-04-13
SG,Bojan,Bogdanovic,3900,2015-04-13
PF,David,Lee,3800,2015-04-13
PF,Amare,Stoudemire,3800,2015-04-13
PF,Jason,Smith,3800,2015-04-13
SG,Iman,Shumpert,3800,2015-04-13
PF,Elton,Brand,3700,2015-04-13
SG,Quincy,Pondexter,3700,2015-04-13
PG,Shelvin,Mack,3700,2015-04-13
PF,Louis,Amundson,3600,2015-04-13
C,Alexis,Ajinca,3600,2015-04-13
PF,John,Henson,3600,2015-04-13
PG,Isaiah,Canaan,3600,2015-04-13
SG,Matthew,Dellavedova,3600,2015-04-13
SG,Will,Barton,3600,2015-04-13
SG,Ricky,Ledo,3600,2015-04-13
PF,Kevin,Garnett,3500,2015-04-13
SG,Jason,Richardson,3500,2015-04-13
PG,Devin,Harris,3500,2015-04-13
SG,Alan,Anderson,3500,2015-04-13
SG,Gary,Neal,3500,2015-04-13
SG,Thabo,Sefolosha,3500,2015-04-13
PG,Lorenzo,Brown,3500,2015-04-13
SG,John,Jenkins,3500,2015-04-13
C,Mason,Plumlee,3500,2015-04-13
SF,Hollis,Thompson,3500,2015-04-13
PG,Tim,Frazier,3500,2015-04-13
SF,Tony,Snell,3500,2015-04-13
PF,Cody,Zeller,3500,2015-04-13
PF,Jakarr,Sampson,3500,2015-04-13
SG,Evan,Fournier,3500,2015-04-13
C,Pero,Antic,3500,2015-04-13
C,Joel,Embiid,3500,2015-04-13
SF,Richard,Jefferson,3400,2015-04-13
SF,Tayshaun,Prince,3400,2015-04-13
PG,Beno,Udrih,3400,2015-04-13
SG,Courtney,Lee,3400,2015-04-13
PG,Mario,Chalmers,3400,2015-04-13
PG,D.J.,Augustin,3400,2015-04-13
PF,J.J.,Hickson,3400,2015-04-13
SG,Markel,Brown,3400,2015-04-13
SF,Jerami,Grant,3400,2015-04-13
C,Jusuf,Nurkic,3400,2015-04-13
SG,Jason,Terry,3300,2015-04-13
C,Chris,Kaman,3300,2015-04-13
PG,Raymond,Felton,3300,2015-04-13
SF,Jared,Dudley,3300,2015-04-13
SF,Luc,Richard,3300,2015-04-13
SF,Dante,Cunningham,3300,2015-04-13
PF,Lance,Thomas,3300,2015-04-13
PF,Quincy,Acy,3300,2015-04-13
PG,Dwight,Buycks,3300,2015-04-13
PG,Troy,Daniels,3300,2015-04-13
PG,Pablo,Prigioni,3300,2015-04-13
SF,Joe,Ingles,3300,2015-04-13
C,Dewayne,Dedmon,3300,2015-04-13
SF,Maurice,Harkless,3300,2015-04-13
PF,Furkan,Aldemir,3300,2015-04-13
PG,Shaun,Livingston,3200,2015-04-13
SG,Jodie,Meeks,3200,2015-04-13
SG,Elijah,Millsap,3200,2015-04-13
SF,Jeremy,Evans,3200,2015-04-13
SF,Michael,Beasley,3200,2015-04-13
C,Henry,Sims,3200,2015-04-13
PG,Bryce,Cotton,3200,2015-04-13
PF,Aaron,Gordon,3200,2015-04-13
SG,Vince,Carter,3100,2015-04-13
PG,Andre,Miller,3100,2015-04-13
SF,Mike,Miller,3100,2015-04-13
PF,Jason,Maxiell,3100,2015-04-13
PG,J.J.,Barea,3100,2015-04-13
PF,Carl,Landry,3100,2015-04-13
PG,Brian,Roberts,3100,2015-04-13
PF,Marreese,Speights,3100,2015-04-13
C,Kosta,Koufos,3100,2015-04-13
C,Robert,Sacre,3100,2015-04-13
SF,Chris,Johnson,3100,2015-04-13
SG,James,Ennis,3100,2015-04-13
SF,Cleanthony,Early,3100,2015-04-13
PG,Dante,Exum,3100,2015-04-13
C,Nazr,Mohammed,3000,2015-04-13
SF,Shawn,Marion,3000,2015-04-13
SF,Hedo,Turkoglu,3000,2015-04-13
C,Brendan,Haywood,3000,2015-04-13
SG,Dahntay,Jones,3000,2015-04-13
C,Nick,Collison,3000,2015-04-13
PG,Kirk,Hinrich,3000,2015-04-13
PG,Steve,Blake,3000,2015-04-13
SG,James,Jones,3000,2015-04-13
SG,Willie,Green,3000,2015-04-13
PG,Luke,Ridnour,3000,2015-04-13
PG,John,Lucas,3000,2015-04-13
PF,Channing,Frye,3000,2015-04-13
SG,Ben,Gordon,3000,2015-04-13
C,Chris,Andersen,3000,2015-04-13
PG,Ronnie,Price,3000,2015-04-13
SF,Caron,Butler,3000,2015-04-13
SF,Steve,Novak,3000,2015-04-13
PF,Reggie,Evans,3000,2015-04-13
C,Ryan,Hollins,3000,2015-04-13
C,Kendrick,Perkins,3000,2015-04-13
PG,Leandro,Barbosa,3000,2015-04-13
SF,Cartier,Martin,3000,2015-04-13
PF,Charlie,Villanueva,3000,2015-04-13
SF,Dorell,Wright,3000,2015-04-13
PG,Toney,Douglas,3000,2015-04-13
SG,Nick,Young,3000,2015-04-13
PF,Glen,Davis,3000,2015-04-13
C,Joey,Dorsey,3000,2015-04-13
SF,Shawne,Williams,3000,2015-04-13
C,Joel,Anthony,3000,2015-04-13
SF,Alonzo,Gee,3000,2015-04-13
PF,Arinze,Onuaku,3000,2015-04-13
SG,Brandon,Rush,3000,2015-04-13
C,Joel,Freeland,3000,2015-04-13
C,Jerome,Jordan,3000,2015-04-13
C,Spencer,Hawes,3000,2015-04-13
PF,Darrell,Arthur,3000,2015-04-13
C,Ekpe,Udoh,3000,2015-04-13
