first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Kendrick,Perkins,2015-01-07,OKC,SAC,783,0,0,0,0,0,2,0,7,7,2,2,1,2,5,0,16.75
Jared,Sullinger,2015-01-07,BOS,BRK,1424,1,7,0,1,0,0,3,3,6,3,1,0,1,3,2,15.5
Jeremy,Evans,2015-01-07,UTA,CHI,171,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,4.0
Zach,LaVine,2015-01-07,MIN,PHO,758,2,4,0,1,2,2,0,1,1,2,0,0,4,1,6,8.25
Nazr,Mohammed,2015-01-07,CHI,UTA,157,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2.0
Darius,Morris,2015-01-07,BRK,BOS,273,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2,3.5
P.J.,Tucker,2015-01-07,PHO,MIN,1622,1,5,0,4,0,0,1,8,9,0,0,1,1,1,2,14.75
Brendan,Haywood,2015-01-07,CLE,HOU,349,1,1,0,0,0,0,1,0,1,0,0,1,2,0,2,4.25
Dion,Waiters,2015-01-07,OKC,SAC,1339,1,9,0,3,2,2,0,2,2,1,1,1,0,0,4,12.0
Richard,Jefferson,2015-01-07,DAL,DET,1031,1,4,1,2,0,0,1,0,1,0,0,0,0,1,3,4.75
C.J.,Miles,2015-01-07,IND,GSW,2087,4,15,3,10,2,2,0,0,0,1,1,0,3,5,13,16.5
Dwight,Powell,2015-01-07,DAL,DET,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5
Roy,Hibbert,2015-01-07,IND,GSW,339,1,2,0,0,0,0,0,1,1,0,0,1,1,1,2,4.75
Shawn,Marion,2015-01-07,CLE,HOU,955,1,6,0,1,0,0,2,2,4,2,0,0,1,0,2,9.5
Dante,Cunningham,2015-01-07,NOP,CHO,1282,1,3,0,0,0,0,0,3,3,0,0,0,0,2,2,5.75
