first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Damian,Lillard,2014-12-23,POR,OKC,2746,11,21,8,12,10,11,1,5,6,11,2,0,2,1,40,71.0
Russell,Westbrook,2014-12-23,OKC,POR,2316,16,34,1,5,7,9,5,5,10,6,3,0,2,6,40,67.0
Tyson,Chandler,2014-12-23,DAL,PHO,2019,6,8,0,0,10,12,6,8,14,2,0,0,0,2,22,42.5
Brandon,Knight,2014-12-23,MIL,CHO,2011,13,21,4,7,4,4,0,2,2,5,1,0,4,3,34,46.0
Gorgui,Dieng,2014-12-23,MIN,CLE,2166,6,10,0,0,8,8,3,8,11,2,3,4,2,3,20,49.75
DeMarre,Carroll,2014-12-23,ATL,LAC,2218,9,12,5,6,2,3,3,7,10,0,1,0,0,3,25,42.0
Ty,Lawson,2014-12-23,DEN,BRK,2496,10,20,4,8,5,6,0,4,4,9,0,0,4,1,29,47.5
Blake,Griffin,2014-12-23,LAC,ATL,2184,9,17,0,1,3,4,1,7,8,11,1,1,2,3,21,50.5
Mason,Plumlee,2014-12-23,BRK,DEN,2385,9,14,0,0,1,3,5,8,13,2,2,3,2,2,19,47.25
Kenneth,Faried,2014-12-23,DEN,BRK,1917,8,11,0,0,4,5,5,9,14,2,1,1,3,3,20,43.0
Goran,Dragic,2014-12-23,PHO,DAL,2338,10,17,2,6,3,5,1,2,3,4,1,0,1,1,25,37.25
Tyler,Zeller,2014-12-23,BOS,ORL,1766,6,9,0,0,10,10,1,9,10,0,1,1,2,3,22,37.5
Joe,Johnson,2014-12-23,BRK,DEN,2004,11,19,4,5,1,2,0,2,2,3,1,0,1,2,27,37.5
DeAndre,Jordan,2014-12-23,LAC,ATL,2310,7,11,0,0,1,4,11,11,22,1,0,4,2,5,15,51.0
Andrew,Wiggins,2014-12-23,MIN,CLE,2207,9,16,3,3,6,8,1,1,2,2,1,1,3,1,27,36.5
Pau,Gasol,2014-12-23,CHI,WAS,2040,7,13,1,1,3,3,0,9,9,4,1,2,0,1,18,41.75
Michael,Carter-Williams,2014-12-23,PHI,MIA,2659,9,18,2,4,0,0,1,2,3,5,6,1,3,1,20,44.75
LeBron,James,2014-12-23,CLE,MIN,2078,8,16,4,7,4,5,0,4,4,3,1,3,2,3,24,42.5
Ronnie,Price,2014-12-23,LAL,GSW,1834,6,10,3,7,2,2,1,3,4,8,3,0,3,2,17,40.0
Kyrie,Irving,2014-12-23,CLE,MIN,2217,12,19,2,4,3,3,0,0,0,4,3,0,6,4,29,39.0
Kemba,Walker,2014-12-23,CHO,MIL,2155,9,18,1,4,8,10,0,1,1,4,2,0,2,4,27,37.75
Ed,Davis,2014-12-23,LAL,GSW,1244,7,7,0,0,0,0,2,3,5,2,1,2,0,0,14,29.25
Chris,Paul,2014-12-23,LAC,ATL,2338,7,18,3,7,2,2,2,4,6,7,5,0,3,2,19,47.0
Derrick,Rose,2014-12-23,CHI,WAS,1714,10,17,1,3,4,4,1,1,2,4,2,0,5,0,25,35.5
Kevin,Love,2014-12-23,CLE,MIN,2154,5,11,1,2,9,11,3,7,10,4,0,0,2,2,20,38.0
Kyle,O'Quinn,2014-12-23,ORL,BOS,2058,6,12,2,4,4,4,1,12,13,0,2,1,0,4,18,41.25
Stephen,Curry,2014-12-23,GSW,LAL,1798,10,14,2,5,0,0,0,2,2,6,3,0,7,0,22,37.0
Reggie,Jackson,2014-12-23,OKC,POR,2219,8,17,1,2,4,4,0,9,9,4,1,0,2,0,21,39.75
Gerald,Henderson,2014-12-23,CHO,MIL,1913,6,10,1,1,7,8,0,2,2,4,1,0,2,2,20,30.0
Paul,Millsap,2014-12-23,ATL,LAC,2012,4,12,1,4,8,9,1,8,9,7,1,1,2,3,17,42.25
Dirk,Nowitzki,2014-12-23,DAL,PHO,1732,7,12,2,3,6,7,0,5,5,1,1,0,2,3,22,31.75
Wesley,Matthews,2014-12-23,POR,OKC,2544,8,15,5,8,1,1,0,2,2,2,1,0,1,2,22,31.5
Eric,Bledsoe,2014-12-23,PHO,DAL,2085,6,19,1,7,3,3,2,8,10,11,3,0,3,2,16,50.0
Jameer,Nelson,2014-12-23,BOS,ORL,1785,3,9,1,6,2,2,2,2,4,11,4,0,1,3,9,38.5
Shawne,Williams,2014-12-23,MIA,PHI,1563,6,9,3,5,2,2,2,3,5,0,0,1,0,2,17,26.75
Tobias,Harris,2014-12-23,ORL,BOS,1966,7,13,3,4,2,4,0,4,4,4,0,1,1,1,19,33.0
Nikola,Vucevic,2014-12-23,ORL,BOS,1957,8,12,0,0,2,2,2,10,12,2,0,1,3,3,18,36.5
Alex,Len,2014-12-23,PHO,DAL,1668,6,9,0,0,5,7,3,4,7,0,1,1,0,6,17,29.75
P.J.,Tucker,2014-12-23,PHO,DAL,1626,5,8,2,3,3,5,1,4,5,2,2,0,0,3,15,29.25
Roy,Hibbert,2014-12-23,IND,NOP,1357,5,10,0,0,4,6,0,4,4,2,0,7,0,3,14,36.0
Taj,Gibson,2014-12-23,CHI,WAS,1132,5,5,0,0,2,2,2,5,7,1,0,2,0,3,12,26.25
Jarrett,Jack,2014-12-23,BRK,DEN,2287,7,13,0,2,3,3,0,1,1,8,1,0,3,1,17,30.75
John,Wall,2014-12-23,WAS,CHI,2220,9,16,0,0,0,0,0,5,5,9,2,0,4,5,18,39.75
David,West,2014-12-23,IND,NOP,1882,6,8,0,0,1,2,0,7,7,5,2,2,4,1,13,35.25
Avery,Bradley,2014-12-23,BOS,ORL,1859,7,13,4,6,2,2,1,3,4,1,0,0,1,3,20,28.0
Dwyane,Wade,2014-12-23,MIA,PHI,2037,9,21,0,3,5,7,2,3,5,6,0,0,3,2,23,36.75
Dion,Waiters,2014-12-23,CLE,MIN,1648,5,12,2,4,7,8,0,2,2,4,3,0,4,2,19,32.5
Marvin,Williams,2014-12-23,CHO,MIL,1620,4,6,4,5,0,0,0,7,7,2,2,1,1,2,12,31.25
Tyreke,Evans,2014-12-23,NOP,IND,2237,6,13,0,2,2,3,0,11,11,4,3,0,2,1,14,38.75
Bradley,Beal,2014-12-23,WAS,CHI,2201,6,12,2,3,1,2,0,3,3,3,2,1,0,2,15,30.25
Gerald,Green,2014-12-23,PHO,DAL,1354,7,13,6,9,2,2,1,0,1,1,1,0,3,4,22,28.25
Carlos,Boozer,2014-12-23,LAL,GSW,1577,8,11,0,0,2,6,4,5,9,3,0,1,5,2,18,33.25
Anthony,Davis,2014-12-23,NOP,IND,2232,8,18,0,0,5,6,1,8,9,0,0,1,1,2,21,33.75
Shawn,Marion,2014-12-23,CLE,MIN,1551,5,7,0,0,1,2,1,3,4,2,1,3,0,2,11,27.0
Shabazz,Muhammad,2014-12-23,MIN,CLE,1965,7,17,0,2,4,6,5,1,6,2,1,1,1,3,18,32.0
Sergey,Karasev,2014-12-23,BRK,DEN,1897,4,8,0,3,4,4,2,3,5,3,1,0,0,2,12,24.75
George,Hill,2014-12-23,IND,NOP,1275,5,8,2,3,3,4,0,4,4,3,1,0,2,2,15,26.5
Marcin,Gortat,2014-12-23,WAS,CHI,2274,5,15,0,0,4,4,4,7,11,1,1,3,1,2,14,36.75
Klay,Thompson,2014-12-23,GSW,LAL,1806,6,15,4,8,2,2,1,2,3,1,1,1,1,1,18,28.75
Charlie,Villanueva,2014-12-23,DAL,PHO,1220,7,13,4,9,0,0,1,3,4,0,0,0,0,3,18,25.0
Wesley,Johnson,2014-12-23,LAL,GSW,1526,5,10,2,4,2,2,0,3,3,3,1,0,1,0,14,24.75
Jamal,Crawford,2014-12-23,LAC,ATL,1795,5,19,3,7,5,5,1,6,7,3,1,0,0,1,18,34.75
Giannis,Antetokounmpo,2014-12-23,MIL,CHO,2072,3,4,0,0,5,6,1,5,6,2,2,2,3,4,11,28.0
Nick,Collison,2014-12-23,OKC,POR,1180,4,4,0,0,1,1,1,3,4,1,2,0,0,2,9,19.5
Al,Horford,2014-12-23,ATL,LAC,2085,7,18,0,1,6,8,2,3,5,4,0,0,2,3,20,31.25
Luc,Mbah,2014-12-23,PHI,MIA,2331,8,16,0,2,3,4,1,5,6,0,2,1,3,3,19,31.0
Kyle,Korver,2014-12-23,ATL,LAC,2240,4,9,4,7,2,2,1,2,3,4,0,0,1,3,14,25.25
Lavoy,Allen,2014-12-23,IND,NOP,1523,4,5,0,0,0,0,1,6,7,2,0,1,0,0,8,21.75
Kelly,Olynyk,2014-12-23,BOS,ORL,1545,5,12,1,3,3,4,1,7,8,1,1,0,0,3,14,28.0
David,Lee,2014-12-23,GSW,LAL,1083,4,8,0,0,4,4,0,7,7,1,1,0,1,1,12,23.75
J.J.,Redick,2014-12-23,LAC,ATL,2061,6,11,3,6,3,5,0,1,1,0,0,0,1,2,18,20.25
Aaron,Brooks,2014-12-23,CHI,WAS,1537,5,13,0,3,3,5,0,4,4,6,1,0,0,3,13,29.0
Serge,Ibaka,2014-12-23,OKC,POR,1991,7,14,2,3,0,0,2,5,7,0,0,4,2,6,16,32.75
K.J.,McDaniels,2014-12-23,PHI,MIA,1862,4,8,1,3,4,4,2,1,3,0,1,2,2,2,13,22.25
Nick,Young,2014-12-23,LAL,GSW,1809,5,13,2,6,3,3,1,4,5,1,1,1,1,3,15,27.25
Jerami,Grant,2014-12-23,PHI,MIA,1534,3,7,1,2,4,7,1,6,7,0,0,3,0,2,11,26.25
Khris,Middleton,2014-12-23,MIL,CHO,1207,5,7,1,2,1,2,0,3,3,3,0,1,2,2,12,21.75
Al,Jefferson,2014-12-23,CHO,MIL,1874,6,11,0,0,0,0,0,9,9,2,0,0,1,1,12,25.75
Thaddeus,Young,2014-12-23,MIN,CLE,1918,6,18,0,0,1,2,4,2,6,2,3,2,2,1,13,32.5
Jeremy,Lin,2014-12-23,LAL,GSW,1496,4,11,3,5,0,0,0,1,1,5,3,0,1,4,11,26.75
Elfrid,Payton,2014-12-23,ORL,BOS,1742,6,10,0,1,0,2,0,1,1,7,2,0,4,2,12,25.75
Steven,Adams,2014-12-23,OKC,POR,1375,3,4,0,0,1,1,4,7,11,0,0,1,1,3,7,22.25
Justin,Holiday,2014-12-23,GSW,LAL,1115,3,6,2,4,3,3,1,3,4,0,1,0,1,2,11,18.5
LaMarcus,Aldridge,2014-12-23,POR,OKC,2690,9,28,0,1,7,8,3,6,9,1,0,1,4,3,25,37.75
Mario,Chalmers,2014-12-23,MIA,PHI,2312,4,8,1,4,2,2,2,3,5,3,2,0,4,2,11,24.25
Monta,Ellis,2014-12-23,DAL,PHO,2125,5,17,1,4,4,4,0,0,0,6,2,1,3,1,15,29.0
Robert,Covington,2014-12-23,PHI,MIA,2110,3,11,1,5,4,4,1,4,5,3,2,1,1,5,11,27.75
Wayne,Ellington,2014-12-23,LAL,GSW,1511,5,9,2,4,0,0,0,5,5,2,1,0,3,1,12,22.75
