first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Jeremy,Lamb,2015-03-22,OKC,MIA,212,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1.25
Mike,Miller,2015-03-22,CLE,MIL,119,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1.25
A.J.,Price,2015-03-22,PHO,DAL,585,1,3,0,2,0,0,0,0,0,0,0,0,0,2,2,2.0
JaKarr,Sampson,2015-03-22,PHI,LAL,761,0,2,0,0,1,2,0,1,1,0,1,0,1,0,1,3.75
Hedo,Turkoglu,2015-03-22,LAC,NOP,814,1,4,1,3,0,0,0,2,2,1,0,0,2,1,3,6.5
Bismack,Biyombo,2015-03-22,CHO,MIN,878,0,0,0,0,0,0,0,2,2,0,0,1,0,5,0,4.5
Bruno,Caboclo,2015-03-22,TOR,NYK,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Spencer,Hawes,2015-03-22,LAC,NOP,634,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.75
Paul,Pierce,2015-03-22,WAS,SAC,1014,2,6,0,2,0,0,0,1,1,0,0,0,0,4,4,5.25
Charlie,Villanueva,2015-03-22,DAL,PHO,134,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
D.J.,Augustin,2015-03-22,OKC,MIA,1448,1,7,1,3,0,0,2,2,4,2,0,1,3,1,3,12.0
Chris,Johnson,2015-03-22,MIL,CLE,905,1,6,0,3,0,0,0,0,0,0,1,0,0,0,2,4.0
Aron,Baynes,2015-03-22,SAS,ATL,425,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5
Luigi,Datome,2015-03-22,BOS,DET,322,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5
Zoran,Dragic,2015-03-22,MIA,OKC,192,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5
Monta,Ellis,2015-03-22,DAL,PHO,2244,4,22,0,3,3,4,1,1,2,2,3,0,2,3,11,21.5
Kent,Bazemore,2015-03-22,ATL,SAS,1010,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Austin,Daye,2015-03-22,ATL,SAS,200,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1.25
Patrick,Mills,2015-03-22,SAS,ATL,966,0,3,0,1,0,0,0,0,0,2,0,0,0,1,0,3.0
Ben,Gordon,2015-03-22,ORL,DEN,850,1,4,0,1,1,2,0,1,1,1,0,0,2,2,3,4.75
Austin,Rivers,2015-03-22,LAC,NOP,1101,1,6,0,4,0,0,0,1,1,0,0,1,0,2,2,5.25
Toure',Murry,2015-03-22,WAS,SAC,550,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0.75
Anthony,Tolliver,2015-03-22,DET,BOS,1487,0,7,0,3,0,0,1,1,2,3,0,1,0,2,0,9.0
Nik,Stauskas,2015-03-22,SAC,WAS,1301,1,6,0,2,0,0,0,0,0,0,0,0,1,0,2,1.5
Henry,Walker,2015-03-22,MIA,OKC,1275,0,6,0,4,0,0,1,3,4,0,0,0,1,2,0,4.5
Isaiah,Canaan,2015-03-22,PHI,LAL,1311,1,12,1,6,0,0,1,0,1,2,0,0,1,5,3,7.25
