first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
John,Wall,2015-01-24,WAS,POR,2123,10,17,0,1,5,5,1,3,4,9,1,0,3,4,25,44.0
Tim,Hardaway,2015-01-24,NYK,CHO,2084,9,17,5,8,2,2,1,5,6,5,0,1,1,4,25,44.0
LaMarcus,Aldridge,2015-01-24,POR,WAS,2147,9,22,0,1,8,8,2,7,9,3,2,0,2,2,26,44.75
Gordon,Hayward,2015-01-24,UTA,BRK,1889,10,14,1,3,3,4,0,4,4,3,3,0,5,1,24,37.5
Paul,Pierce,2015-01-24,WAS,POR,1781,7,10,3,4,2,2,0,6,6,2,0,0,0,0,19,31.0
Damian,Lillard,2015-01-24,POR,WAS,2156,5,13,2,6,8,8,0,3,3,7,1,0,2,2,20,36.25
O.J.,Mayo,2015-01-24,MIL,DET,1682,8,14,4,5,0,0,1,2,3,3,2,0,2,0,20,33.25
Khris,Middleton,2015-01-24,MIL,DET,1708,7,9,2,3,0,0,0,7,7,4,1,0,1,2,16,33.25
Zach,Randolph,2015-01-24,MEM,PHI,1635,8,11,1,1,0,0,2,12,14,4,0,0,3,2,17,39.5
Joe,Ingles,2015-01-24,UTA,BRK,1809,4,8,4,7,4,4,0,1,1,5,1,0,0,1,16,28.75
Trey,Burke,2015-01-24,UTA,BRK,1544,7,13,4,8,1,2,0,2,2,3,1,0,0,2,19,30.0
Brandon,Knight,2015-01-24,MIL,DET,1650,5,12,2,2,2,2,1,5,6,5,1,0,0,0,14,32.0
Greg,Monroe,2015-01-24,DET,MIL,1724,3,7,0,0,2,2,10,6,16,1,1,1,1,1,8,33.0
Jarrett,Jack,2015-01-24,BRK,UTA,2062,5,14,1,4,5,7,1,3,4,7,2,0,3,0,16,34.5
Jeff,Green,2015-01-24,MEM,PHI,1654,6,11,2,2,4,4,0,1,1,1,0,0,1,0,18,21.25
Brian,Roberts,2015-01-24,CHO,NYK,1979,5,9,1,2,6,6,0,3,3,3,0,1,4,0,17,25.75
Jared,Dudley,2015-01-24,MIL,DET,1418,5,6,2,3,0,0,0,2,2,2,1,1,0,3,12,22.5
Marc,Gasol,2015-01-24,MEM,PHI,1504,3,5,0,0,3,5,0,7,7,4,2,4,2,4,9,34.75
Dorell,Wright,2015-01-24,POR,WAS,1261,3,5,3,5,1,1,1,5,6,3,0,0,0,0,10,23.5
John,Henson,2015-01-24,MIL,DET,938,5,6,0,0,2,2,3,1,4,1,0,1,1,2,12,20.0
