first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Enes,Kanter,2015-01-22,UTA,MIL,2164,8,15,1,2,6,6,3,13,16,0,2,1,2,1,23,48.5
Blake,Griffin,2015-01-22,LAC,BRK,1493,11,14,0,0,2,3,1,5,6,3,2,0,3,4,24,38.5
Derrick,Rose,2015-01-22,CHI,SAS,1599,9,16,2,4,2,2,1,1,2,5,2,0,2,1,22,36.0
Chris,Paul,2015-01-22,LAC,BRK,1441,2,5,1,3,1,1,1,4,5,17,3,0,2,0,6,43.25
Gordon,Hayward,2015-01-22,UTA,MIL,2114,6,13,2,4,10,12,2,4,6,6,2,0,6,4,24,42.5
Pau,Gasol,2015-01-22,CHI,SAS,1887,5,6,0,0,2,2,1,16,17,2,0,2,1,2,12,39.75
Brandon,Bass,2015-01-22,BOS,POR,1853,5,10,0,0,3,4,4,6,10,5,1,1,1,2,13,36.5
DeAndre,Jordan,2015-01-22,LAC,BRK,1536,7,7,0,0,0,2,4,8,12,0,0,2,2,1,14,32.0
Damian,Lillard,2015-01-22,POR,BOS,2115,8,23,2,5,3,3,2,4,6,7,1,0,1,2,21,41.5
J.J.,Redick,2015-01-22,LAC,BRK,1184,6,8,3,4,2,2,0,0,0,3,0,0,1,1,17,22.5
Jimmy,Butler,2015-01-22,CHI,SAS,1681,4,9,2,2,7,7,0,4,4,2,1,1,1,4,17,29.5
Rudy,Gobert,2015-01-22,UTA,MIL,2101,5,7,0,0,4,6,4,6,10,1,1,1,3,1,14,30.5
Giannis,Antetokounmpo,2015-01-22,MIL,UTA,1688,5,10,0,2,3,3,1,5,6,3,5,0,2,4,13,34.0
Taj,Gibson,2015-01-22,CHI,SAS,2193,5,13,0,0,5,8,4,5,9,1,1,4,1,2,15,37.25
Jamal,Crawford,2015-01-22,LAC,BRK,1094,4,10,2,5,7,7,0,2,2,2,1,0,1,0,17,25.0
Jared,Dudley,2015-01-22,MIL,UTA,1511,6,10,3,5,1,2,0,4,4,0,1,0,0,1,16,24.5
Brandon,Knight,2015-01-22,MIL,UTA,1595,6,16,0,2,4,5,1,1,2,5,1,1,0,2,16,30.0
Jared,Sullinger,2015-01-22,BOS,POR,1690,8,16,1,5,0,0,4,5,9,1,1,0,2,2,17,31.25
Jerome,Jordan,2015-01-22,BRK,LAC,1270,4,8,0,0,3,4,7,4,11,0,0,1,1,1,11,26.25
Aaron,Brooks,2015-01-22,CHI,SAS,1492,4,7,2,3,5,7,0,4,4,3,1,0,3,1,15,26.0
Thomas,Robinson,2015-01-22,POR,BOS,1697,4,7,0,0,1,3,6,6,12,1,1,2,1,3,9,31.0
Wesley,Matthews,2015-01-22,POR,BOS,2221,6,15,4,8,2,3,0,3,3,0,2,1,1,1,18,29.25
Avery,Bradley,2015-01-22,BOS,POR,2068,8,16,1,3,1,2,0,4,4,4,1,0,2,3,18,30.5
Mason,Plumlee,2015-01-22,BRK,LAC,1522,6,9,0,0,4,11,1,2,3,1,2,0,2,2,16,24.25
Cory,Jefferson,2015-01-22,BRK,LAC,1055,4,10,0,1,1,2,3,5,8,2,1,1,0,0,9,26.0
Chris,Kaman,2015-01-22,POR,BOS,1718,6,11,0,0,1,2,3,6,9,1,0,0,2,1,13,24.75
