first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Klay,Thompson,2015-01-23,GSW,SAC,1969,16,25,11,15,9,10,0,2,2,5,4,2,4,3,52,77.5
Nikola,Vucevic,2015-01-23,ORL,NYK,2266,16,22,0,0,2,2,4,14,18,3,1,1,2,3,34,64.0
James,Harden,2015-01-23,HOU,PHO,2388,8,18,3,6,14,17,0,6,6,10,3,1,3,4,33,63.5
LeBron,James,2015-01-23,CLE,CHO,1597,9,15,2,4,5,6,1,5,6,9,4,1,2,1,25,56.0
Eric,Bledsoe,2015-01-23,PHO,HOU,2318,8,14,1,4,8,10,1,7,8,9,0,1,3,5,25,49.5
Al,Jefferson,2015-01-23,CHO,CLE,1425,10,16,0,0,2,2,2,9,11,1,0,3,0,2,22,43.25
Kyle,Lowry,2015-01-23,TOR,PHI,2166,5,14,3,7,8,8,1,4,5,5,3,0,1,0,21,41.75
Russell,Westbrook,2015-01-23,OKC,ATL,2160,8,16,2,4,4,6,1,2,3,11,3,0,4,3,22,47.25
J.J.,Hickson,2015-01-23,DEN,BOS,1756,6,8,0,0,3,6,6,8,14,3,2,0,1,1,15,40.5
DeMarcus,Cousins,2015-01-23,SAC,GSW,2107,9,19,0,0,10,11,2,9,11,2,3,0,5,4,28,48.25
Brandon,Bass,2015-01-23,BOS,DEN,2129,5,12,0,0,7,8,2,7,9,5,3,1,0,3,17,43.75
Luol,Deng,2015-01-23,MIA,IND,2108,9,13,3,3,2,2,0,5,5,3,0,0,1,2,23,34.75
Paul,Millsap,2015-01-23,ATL,OKC,1990,9,17,2,3,2,2,2,8,10,3,2,2,4,0,22,46.0
Patrick,Patterson,2015-01-23,TOR,PHI,1777,6,10,2,4,0,1,6,7,13,3,2,0,0,1,14,39.75
Jimmy,Butler,2015-01-23,CHI,DAL,2302,8,18,0,2,4,5,3,5,8,6,3,0,2,1,20,44.0
Lance,Thomas,2015-01-23,NYK,ORL,1493,8,10,0,0,0,0,1,3,4,4,2,0,1,0,16,30.5
Dirk,Nowitzki,2015-01-23,DAL,CHI,2059,10,15,2,5,2,2,0,7,7,0,0,1,3,0,24,34.25
Carmelo,Anthony,2015-01-23,NYK,ORL,2494,10,24,3,7,2,4,2,5,7,4,0,1,0,2,25,43.25
J.R.,Smith,2015-01-23,CLE,CHO,1728,7,13,7,11,0,0,0,4,4,4,0,0,1,2,21,35.0
Tyson,Chandler,2015-01-23,DAL,CHI,2158,3,6,0,0,4,4,6,6,12,3,1,5,2,2,10,40.5
Al,Horford,2015-01-23,ATL,OKC,1920,6,12,1,2,1,1,3,9,12,3,1,3,1,1,14,41.5
Langston,Galloway,2015-01-23,NYK,ORL,1847,5,10,2,6,3,4,3,5,8,3,1,0,0,0,15,32.5
Kawhi,Leonard,2015-01-23,SAS,LAL,1998,6,12,1,3,2,3,2,12,14,3,2,0,1,1,15,41.0
Michael,Carter-Williams,2015-01-23,PHI,TOR,2153,4,8,1,2,3,4,1,6,7,9,4,1,4,3,12,42.75
Jeff,Teague,2015-01-23,ATL,OKC,1807,7,13,1,2,2,2,0,2,2,9,1,0,2,2,17,34.5
Eric,Gordon,2015-01-23,NOP,MIN,2097,8,13,2,3,2,2,0,2,2,5,1,0,2,4,20,32.0
Arron,Afflalo,2015-01-23,DEN,BOS,2313,6,13,1,4,7,7,1,3,4,4,0,0,1,3,20,31.0
Chandler,Parsons,2015-01-23,DAL,CHI,2267,8,14,1,3,2,2,0,1,1,2,2,0,0,2,19,27.75
Tim,Duncan,2015-01-23,SAS,LAL,1218,5,9,0,0,4,5,1,6,7,3,0,2,0,1,14,31.25
Kyrie,Irving,2015-01-23,CLE,CHO,1668,7,12,3,4,1,2,1,3,4,2,1,1,1,2,18,31.0
Timofey,Mozgov,2015-01-23,CLE,CHO,1278,4,5,0,0,6,7,2,8,10,0,0,1,1,1,14,28.0
Marreese,Speights,2015-01-23,GSW,SAC,1255,8,13,0,0,3,3,2,4,6,1,0,1,1,5,19,29.5
Pau,Gasol,2015-01-23,CHI,DAL,2299,5,10,0,0,3,3,3,13,16,3,1,1,3,2,13,40.0
Darren,Collison,2015-01-23,SAC,GSW,2065,6,13,1,4,2,2,2,4,6,4,3,0,3,0,15,33.5
Tyreke,Evans,2015-01-23,NOP,MIN,2080,8,17,1,1,0,2,0,3,3,8,2,0,2,1,17,36.25
Dante,Cunningham,2015-01-23,NOP,MIN,2079,7,12,0,0,0,0,3,2,5,1,2,1,1,0,14,27.25
Markieff,Morris,2015-01-23,PHO,HOU,1419,9,14,0,0,3,4,2,2,4,1,1,0,3,4,21,28.0
Jameer,Nelson,2015-01-23,DEN,BOS,2509,9,20,4,7,1,2,0,0,0,7,1,0,4,2,23,35.5
Gorgui,Dieng,2015-01-23,MIN,NOP,2105,6,12,0,0,2,3,3,12,15,3,0,1,3,0,14,37.75
Channing,Frye,2015-01-23,ORL,NYK,2087,5,10,4,9,0,0,0,6,6,3,0,1,0,2,14,30.0
DeMarre,Carroll,2015-01-23,ATL,OKC,1906,5,7,3,5,0,0,1,3,4,3,0,0,0,3,13,24.0
Anthony,Davis,2015-01-23,NOP,MIN,2513,9,23,0,0,3,4,0,12,12,0,2,1,1,2,21,41.5
Wilson,Chandler,2015-01-23,DEN,BOS,2164,5,15,1,5,3,4,2,4,6,2,3,1,0,1,14,33.0
C.J.,Watson,2015-01-23,IND,MIA,1604,3,6,2,3,5,6,1,3,4,2,1,0,0,3,13,24.0
Michael,Kidd-Gilchrist,2015-01-23,CHO,CLE,1389,5,11,0,0,5,8,2,5,7,2,1,1,2,0,15,29.75
Elfrid,Payton,2015-01-23,ORL,NYK,2233,3,6,0,0,3,4,1,2,3,11,2,1,4,3,9,33.25
Manu,Ginobili,2015-01-23,SAS,LAL,1384,6,9,1,3,2,2,1,2,3,1,2,0,2,3,15,23.75
Monta,Ellis,2015-01-23,DAL,CHI,2267,7,18,0,2,3,3,1,1,2,4,5,0,3,3,17,34.0
K.J.,McDaniels,2015-01-23,PHI,TOR,1794,6,13,2,7,0,0,2,3,5,5,0,1,1,3,14,30.25
Luis,Scola,2015-01-23,IND,MIA,922,5,8,0,0,4,4,3,4,7,0,0,0,1,3,14,22.25
Derrick,Rose,2015-01-23,CHI,DAL,2225,7,17,3,5,3,3,2,1,3,3,1,1,5,0,20,31.25
Draymond,Green,2015-01-23,GSW,SAC,1630,4,7,3,6,0,0,1,7,8,2,2,0,1,4,11,29.0
Tony,Parker,2015-01-23,SAS,LAL,1369,7,14,1,1,2,4,0,1,1,4,0,0,1,0,17,24.25
Patrick,Beverley,2015-01-23,HOU,PHO,2014,5,13,4,7,0,0,1,3,4,4,0,1,0,2,14,29.0
Taj,Gibson,2015-01-23,CHI,DAL,1960,6,10,0,0,3,4,1,6,7,2,1,1,3,4,15,29.25
Chris,Bosh,2015-01-23,MIA,IND,1996,8,16,0,4,3,3,0,4,4,1,1,0,1,5,19,27.0
Jae,Crowder,2015-01-23,BOS,DEN,1319,3,3,2,2,1,1,1,4,5,0,0,1,0,0,9,18.25
Kevin,Durant,2015-01-23,OKC,ATL,2438,8,22,3,9,2,4,0,3,3,3,1,1,2,0,21,33.75
Marcus,Morris,2015-01-23,PHO,HOU,1428,5,9,2,3,0,0,1,5,6,2,2,0,1,4,12,27.0
Donatas,Motiejunas,2015-01-23,HOU,PHO,1370,7,11,0,0,1,2,2,4,6,0,1,0,1,4,15,24.0
Jason,Smith,2015-01-23,NYK,ORL,2019,8,18,3,4,0,0,1,4,5,3,1,1,3,4,19,33.75
Evan,Turner,2015-01-23,BOS,DEN,1650,5,8,0,2,0,2,0,2,2,6,1,2,1,3,10,27.0
Nerlens,Noel,2015-01-23,PHI,TOR,1982,5,12,0,0,2,2,5,9,14,1,2,0,2,5,12,34.0
Avery,Bradley,2015-01-23,BOS,DEN,1817,7,11,4,5,0,0,0,6,6,1,0,0,4,3,18,27.0
Robert,Covington,2015-01-23,PHI,TOR,2107,5,15,4,11,4,4,1,5,6,0,2,2,4,2,18,33.5
Jonas,Valanciunas,2015-01-23,TOR,PHI,1543,3,5,0,0,5,7,0,3,3,0,2,3,1,4,11,24.25
Dennis,Schroder,2015-01-23,ATL,OKC,1073,4,11,1,5,4,4,0,4,4,5,0,0,1,1,13,25.5
Quincy,Miller,2015-01-23,SAC,GSW,2028,3,8,1,3,6,7,1,5,6,0,2,2,3,2,13,27.5
Nik,Stauskas,2015-01-23,SAC,GSW,1367,4,5,1,1,2,2,0,3,3,2,1,0,2,1,11,19.25
Corey,Brewer,2015-01-23,HOU,PHO,1270,7,12,0,2,0,0,1,2,3,0,1,0,0,2,14,19.75
Mo,Williams,2015-01-23,MIN,NOP,2069,3,10,0,2,6,7,0,3,3,10,0,0,3,2,12,29.25
Nick,Young,2015-01-23,LAL,SAS,1221,5,11,3,6,4,4,0,0,0,0,0,0,1,1,17,18.0
Ian,Mahinmi,2015-01-23,IND,MIA,1797,3,3,0,0,2,2,1,6,7,0,2,2,2,3,8,23.75
Luc,Mbah,2015-01-23,PHI,TOR,2059,4,8,1,3,1,1,3,2,5,2,1,1,2,0,10,22.75
Isaiah,Thomas,2015-01-23,PHO,HOU,2261,7,20,4,9,4,4,1,4,5,4,0,0,5,2,22,33.75
Andrew,Bogut,2015-01-23,GSW,SAC,1433,4,6,0,0,0,0,0,5,5,3,0,2,0,2,8,22.75
George,Hill,2015-01-23,IND,MIA,1178,5,10,0,2,3,4,0,0,0,2,1,0,0,1,13,18.0
Shaun,Livingston,2015-01-23,GSW,SAC,1137,3,5,0,0,2,2,0,0,0,7,1,1,2,2,8,21.5
Trevor,Ariza,2015-01-23,HOU,PHO,2170,5,10,1,4,0,0,2,4,6,4,0,0,2,0,11,24.0
Kenneth,Faried,2015-01-23,DEN,BOS,2281,4,12,0,0,3,5,4,10,14,3,0,1,1,4,11,34.5
Tim,Hardaway,2015-01-23,NYK,ORL,1033,2,8,1,4,8,9,0,3,3,3,0,0,1,1,13,21.25
Lance,Stephenson,2015-01-23,CHO,CLE,1588,5,10,0,2,0,2,0,4,4,9,0,0,1,4,10,28.0
Chase,Budinger,2015-01-23,MIN,NOP,1480,5,8,0,2,0,0,0,2,2,4,1,0,1,2,10,20.0
Nikola,Pekovic,2015-01-23,MIN,NOP,1281,5,11,0,0,3,4,3,6,9,0,0,2,2,3,13,27.25
Stephen,Curry,2015-01-23,GSW,SAC,1743,3,11,2,7,2,2,1,3,4,11,2,0,6,0,10,33.5
Iman,Shumpert,2015-01-23,CLE,CHO,591,3,3,2,2,0,0,0,2,2,2,0,0,0,1,8,14.5
Matthew,Dellavedova,2015-01-23,CLE,CHO,1178,2,5,0,0,1,2,0,3,3,8,1,0,0,2,5,22.75
Cory,Joseph,2015-01-23,SAS,LAL,1087,2,4,1,1,4,5,1,0,1,3,0,0,0,2,9,15.25
Kevin,Love,2015-01-23,CLE,CHO,1799,3,7,0,0,3,4,1,2,3,3,1,1,1,1,9,20.75
Bismack,Biyombo,2015-01-23,CHO,CLE,1455,4,6,0,0,2,2,3,2,5,0,0,0,0,4,10,16.25
Mario,Chalmers,2015-01-23,MIA,IND,1794,3,7,0,2,3,3,0,3,3,2,2,0,0,3,9,19.75
Serge,Ibaka,2015-01-23,OKC,ATL,2142,6,16,1,3,0,0,2,8,10,1,1,2,2,2,13,32.5
Gerald,Green,2015-01-23,PHO,HOU,1389,6,14,3,9,0,0,2,0,2,0,0,0,0,2,15,19.0
Steven,Adams,2015-01-23,OKC,ATL,1670,4,6,0,0,1,2,3,4,7,1,0,1,1,4,9,20.75
Jeffery,Taylor,2015-01-23,CHO,CLE,403,2,3,0,0,2,2,0,0,0,2,2,0,0,0,6,13.0
Louis,Williams,2015-01-23,TOR,PHI,1484,3,11,0,4,5,6,0,1,1,3,3,0,1,1,11,22.25
Jordan,Clarkson,2015-01-23,LAL,SAS,1760,5,9,0,0,1,3,0,3,3,4,0,0,1,2,11,20.25
Greivis,Vasquez,2015-01-23,TOR,PHI,1989,6,11,0,4,0,0,1,4,5,4,0,0,2,4,12,23.25
Derrick,Williams,2015-01-23,SAC,GSW,1335,2,5,0,2,5,6,1,4,5,2,0,0,1,1,9,17.75
Pablo,Prigioni,2015-01-23,NYK,ORL,1130,2,3,1,2,4,4,0,2,2,1,2,0,3,1,9,16.0
Tony,Snell,2015-01-23,CHI,DAL,1832,4,7,2,4,0,0,0,3,3,2,1,0,2,1,10,18.75
Alexis,Ajinca,2015-01-23,NOP,MIN,831,2,4,0,0,2,2,1,5,6,0,0,5,1,3,6,23.0
Wayne,Ellington,2015-01-23,LAL,SAS,1659,5,12,1,3,0,0,1,5,6,1,0,0,0,0,11,20.5
Reggie,Jackson,2015-01-23,OKC,ATL,1472,3,8,1,3,0,0,1,3,4,3,2,0,0,2,7,21.0
Thaddeus,Young,2015-01-23,MIN,NOP,1849,7,15,1,1,0,0,0,0,0,4,0,0,1,4,15,21.0
Ed,Davis,2015-01-23,LAL,SAS,1300,3,5,0,0,0,0,2,2,4,2,0,1,0,1,6,16.0
Alex,Len,2015-01-23,PHO,HOU,1444,2,3,0,0,0,2,3,8,11,0,0,2,0,1,4,21.75
