first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Chris,Paul,2015-03-18,LAC,SAC,2346,13,20,4,10,0,0,0,3,3,11,1,0,2,4,30,53.25
LaMarcus,Aldridge,2015-03-18,POR,MIA,2206,15,24,1,2,3,7,1,11,12,2,1,1,1,2,34,56.0
Marcus,Smart,2015-03-18,BOS,OKC,2192,8,14,7,12,2,4,4,5,9,5,2,2,2,4,25,54.25
Russell,Westbrook,2015-03-18,OKC,BOS,2423,8,26,1,6,19,22,2,3,5,10,5,0,7,5,36,64.25
Kevin,Martin,2015-03-18,MIN,TOR,2663,14,28,5,9,4,4,1,6,7,0,1,1,2,1,37,51.25
J.J.,Redick,2015-03-18,LAC,SAC,2299,9,16,7,12,2,2,0,2,2,4,1,0,0,1,27,41.0
Dwyane,Wade,2015-03-18,MIA,POR,1926,13,26,0,1,6,6,1,3,4,6,1,0,2,2,32,47.0
Nikola,Mirotic,2015-03-18,CHI,IND,1841,8,15,1,7,8,9,1,8,9,2,2,2,2,2,25,46.75
Andre,Iguodala,2015-03-18,GSW,ATL,1742,9,12,2,5,1,2,0,2,2,6,3,0,1,2,21,39.0
Enes,Kanter,2015-03-18,OKC,BOS,1839,10,13,0,0,2,2,7,3,10,2,0,1,2,3,22,38.5
Goran,Dragic,2015-03-18,MIA,POR,2340,9,16,1,2,1,2,0,3,3,11,2,0,1,2,20,44.25
Harrison,Barnes,2015-03-18,GSW,ATL,1705,11,13,2,3,1,2,1,3,4,1,1,0,1,4,25,34.0
Dirk,Nowitzki,2015-03-18,DAL,ORL,1842,9,15,5,6,2,2,1,7,8,2,0,0,1,2,25,40.0
Boris,Diaw,2015-03-18,SAS,MIL,1842,5,8,0,0,8,8,0,6,6,5,1,0,0,1,18,35.0
Elfrid,Payton,2015-03-18,ORL,DAL,2450,6,10,1,2,2,2,1,9,10,12,2,0,3,3,15,48.5
Luol,Deng,2015-03-18,MIA,POR,2507,9,13,4,4,2,4,0,4,4,0,1,0,0,0,24,33.0
John,Wall,2015-03-18,WAS,UTA,2224,9,13,0,1,6,7,0,9,9,6,0,0,4,3,24,42.25
Brandon,Bass,2015-03-18,BOS,OKC,1788,8,11,1,2,3,3,1,2,3,4,0,0,0,0,20,30.25
Tim,Duncan,2015-03-18,SAS,MIL,2042,9,16,0,2,1,2,1,4,5,7,1,3,1,1,19,43.25
Gordon,Hayward,2015-03-18,UTA,WAS,2118,9,19,1,6,7,9,1,3,4,4,1,0,2,1,26,38.5
DeMarre,Carroll,2015-03-18,ATL,GSW,1961,5,12,3,4,3,4,6,6,12,3,0,2,0,3,16,41.0
DeMar,DeRozan,2015-03-18,TOR,MIN,2353,4,14,1,1,12,12,0,7,7,4,2,0,2,1,21,39.25
Paul,Pierce,2015-03-18,WAS,UTA,1692,6,10,4,5,2,2,1,2,3,4,2,0,1,3,18,33.25
Danny,Green,2015-03-18,SAS,MIL,2328,7,16,2,4,4,4,2,6,8,4,2,0,1,4,20,40.5
Anthony,Morrow,2015-03-18,OKC,BOS,1667,7,11,4,7,2,2,1,5,6,0,1,0,1,2,20,31.0
Pau,Gasol,2015-03-18,CHI,IND,1983,7,13,1,1,4,4,1,11,12,2,0,0,1,2,19,37.0
Rudy,Gay,2015-03-18,SAC,LAC,2226,6,19,0,5,11,11,0,6,6,4,3,0,2,4,23,41.5
Monta,Ellis,2015-03-18,DAL,ORL,2185,9,17,1,5,2,4,0,2,2,4,2,2,2,2,21,37.0
Giannis,Antetokounmpo,2015-03-18,MIL,SAS,2226,8,16,0,0,3,3,1,8,9,3,1,2,1,5,19,40.25
Maurice,Harkless,2015-03-18,ORL,DAL,2169,8,15,2,5,0,0,3,3,6,1,4,0,2,2,18,35.0
Stephen,Curry,2015-03-18,GSW,ATL,1781,4,11,2,6,6,6,1,3,4,12,0,0,4,1,16,38.0
Hassan,Whiteside,2015-03-18,MIA,POR,2005,6,11,0,0,0,1,5,5,10,0,0,6,0,0,12,36.5
Mike,Dunleavy,2015-03-18,CHI,IND,2311,7,14,5,8,2,2,0,5,5,2,1,1,2,3,21,35.75
Jonas,Valanciunas,2015-03-18,TOR,MIN,1410,7,9,0,0,1,2,4,11,15,1,0,1,2,3,15,36.25
Rudy,Gobert,2015-03-18,UTA,WAS,2240,3,5,0,0,3,8,5,9,14,4,1,2,1,1,9,38.0
Trey,Burke,2015-03-18,UTA,WAS,1658,5,8,3,5,1,2,0,0,0,6,2,0,1,2,14,28.0
Ish,Smith,2015-03-18,PHI,DET,1558,6,12,0,1,3,4,0,1,1,8,3,1,3,2,15,34.75
Timofey,Mozgov,2015-03-18,CLE,BRK,1001,7,8,0,0,3,5,2,1,3,1,0,1,1,3,17,23.75
Hedo,Turkoglu,2015-03-18,LAC,SAC,1971,7,12,5,10,0,0,0,2,2,2,0,0,0,3,19,27.0
Blake,Griffin,2015-03-18,LAC,SAC,2166,7,16,0,0,5,6,3,7,10,5,0,2,4,3,19,41.0
Draymond,Green,2015-03-18,GSW,ATL,1764,6,11,5,7,1,4,1,6,7,3,1,0,2,3,18,34.75
Deron,Williams,2015-03-18,BRK,CLE,1701,7,15,1,5,5,5,0,2,2,6,1,0,3,3,20,32.5
Chase,Budinger,2015-03-18,MIN,TOR,2180,9,18,1,5,0,1,2,6,8,3,0,1,1,2,19,35.5
Kyrie,Irving,2015-03-18,CLE,BRK,1781,5,10,1,1,1,2,1,4,5,10,0,0,1,2,12,33.25
Tony,Parker,2015-03-18,SAS,MIL,1622,6,7,1,1,2,2,0,2,2,2,0,0,0,2,15,21.0
Khris,Middleton,2015-03-18,MIL,SAS,1806,5,8,1,2,4,4,0,1,1,3,1,0,0,3,15,23.25
Kelly,Olynyk,2015-03-18,BOS,OKC,1381,7,13,3,6,3,8,1,2,3,2,2,2,3,3,20,34.75
Steven,Adams,2015-03-18,OKC,BOS,2252,5,9,0,0,4,7,6,7,13,1,2,0,2,5,14,34.75
Chris,Kaman,2015-03-18,POR,MIA,1074,4,5,0,0,1,2,6,7,13,2,0,0,1,0,9,27.75
Paul,Millsap,2015-03-18,ATL,GSW,1646,6,14,2,4,2,2,5,4,9,3,2,0,3,3,16,35.25
LeBron,James,2015-03-18,CLE,BRK,2075,5,13,2,4,4,6,1,2,3,7,1,0,2,1,16,32.25
Kawhi,Leonard,2015-03-18,SAS,MIL,1644,3,8,2,3,6,8,0,2,2,2,4,1,1,4,14,30.0
Lorenzo,Brown,2015-03-18,MIN,TOR,1184,4,5,0,0,0,0,1,1,2,5,3,0,0,2,8,24.0
Jason,Richardson,2015-03-18,PHI,DET,1493,4,7,3,5,3,4,1,4,5,2,1,0,1,2,14,26.25
Tristan,Thompson,2015-03-18,CLE,BRK,1460,4,4,0,0,2,4,2,4,6,2,1,0,0,1,10,22.5
Evan,Turner,2015-03-18,BOS,OKC,1801,3,6,0,0,2,4,0,6,6,10,5,0,3,6,8,39.0
Andre,Miller,2015-03-18,SAC,LAC,1488,8,11,0,1,0,0,1,2,3,4,0,0,2,3,16,24.75
Kentavious,Caldwell-Pope,2015-03-18,DET,PHI,2141,7,16,1,4,5,6,1,7,8,2,1,0,3,3,20,34.0
Brook,Lopez,2015-03-18,BRK,CLE,1850,4,10,0,0,2,2,5,3,8,5,0,2,1,2,10,31.0
Thomas,Robinson,2015-03-18,PHI,DET,973,6,9,0,0,0,0,2,4,6,0,1,3,1,2,12,27.0
J.R.,Smith,2015-03-18,CLE,BRK,1609,6,13,5,10,0,0,0,3,3,2,0,1,1,1,17,27.75
Ersan,Ilyasova,2015-03-18,MIL,SAS,1993,7,14,2,5,1,3,1,5,6,2,1,0,0,5,17,30.5
Solomon,Hill,2015-03-18,IND,CHI,1532,5,10,1,2,2,2,1,5,6,3,1,0,1,2,13,27.0
Andre,Drummond,2015-03-18,DET,PHI,1937,3,8,0,0,3,3,7,7,14,0,1,2,1,4,9,32.0
Channing,Frye,2015-03-18,ORL,DAL,1405,4,8,3,5,0,0,1,0,1,2,2,1,0,1,11,22.75
Shelvin,Mack,2015-03-18,ATL,GSW,1168,4,8,0,3,2,2,0,0,0,5,3,0,1,1,10,23.0
Nicolas,Batum,2015-03-18,POR,MIA,1929,3,6,1,3,1,2,0,4,4,6,1,0,0,0,8,24.5
Patrick,Patterson,2015-03-18,TOR,MIN,1784,5,9,3,6,1,2,0,4,4,1,1,1,2,0,14,25.0
Devin,Harris,2015-03-18,DAL,ORL,1332,3,8,3,6,3,4,0,3,3,5,1,0,1,2,12,26.25
Markel,Brown,2015-03-18,BRK,CLE,1683,4,9,1,2,1,2,0,3,3,5,3,0,1,2,10,27.25
Jae,Crowder,2015-03-18,BOS,OKC,1842,5,9,0,1,1,2,4,5,9,5,1,0,3,4,11,30.25
John,Jenkins,2015-03-18,ATL,GSW,962,3,3,1,1,2,2,0,2,2,1,1,0,0,0,9,15.5
Mason,Plumlee,2015-03-18,BRK,CLE,1435,3,3,0,0,4,8,2,3,5,1,1,1,1,2,10,21.25
Terrence,Ross,2015-03-18,TOR,MIN,1724,6,9,3,5,0,0,0,0,0,1,0,0,1,1,15,17.5
Nik,Stauskas,2015-03-18,SAC,LAC,1401,4,6,1,3,4,4,1,2,3,1,0,0,2,0,13,17.75
Nikola,Vucevic,2015-03-18,ORL,DAL,1644,4,9,0,0,4,4,3,6,9,1,1,1,2,3,12,27.75
