first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Chris,Bosh,2014-12-09,MIA,PHO,2200,14,21,4,6,2,2,0,9,9,1,4,0,1,1,34,56.25
LeBron,James,2014-12-09,CLE,TOR,2513,12,21,2,5,9,9,1,1,2,4,2,2,2,1,35,51.5
Marc,Gasol,2014-12-09,MEM,DAL,2228,9,14,0,0,12,13,2,4,6,6,1,0,1,2,30,48.0
Chandler,Parsons,2014-12-09,DAL,MEM,2012,10,18,6,10,4,5,1,6,7,3,2,1,1,0,30,51.75
Tim,Duncan,2014-12-09,SAS,UTA,2137,10,16,0,0,3,4,4,10,14,2,3,4,2,2,23,56.5
Marcus,Morris,2014-12-09,PHO,MIA,2221,10,13,5,6,0,0,2,3,5,4,2,0,2,3,25,42.75
Tyreke,Evans,2014-12-09,NOP,NYK,2022,11,15,1,2,4,4,1,3,4,6,2,0,4,3,27,43.5
Kevin,Durant,2014-12-09,OKC,MIL,1736,7,11,1,5,8,8,0,9,9,7,1,1,4,0,23,47.25
Kobe,Bryant,2014-12-09,LAL,SAC,2150,11,27,2,6,8,8,3,0,3,6,2,0,3,2,32,48.25
Russell,Westbrook,2014-12-09,OKC,MIL,1927,8,16,0,2,12,15,2,3,5,7,3,0,5,5,28,48.25
Mike,Conley,2014-12-09,MEM,DAL,1996,9,13,2,4,2,2,0,4,4,3,2,0,1,0,22,36.0
Darren,Collison,2014-12-09,SAC,LAL,2303,11,18,2,3,2,8,1,3,4,6,0,0,0,2,26,41.0
Luol,Deng,2014-12-09,MIA,PHO,2010,9,12,3,4,2,4,1,3,4,3,1,2,2,4,23,39.0
Omer,Asik,2014-12-09,NOP,NYK,1828,7,10,0,0,2,4,5,9,14,1,0,2,0,2,16,39.0
Wesley,Matthews,2014-12-09,POR,DET,2106,8,12,3,6,0,0,0,5,5,5,1,0,1,1,19,35.75
Jonas,Valanciunas,2014-12-09,TOR,CLE,2190,6,7,0,0,6,6,5,10,15,0,0,0,3,2,18,35.25
Amar'e,Stoudemire,2014-12-09,NYK,NOP,1926,11,18,0,0,4,6,1,4,5,0,0,5,2,6,26,41.25
Serge,Ibaka,2014-12-09,OKC,MIL,1445,5,5,0,0,5,5,2,3,5,0,2,3,2,0,15,30.25
Greg,Monroe,2014-12-09,DET,POR,1965,10,22,0,0,2,2,3,7,10,1,2,0,0,1,22,40.0
Jrue,Holiday,2014-12-09,NOP,NYK,1956,6,10,0,1,1,1,1,5,6,7,2,0,0,2,13,35.0
Kyle,Lowry,2014-12-09,TOR,CLE,2411,6,18,2,8,2,2,1,3,4,14,1,0,0,5,16,45.0
Kawhi,Leonard,2014-12-09,SAS,UTA,2144,7,13,0,1,2,5,2,3,5,5,5,0,2,3,16,38.75
LaMarcus,Aldridge,2014-12-09,POR,DET,2218,8,21,1,1,6,6,3,8,11,1,1,2,3,2,23,43.25
Derrick,Favors,2014-12-09,UTA,SAS,1959,10,20,0,0,1,1,3,5,8,2,1,2,2,4,21,39.0
Jae,Crowder,2014-12-09,DAL,MEM,1441,5,6,3,3,0,0,3,3,6,1,2,1,1,4,13,29.0
Anthony,Davis,2014-12-09,NOP,NYK,1967,6,14,0,0,6,9,3,5,8,1,1,3,1,3,18,37.0
Josh,McRoberts,2014-12-09,MIA,PHO,1982,4,5,2,2,0,0,1,3,4,7,2,0,1,3,10,30.0
Reggie,Jackson,2014-12-09,OKC,MIL,1813,8,14,2,7,0,0,0,7,7,3,0,0,1,1,18,31.75
Jameer,Nelson,2014-12-09,DAL,MEM,1454,6,9,4,6,2,2,0,4,4,4,0,0,3,4,18,29.5
Rudy,Gay,2014-12-09,SAC,LAL,2047,7,18,2,4,7,8,0,5,5,5,0,1,4,3,23,37.75
Kevin,Love,2014-12-09,CLE,TOR,2142,6,15,1,5,4,4,3,6,9,4,0,1,3,0,17,35.25
Dion,Waiters,2014-12-09,CLE,TOR,1463,7,10,3,5,1,2,0,1,1,2,0,0,1,2,18,23.25
Kyrie,Irving,2014-12-09,CLE,TOR,2547,5,12,1,5,2,2,0,1,1,10,2,0,2,3,13,32.75
Zach,Randolph,2014-12-09,MEM,DAL,1930,6,18,0,0,5,6,9,4,13,0,1,0,1,3,17,34.75
Jerryd,Bayless,2014-12-09,MIL,OKC,1226,3,6,0,1,5,5,0,1,1,6,2,0,2,0,11,24.25
Giannis,Antetokounmpo,2014-12-09,MIL,OKC,1585,4,11,1,2,8,11,3,4,7,0,0,2,1,3,17,29.75
Gordon,Hayward,2014-12-09,UTA,SAS,2176,7,13,0,2,6,9,0,7,7,4,1,0,5,3,20,34.25
Enes,Kanter,2014-12-09,UTA,SAS,1848,6,9,0,0,0,0,4,11,15,0,0,1,2,2,12,31.75
Tony,Allen,2014-12-09,MEM,DAL,1857,5,8,0,0,3,3,0,0,0,2,2,0,0,2,13,20.0
Ed,Davis,2014-12-09,LAL,SAC,1533,5,5,0,0,1,4,2,4,6,2,0,0,0,1,11,21.5
Jose,Calderon,2014-12-09,NYK,NOP,2173,3,5,2,2,0,0,1,0,1,6,3,0,1,2,8,24.75
Reggie,Evans,2014-12-09,SAC,LAL,1829,3,3,0,0,2,2,5,9,14,1,1,0,2,3,8,28.0
Damian,Lillard,2014-12-09,POR,DET,2120,6,14,1,5,1,2,0,5,5,7,2,0,2,2,14,34.25
Patrick,Patterson,2014-12-09,TOR,CLE,1582,5,7,2,2,0,0,1,3,4,1,0,2,1,0,12,23.0
Chris,Kaman,2014-12-09,POR,DET,1240,7,10,0,0,0,0,1,2,3,2,0,2,1,3,14,24.25
Carmelo,Anthony,2014-12-09,NYK,NOP,2332,6,11,2,4,3,3,1,7,8,0,1,0,4,0,17,28.0
Caron,Butler,2014-12-09,DET,POR,1756,6,14,0,4,1,1,2,5,7,2,2,0,0,1,13,28.75
Carlos,Boozer,2014-12-09,LAL,SAC,1679,6,13,0,0,3,6,0,9,9,1,1,0,0,1,15,29.75
Gerald,Green,2014-12-09,PHO,MIA,1283,6,11,5,7,2,3,0,2,2,2,1,0,4,3,19,27.0
Andre,Drummond,2014-12-09,DET,POR,1824,3,12,0,0,4,7,9,6,15,1,1,0,0,1,10,32.25
Dwyane,Wade,2014-12-09,MIA,PHO,2060,7,15,0,0,2,4,3,3,6,5,2,1,5,2,16,34.5
Markieff,Morris,2014-12-09,PHO,MIA,1890,6,11,1,2,4,5,1,3,4,3,0,0,3,3,17,25.5
Tayshaun,Prince,2014-12-09,MEM,DAL,1743,4,9,2,3,1,1,1,6,7,2,1,0,0,2,11,25.75
Ben,McLemore,2014-12-09,SAC,LAL,1485,3,7,3,5,6,7,0,1,1,2,1,1,2,5,15,23.75
J.R.,Smith,2014-12-09,NYK,NOP,1706,6,18,2,6,3,4,1,3,4,5,0,0,1,1,17,30.0
Norris,Cole,2014-12-09,MIA,PHO,1849,5,9,0,2,0,0,0,3,3,4,1,0,0,1,10,21.75
Goran,Dragic,2014-12-09,PHO,MIA,2066,7,15,2,6,0,1,2,2,4,4,1,0,3,2,16,28.5
Alec,Burks,2014-12-09,UTA,SAS,1800,5,11,1,2,3,4,0,3,3,4,0,0,1,3,14,23.75
Beno,Udrih,2014-12-09,MEM,DAL,975,4,7,1,1,1,2,0,4,4,4,0,0,1,0,10,21.0
O.J.,Mayo,2014-12-09,MIL,OKC,1748,6,13,0,4,6,6,1,3,4,0,0,0,2,6,18,22.0
Josh,Smith,2014-12-09,DET,POR,1233,4,10,0,0,2,2,0,5,5,2,0,2,0,1,10,23.25
Boris,Diaw,2014-12-09,SAS,UTA,1562,2,5,1,3,2,2,1,2,3,5,1,0,1,2,7,20.25
